A_Type_CompPad,B_Extd_CompPad,C_Extd_Frame_Btm,D_Extd_SideBeam,E_ThermalResin_Thx,F_dt_Cell,G_MaxT,Time_TR_Adj_1,Time_TR_Adj_2
PU,2.01,22.45373406,42.68003643,3.441748634,16.09471767,1503.751093,1052,1893
Si,2.060874317,31.368051,25.80041894,3.746994536,12.83060109,1388.450546,2972,3037
PU,2.111748634,24.94449909,40.76810565,5.898251366,9.741347905,1354.024317,1709,1530
Aerogel,2.162622951,18.78313297,29.24189435,2.882131148,13.23861567,1446.374044,1181,1784
Aerogel,2.213497268,23.37138434,20.77477231,3.797868853,7.293260474,1276.975137,1743,1768
Aerogel,2.264371585,19.08901639,33.06575592,4.517377049,8.517304189,1438.723771,1378,1662
Aerogel,2.315245902,27.69744991,49.23522769,5.076994536,18.571949,1496.10082,2916,2917
Aerogel,2.366120219,34.7764663,40.00333333,4.364754098,11.37340619,1569.324863,2176,2171
PU,2.416994536,15.06883424,22.30431694,2.467868852,10.76138434,1554.024317,393,1263
Si,2.518743169,28.00333333,29.62428051,5.178743169,4,1476.975137,2553,2528
Aerogel,2.569617486,28.30921676,21.53954463,3.34,14.05464481,1457.849454,1847,2061
Si,2.620491803,20.61843352,39.62094718,2.162622951,5.02003643,1465.499727,1208,1431
PU,2.67863388,16.94783242,31.53621129,4.212131148,7.49726776,1315.226503,757,1097
Aerogel,2.729508197,13.53941712,43.44480874,4.67,17.75591985,1369.324863,2004,2573
Si,2.780382514,20.00666667,26.56519126,2.569617486,15.89071038,1303.751093,2275,2571
Aerogel,2.831256831,34.47058288,45.41136612,2.366120219,18.97996357,1427.248361,2738,2725
Aerogel,2.882131148,32.94116576,26.1828051,5.694754098,8.721311475,1542.548907,2361,2392
Aerogel,2.933005464,26.77979964,44.20958106,4.00863388,4.816029144,1550.19918,1457,1613
Aerogel,2.983879781,12.62176685,37.32663024,3.187377049,10.96539162,1346.374044,1260,1788
Aerogel,3.034754098,16.03018215,34.21291439,5.796502732,15.27868853,1327.248361,2486,2711
Si,3.085628415,27.08568306,47.70568306,2.67863388,14.46265938,1399.925956,2612,2820
PU,3.136502732,31.06216758,30.00666667,2.01,17.1147541,1331.073497,1874,2035
Aerogel,3.187377049,32.32939891,36.94424408,4.873497268,6.448087432,1407.57623,2833,2826
PU,3.238251366,16.33606557,47.3232969,2.518743169,7.905282332,1411.401366,659,1085
PU,3.289125683,12.92765027,28.09473588,5.593005465,14.87067395,1473.15,858,1814
Aerogel,3.390874317,17.25371585,41.53287796,3.034754098,20,1361.67459,2126,2685
Si,3.441748634,23.67726776,20.01,4.415628415,19.18397086,1531.073497,2720,3117
Aerogel,3.492622951,24.02684882,41.91526412,4.975245902,8.925318761,1419.051639,2283,2399
Si,3.543497268,17.8654827,38.09140255,5.389508197,13.03460838,1565.499727,2435,2808
PU,3.645245902,20.92431694,50,4.466502732,13.85063752,1507.57623,1248,1785
Aerogel,3.696120219,35.08234973,31.15382514,3.848743169,10.55737705,1511.401366,2313,2353
PU,3.746994536,18.17136612,28.47712204,3.085628415,4.612021858,1384.62541,553,785
Aerogel,3.797868853,27.39156649,23.06908925,5.542131148,5.428051002,1380.800273,2445,2581
Aerogel,3.848743169,30.75628415,34.59530055,2.416994536,10.14936248,1522.876776,1561,1778
Si,3.899617486,26.16803279,35.79708561,4.263005465,16.91074681,1415.226503,3502,3669
Aerogel,3.950491803,14.76295082,21.15715847,5.643879781,19.38797814,1357.849454,2454,2937
Si,4.00863388,12.31588342,23.45147541,2.831256831,6.04007286,1519.051639,1052,1398
Aerogel,4.059508197,21.23020036,44.97435337,5.491256831,5.632058288,1442.548907,2007,2226
Aerogel,4.161256831,19.39489982,46.94091075,3.696120219,18.77595628,1273.15,3107,3169
Aerogel,4.212131148,24.33273224,28.8595082,3.136502732,17.31876138,1484.62541,2032,2437
Si,4.263005465,24.63861567,42.29765027,2.060874317,11.57741348,1338.723771,2192,2411
PU,4.313879781,31.67393443,30.38905282,3.899617486,19.79599271,1573.15,1892,2372
Aerogel,4.364754098,22.14785064,26.94757741,5.949125683,15.48269581,1450.19918,2798,2975
Aerogel,4.415628415,13.2335337,48.47045537,5.127868853,6.885245902,1546.374044,1435,1749
PU,4.466502732,35.38823315,38.47378871,2.315245902,6.244080146,1480.800273,954,1110
Aerogel,4.517377049,33.85881603,22.6867031,2.729508197,9.129326047,1292.275683,2731,2634
Si,4.619125683,15.68060109,44.59196721,3.950491803,10.35336976,1376.975137,2380,2702
PU,4.67,13.84530055,32.68336976,3.645245902,12.21857924,1431.073497,812,1544
Aerogel,4.720874317,32.63528233,45.79375228,5.847377049,16.50273224,1527.248361,3945,3841
Aerogel,4.771748634,16.641949,24.59863388,4.822622951,4.408014572,1288.450546,1858,2052
PU,4.822622951,29.83863388,20.39238616,4.568251366,12.01457195,1461.67459,1593,1662
Aerogel,4.873497268,25.86214936,31.91859745,2.983879781,17.95992714,1454.024317,2322,2616
Aerogel,4.924371585,15.37471767,35.0323133,2.264371585,14.2586521,1557.849454,1152,1900
Aerogel,4.975245902,28.61510018,48.85284153,2.780382514,7.089253188,1392.275683,2011,2159
Si,5.026120219,31.97981785,43.8271949,3.289125683,9.333333333,1488.450546,2723,2916
PU,5.076994536,23.06550091,24.21624772,2.111748634,19.59198543,1403.751093,1383,2263
Si,5.127868853,25.55626594,27.32996357,4.619125683,9.537340619,1323.423224,4271,4146
Aerogel,5.229617486,18.47724954,25.41803279,5.026120219,12.42258652,1499.925956,1941,2350
Aerogel,5.280491803,20.31255009,48.08806922,5.745628415,11.78142077,1296.10082,3850,3868
PU,5.33136612,21.84196721,40.38571949,2.620491803,11.16939891,1307.57623,1299,1577
