A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power
13.57615584,A1,0.657681671,PU,2.722168255,2.397046885,0,403.7700186,0.000330254,0.055161082,1168.24453
13.53456869,A1,1.63687988,PU,1.633240588,1.638829457,0,367.1633261,-0.000329214,0.055403997,1055.092666
12.88048162,A1,0.782688432,Si1,2.550857145,1.93971597,0,391.3548252,0.00156431,0.05528186,1119.927074
11.43862063,A1,2.189869035,Si1,1.521183227,1.700442322,0,317.7037219,0.00249134,0.055431553,841.782127
14.87181569,A1,0.524770347,Si1,1.64735208,0.764816515,1,434.179852,0.002538519,0.043154815,1405.177921
13.67083475,A1,0.250612783,Si1,2.054356229,2.008414261,1,437.1045728,-0.000332621,0.043573318,1279.335454
13.42961033,A1,1.880202891,Si1,2.296969506,0.609144189,0,340.8185082,-0.00032659,0.055183581,973.0520328
10.51368807,A1,0.400557015,Si1,2.080101573,2.462202305,1,388.736619,0.000761077,0.040844452,1057.421658
8.005470142,A1,2.388576472,Si1,2.785238038,2.037649385,0,263.5845894,0.001336907,0.055443079,634.4052067
10.82893806,A1,0.318914166,Si1,1.194165499,1.397446517,1,513.9874661,-0.000261574,0.002354162,1117.945481
10.93676987,A1,0.257128353,Si1,2.993576787,0.831459978,1,386.7521634,0.000264269,0.040961734,1069.1722
9.963958604,A1,0.251942428,Si2,1.44951294,0.904354792,1,380.1457186,0.000239949,0.047749851,1050.387573
9.17345323,A1,0.561699732,Si2,1.977066462,2.409791143,1,367.8376903,-0.000220186,0.045138181,959.7625022
8.128170526,A1,0.262902426,Si2,2.86253203,0.560784172,1,356.6086203,0.000194054,0.044438423,914.3872486
11.31274154,A1,1.611778949,Si2,2.854543763,1.194277214,0,325.5236821,-0.002463017,0.055390519,875.5000099
10.86762453,A1,1.440622745,Si2,1.530786851,1.012174606,0,339.5653929,0.000262541,0.055316753,917.0979608
11.14141731,A1,0.599640954,Si2,2.975615899,2.359643906,0,375.6048819,0.00242447,0.055227321,1031.382427
13.84629306,A1,1.737292802,Si2,2.313884865,0.689707689,0,353.1269256,-0.000337007,0.055384595,1026.285169
15.59940288,A1,0.348917313,Si2,2.701512564,1.718481772,1,438.2997633,-0.000380835,0.039226005,1398.542126
14.50132044,A1,0.947811771,Si2,1.84532328,1.777563456,0,409.972737,0.002473681,0.055313874,1249.547399
14.38092355,A1,2.335729799,Si2,2.736900264,2.147569417,0,339.9320569,0.002452611,0.055429467,967.896971
14.74201425,A1,0.276419332,Si3,2.838821339,1.135296685,1,428.4171507,0.0003594,0.044925031,1319.260668
15.43050098,A1,0.253307799,Si3,2.124507799,2.375168834,1,451.0364242,-0.000376613,0.047076563,1450.164721
13.9298459,A1,1.075680118,Si3,2.010184034,2.262444932,0,395.541014,0.002373674,0.055216796,1164.853129
10.04461362,A1,0.542554026,Si3,2.756589912,1.764546037,1,366.4799097,0.026858143,0.037988544,984.2940945
13.62106213,A1,1.229380214,Si3,2.899433836,2.337124591,0,374.1026581,-0.000331377,0.05525425,1082.375019
8.596590721,A1,0.769024849,Si3,1.423184661,2.295106656,1,356.2018906,0.000617294,0.047943187,889.3975072
14.20851726,A1,1.041688263,Si3,1.328837814,1.538163581,0,407.2906475,0.002422441,0.055088977,1258.521092
8.367924388,A1,2.287551346,Si3,2.483504887,1.683021085,0,269.7775331,0.000200048,0.055356624,659.4547401
10.75541305,A1,0.265774801,Si3,1.163809775,0.917384586,1,404.0321165,0.000259735,0.007012852,1126.216141
11.79253594,A1,2.094508329,Si3,2.630104339,0.679022843,0,306.8855853,0.000285663,0.055173686,837.8603725
10.41976045,A2,0.322632724,PU,1.23059624,1.949465706,1,541.3176749,0.000251344,-0.000251344,1109.603093
11.00878398,A2,0.388444766,PU,2.410751216,0.653249859,1,390.252514,-0.001330348,0.047094302,1092.180816
11.55071558,A2,1.309742851,PU,2.377436037,2.266637593,0,367.3417848,0.00139809,0.055432172,1015.335827
14.85609027,A2,0.269047108,PU,2.602397488,2.468686194,1,450.3044114,-0.000362252,0.043108018,1376.485868
15.64347052,A2,1.20548389,PU,2.961742583,2.051140417,0,412.4210531,0.000381937,0.055249446,1289.383077
12.74338934,A2,0.502664564,PU,2.642446696,1.745784684,1,414.3489273,0.000309435,0.041154818,1186.337294
8.208203153,A2,0.336341253,PU,2.92650417,2.01399067,1,357.6559015,0.000196055,0.044896595,924.3456279
9.400931426,A2,1.540763213,PU,1.671018788,1.203185704,1,329.0825179,0.000225873,0.041786551,850.4606699
14.55861847,A2,0.518459974,PU,1.663479661,1.570648437,1,446.7649315,0.000354816,0.042932676,1451.002828
12.61835832,A2,1.817821594,PU,2.815137091,1.140013845,0,350.9422342,-0.001531545,0.055317806,988.6843924
9.273131259,A2,0.331288007,Si1,1.865188596,1.286827926,1,372.1012913,-0.002449461,0.047430467,1009.135664
15.51532463,A2,0.250352382,Si1,1.816035144,1.845437049,1,466.3356046,0.000378733,0.046584159,1450.705566
15.16012329,A2,2.495568875,Si1,2.586978264,2.197455934,0,363.4522062,0.000369853,0.055119122,1072.077264
13.19793089,A2,0.90474678,Si1,2.998108391,1.921125329,0,397.6102241,0.001603991,0.055338652,1160.666902
12.01706185,A2,1.264748479,Si1,1.370694142,2.231449373,1,384.0328756,0.031166591,0.038157228,1087.908663
10.71773178,A2,0.586163781,Si1,2.342360793,2.23030935,1,389.2718751,0.003364312,0.0421833,1057.119208
10.12538896,A2,0.25141984,Si1,2.965475963,0.928642201,1,380.0836655,0.000243985,0.04367327,1049.280559
15.40922658,A2,1.573624499,Si1,2.8763941,0.601054926,0,388.2205096,0.000376081,0.055203895,1206.59613
15.30427781,A2,0.80950198,Si1,2.251241416,1.898859952,1,434.422505,-0.003361113,0.040706813,1388.799784
12.20105985,A2,1.111618543,Si1,1.944167876,1.354851032,1,382.6519091,0.049411376,0.032842292,1122.505341
11.87703231,A2,0.889844653,Si2,2.106930608,1.614585766,1,389.0671441,-0.01985653,0.038274181,1116.791048
12.50970948,A2,0.937246511,Si2,2.984364221,1.727310428,0,388.3249978,-0.001517964,0.055376938,1099.558183
14.65341637,A2,1.108812203,Si2,1.290500196,0.951601301,1,415.7936711,-0.000357186,0.036790107,1250.27546
14.40716613,A2,1.38536366,Si2,1.705015885,2.493874902,0,406.6595602,-0.002457205,0.055130282,1260.031328
15.93440997,A2,0.250044672,Si2,2.156395756,1.984433846,1,464.5386529,0.00038921,0.050208122,1488.628725
