A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_T_Garph,Time_MaxT,Time_Max_Power
-3.069668238,0.07178501,0.572407416,1.435898929,Si1,PU,0,338.5921756,333.4289199,-0.000672325,0.037426078,-900.9117857,23.5,150.6,75.9
-0.14756873,-0.433845558,0.50937448,0.494855071,Si1,PU,1,401.1725397,610.9628849,-0.001485804,0.03833374,-1129.847723,23.5,145.000001,86.8
3.597848954,-0.182098643,0.492686893,0.376815604,Si1,PU,0,437.6564076,268.6539764,-0.000390796,0.055105738,-1335.888999,23.5,246.2,101.1
0.041638644,0.02431184,-0.512887357,-0.273768103,Si1,PU,1,385.7325276,548.4736487,0.038943934,0.035321243,-1147.948211,23.5,189.000001,89.3
0.290187412,1.126248701,0.688905399,0.995830868,Si1,PU,0,332.97903,251.8499494,-0.001540523,0.055171316,-906.2049067,23.5,245.2,93.3
2.352271761,0.480587296,0.440198501,1.499571875,Si1,PU,0,395.5654992,259.3427292,-0.000359657,0.055083913,-1139.116133,23.5,251.6,102
-3.473235739,-0.562134626,0.141233074,0.108963213,Si1,PU,1,354.077759,530.6199707,-0.005350475,0.049010351,-993.644932,23.5,93.000001,74.3
-1.179733327,0.704717213,0.910707618,0.08992363,Si1,PU,0,322.2616517,265.5117536,0.002442211,0.055428389,-879.8243445,23.5,221.2,86.2
0.536953204,1.082013972,-0.241578532,0.965142766,Si1,PU,0,348.0687097,257.7609111,0.001571369,0.055406097,-952.3451231,23.5,239.2,94.4
-0.308075831,-0.47386813,-0.393254583,1.48360419,Si1,PU,1,415.3540026,683.3300767,-0.000293148,0.043679067,-1165.206296,23.5,122.000001,84.9
-2.861055583,0.498770941,0.703690826,0.448279765,Si1,Si1,0,313.7620887,281.3323133,-0.000687971,0.05526882,-843.0773798,23.5,194.4,78
-2.126621476,0.123973042,-0.614037601,0.501055294,Si1,Si1,1,356.972408,516.9109188,0.022043921,0.040867943,-977.5371608,23.5,139.000001,82.7
-4.304019161,1.572238457,0.996686283,1.250783316,Si1,Si1,0,256.4846302,248.5270144,0.00019325,0.055384679,-632.1133267,23.50000001,202,75
1.420561187,0.63485941,0.471032111,0.236515796,Si1,Si1,0,372.6872011,262.2291203,-0.000336364,0.055331848,-1059.056797,23.5,230.9,97.1
-3.645362874,0.320279468,0.186339369,1.332032376,Si1,Si1,0,322.0665328,328.4152037,0.000209716,0.037958596,-842.9724577,23.5,150.7,74.8
-2.809073717,-0.592709587,0.849357983,0.862492639,Si1,Si1,1,364.7530635,702.9514968,0.000230623,0.044971534,-1035.563583,23.50000001,98.000001,75.8
-0.249984013,0.868240136,-0.202127704,1.075085691,Si1,Si1,0,345.1744349,264.5891883,0.001473002,0.055147837,-949.2844016,23.5,226.5,90
0.719953635,-0.476989452,-0.166975534,0.594236867,Si1,Si1,1,429.3922644,857.1806109,0.006058128,0.039856106,-1222.422278,23.5,138.000001,89.7
0.907222624,-0.535220537,-0.860526514,1.473823173,Si1,Si1,1,421.1491347,576.4741251,-0.000323531,0.052735484,-1266.101479,23.5,97.000001,84.5
0.636833627,-0.12486615,0.831019104,0.809821883,Si1,Si1,0,395.3197864,280.3593158,0.001583854,0.055309064,-1130.171811,23.5,215.8,91.2
-1.375576598,-0.545400882,-0.723720613,-0.225059032,Si2,PU,1,459.993508,830.4880109,0.000266461,0.003463987,-1129.018077,23.5,84.000001,75.2
-2.651413385,-0.277350441,0.77705928,0.879286511,Si2,PU,1,362.9323697,920.4884153,0.011024543,0.038703184,-986.0373091,23.5,125.000001,76.8
-3.744220725,-0.589963785,-0.291779868,1.054597458,Si2,PU,1,357.8425118,814.2775253,-0.002694179,0.050360414,-993.6798545,23.50000001,90.000001,71.7
3.414551311,-0.595722263,0.427243064,0.072675257,Si2,PU,0,455.8859191,282.0143849,-0.000386214,0.055171176,-1433.192452,23.5,229.8,97.8
2.949635641,1.153330789,0.583689628,1.318040757,Si2,PU,0,374.8146846,247.1254138,0.000374591,0.055095143,-1077.16288,23.5,269,106.2
1.943329082,-0.359154108,-0.856788601,1.420508113,Si2,PU,1,451.254796,891.579703,-0.000349433,0.042281423,-1303.829919,23.50000001,125.000001,88.7
-0.758361626,0.923546878,0.245890145,0.551510056,Si2,PU,0,330.4644868,262.0415678,-0.001409455,0.055375313,-891.246388,23.5,227.5,88.3
0.956502909,-0.021087092,-0.498128966,0.160284803,Si2,PU,1,407.2858384,840.7706858,0.035399121,0.03280102,-1228.324469,23.5,197.000001,92.2
-2.188380798,0.162128031,-0.442393202,1.311484935,Si2,PU,1,356.2016506,600.5873481,0.000246141,0.041597745,-968.9964976,23.50000001,147.000001,81.9
-0.64130675,-0.551561238,0.998956581,1.44001307,Si2,PU,1,398.3596137,527.1710613,0.001424087,0.042437781,-1114.668595,23.50000001,133.000001,84
-3.261704897,0.819358447,0.990418766,1.423722522,Si2,Si2,0,300.4976226,272.591017,-0.000657923,0.055382745,-781.2052813,23.5,201.2,76.9
-3.153882661,-0.488993164,-0.701941117,-0.263214259,Si2,Si2,1,479.6840019,687.5273775,0.000222003,0.005550075,-1015.381376,23.5,76.000001,68.2
1.766276956,0.615677558,0.952419618,1.386349787,Si2,Si2,0,380.0996356,261.9901987,0.002415049,0.05535056,-1081.870423,23.5,244.7,98
-0.071785868,0.928361247,0.267739574,-0.210143607,Si2,Si2,0,336.9863311,258.0186838,-0.001495277,0.055263092,-928.7578675,23.5,219.4,90.9
2.843658403,-0.294121862,-0.231015524,0.828789635,Si2,Si2,0,451.0859771,284.0843618,0.000371942,0.055273671,-1409.046495,23.5,234.3,97.6
0.819187654,-0.419808178,0.74830114,0.224349687,Si2,Si2,1,413.8841723,660.7456412,-0.008675902,0.035667597,-1203.129883,23.5,167.000001,89.6
-1.790179841,-0.576872319,0.869401634,1.182236963,Si2,Si2,1,382.068991,591.3349505,0.000256096,0.045328904,-1080.535077,23.50000001,109.000001,78.4
-1.739902305,-0.377713238,0.075385461,1.219935169,Si2,Si2,1,383.2085694,540.6733297,0.002316173,0.044007278,-1068.344438,23.50000001,119.000001,82.1
-0.880508878,1.220768931,0.204851272,1.135715952,Si2,Si2,0,319.3524591,258.1151349,-0.001394186,0.05535489,-850.0784242,23.5,231.9,88.5
-3.915895487,1.389274545,0.801671295,-0.368132164,Si2,Si2,0,259.3583601,256.384836,0.000202953,0.05535154,-675.8061362,23.5,194.1,75.3
-0.562836683,0.574746312,0.668224334,1.078645547,Si3,PU,0,354.7254805,274.9927201,0.000286779,0.055280791,-987.1353201,23.5,217.1,87.6
1.558899533,0.20624275,0.162068925,0.515823215,Si3,PU,0,406.8867586,278.6763445,0.002378758,0.055275623,-1197.316272,23.5,219.6,94
