A_Cell_D	B_Barrier_Type	C_Barrier_Thx	D_Barrier_Outer_Type	E_Barrier_Outer_Thx	F_ThermalResin_Thx	I_Cell_Barrier	TP_NoTP	MaxT_Adj
15.78420934	S1	0.571610466	S1	1.171933865	2.269067552	1CP	1	271.3638786
9.895415204	S1	0.567290128	S1	1.968882739	1.484089496	1CP	1	282.9101206
11.17876586	S1	2.440417227	S1	2.238037867	1.756094388	1CP	0	226.3705514
14.81925751	S1	2.41434816	S1	1.211286254	1.984771882	1CP	0	231.1973874
15.49934876	S1	1.442961713	S1	2.406890958	1.740147991	1CP	0	245.4107893
8.458891183	S1	2.23030126	S1	1.282846744	2.945610522	1CP	0	230.6329686
11.19928646	S1	1.09090071	S1	2.766860549	2.664890143	1CP	0	257.8803093
8.351989229	A1	1.13922982	S1	1.148011317	2.568008304	1CP	0	199.4179195
11.58545649	A1	2.824086921	S1	1.357583691	1.450842262	1CP	0	139.2007608
12.04342471	A1	0.77329658	S1	2.139521431	0.808199815	1CP	1	225.101014
12.38621193	A1	1.900306238	S1	2.952494917	1.287605118	1CP	0	165.9886
13.18493754	A1	0.96063834	S1	2.321676099	2.513815982	1CP	0	215.334532
15.02891586	A1	2.374089562	S1	2.081807778	1.449977532	1CP	0	156.6793822
12.80224712	A1	2.706033497	S1	2.588279405	2.55047223	1CP	0	145.2566602
