A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,TP_NoTP,MaxT_Adj
9.330331762,0.92178501,2.572407416,2.435898929,Si1,PU,0,338.5921756
12.25243127,0.416154442,2.50937448,1.494855071,Si1,PU,1,401.1725397
15.99784895,0.667901357,2.492686893,1.376815604,Si1,PU,0,437.6564076
12.44163864,0.87431184,1.487112643,0.726231897,Si1,PU,1,385.7325276
12.69018741,1.976248701,2.688905399,1.995830868,Si1,PU,0,332.97903
14.75227176,1.330587296,2.440198501,2.499571875,Si1,PU,0,395.5654992
8.926764261,0.287865374,2.141233074,1.108963213,Si1,PU,1,354.077759
11.22026667,1.554717213,2.910707618,1.08992363,Si1,PU,0,322.2616517
12.9369532,1.932013972,1.758421468,1.965142766,Si1,PU,0,348.0687097
12.09192417,0.37613187,1.606745417,2.48360419,Si1,PU,1,415.3540026
9.538944417,1.348770941,2.703690826,1.448279765,Si1,Si1,0,313.7620887
10.27337852,0.973973042,1.385962399,1.501055294,Si1,Si1,1,356.972408
8.095980839,2.422238457,2.996686283,2.250783316,Si1,Si1,0,256.4846302
13.82056119,1.48485941,2.471032111,1.236515796,Si1,Si1,0,372.6872011
8.754637126,1.170279468,2.186339369,2.332032376,Si1,Si1,0,322.0665328
9.590926283,0.257290413,2.849357983,1.862492639,Si1,Si1,1,364.7530635
12.15001599,1.718240136,1.797872296,2.075085691,Si1,Si1,0,345.1744349
13.11995364,0.373010548,1.833024466,1.594236867,Si1,Si1,1,429.3922644
13.30722262,0.314779463,1.139473486,2.473823173,Si1,Si1,1,421.1491347
13.03683363,0.72513385,2.831019104,1.809821883,Si1,Si1,0,395.3197864
11.0244234,0.304599118,1.276279387,0.774940968,Si2,PU,1,459.993508
9.748586615,0.572649559,2.77705928,1.879286511,Si2,PU,1,362.9323697
8.655779275,0.260036215,1.708220132,2.054597458,Si2,PU,1,357.8425118
15.81455131,0.254277737,2.427243064,1.072675257,Si2,PU,0,455.8859191
15.34963564,2.003330789,2.583689628,2.318040757,Si2,PU,0,374.8146846
14.34332908,0.490845892,1.143211399,2.420508113,Si2,PU,1,451.254796
11.64163837,1.773546878,2.245890145,1.551510056,Si2,PU,0,330.4644868
13.35650291,0.828912908,1.501871034,1.160284803,Si2,PU,1,407.2858384
10.2116192,1.012128031,1.557606798,2.311484935,Si2,PU,1,356.2016506
11.75869325,0.298438762,2.998956581,2.44001307,Si2,PU,1,398.3596137
