sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,tmax_scaled
1,boundary,gp,8.368403911731185,1.0436073416531748,2.445432784143634,1.7162364597082218,A1,Si1,combo_008,0.506068512070545,0.4939314879294549,0.98786297585891,0.1597520315715725,0.5110467693596008,324.24278099400254,1.4181546520644157,0.0,0.4398568780888269,0.53125,0.788251612996317,0.3347375543911041,0.3563972504805103,
2,boundary,gp,9.873070048042464,1.1582770010475407,1.6452145839516068,0.7739001707054991,A1,Si3,combo_010,0.5127180372675149,0.4872819627324851,0.9745639254649704,0.2209512718468138,0.7083038710397359,338.66460292854856,1.638652586577255,0.0,0.3706596361567384,0.40625,0.7851670949176018,0.3669102618343694,0.4177078008763073,
3,boundary,gp,14.65198254312854,0.7731409088294933,1.8869895709702351,1.2767189254123372,Si1,Si1,combo_002,0.4983664033612176,0.5016335966387824,0.9967328067224352,0.1702126374645166,0.5447633447775324,417.7390260470789,1.5143666090204866,0.0,0.4741772904159158,0.3125,0.775071876244508,0.6137957138392618,0.3498713448061935,
4,boundary,gp,8.297395470670216,1.2979851595618843,1.7646210608335815,0.8148382234065887,A1,Si1,combo_008,0.4882889910874972,0.5117110089125028,0.9765779821749944,0.1650819094514779,0.5282260065228526,310.8902465515061,1.866672879187691,0.0,0.3581906343638659,0.53125,0.7737014812539426,0.2969019929426608,0.3936904221755271,
5,boundary,gp,14.705651058507922,1.096533331666233,1.3807513388972836,2.155207369790393,Si2,Si2,combo_004,0.4970965865917343,0.5029034134082657,0.9941931731834686,0.1528534121943838,0.4888111720250831,414.6791340235767,1.4623747629051076,0.0,0.3633942004870313,0.46875,0.7709649994100227,0.6072515561338651,0.3320621172926604,
6,boundary,gp,8.963144748849817,1.0896675898133923,2.1777645943109003,1.010134072170185,A1,Si3,combo_010,0.524738251429433,0.475261748570567,0.950523497141134,0.2283943855147075,0.732294479795683,326.7353051350797,1.6033251839040874,0.0,0.3423229610487945,0.40625,0.7708487053020485,0.3254788578948908,0.4184253558178402,
7,boundary,gp,11.603545212821992,0.9123392052356742,1.8499694462092209,0.8731774599453399,A1,Si3,combo_010,0.508533567725614,0.491466432274386,0.982932864548772,0.2053449702933883,0.6580017137167092,371.0811873608658,1.4225758342243848,0.0,0.2634497300800064,0.40625,0.7689320270492266,0.4524207380401367,0.3630495011059341,
8,boundary,gp,11.451618500698263,0.7981399690930038,2.273676324751464,1.4227885914256866,Si1,Si1,combo_002,0.4851630530229656,0.5148369469770344,0.9703261060459312,0.169402864160468,0.5421532872955086,374.3189128075285,1.4869000745460177,0.0,0.5457618704689956,0.3125,0.7680954146764523,0.4832705576525926,0.3570297815643296,
9,boundary,gp,14.782828645235153,0.8970606259900226,1.923101327100888,1.689059131254185,Si2,Si2,combo_004,0.505294267532717,0.494705732467283,0.989411464934566,0.1576728898035835,0.5043452894508456,417.8676232550647,1.605770840877229,0.0,0.3297307542163793,0.46875,0.766157911216282,0.617916188260553,0.3463666683492574,
10,boundary,gp,15.6236044829619,1.2353903153340489,1.6339669370977654,1.1302025538565457,A2,Si3,combo_014,0.4883273676995436,0.5116726323004563,0.9766547353990872,0.1868357402287997,0.598342850952221,421.0443707047745,1.7235469038288027,0.0,0.3007710260687181,0.4375,0.7649905510290517,0.6251787315405573,0.3816649640544701,
11,boundary,gp,11.500676299752447,0.9661919699203896,1.9433688803853644,0.5149791112372889,Si1,Si1,combo_002,0.5015162112023028,0.4984837887976971,0.9969675775953944,0.2026841184362289,0.6494252686010037,363.36365661890005,1.4961642509282724,0.0,0.2681040438554652,0.3125,0.7646365145509819,0.4212151121544961,0.3538254240745831,
12,boundary,gp,12.671846722235044,0.748074463101631,2.8971762069755744,0.7720244489490363,Si3,PU,combo_005,0.4783214284569297,0.5216785715430703,0.9566428569138594,0.1497976963884864,0.4789620032981741,387.6733283203391,1.718789707807884,0.0,0.497865197431921,0.46875,0.7642902380310425,0.5426482259236248,0.3736715893734969,
13,boundary,gp,9.193626436030376,0.9498378092978256,2.4115147868477544,1.9249154413507137,A1,Si2,combo_009,0.5003180810481014,0.4996819189518986,0.9993638379037972,0.202378567700332,0.6484404189148282,339.1709304509177,1.3598917998978386,0.0,0.2038251671403657,0.34375,0.7617033802003802,0.3378435427649838,0.335300642977121,
14,boundary,gp,15.764301448132576,1.116893065444626,1.9047560867520907,0.7454177917753473,A2,Si3,combo_014,0.4561321747838605,0.5438678252161395,0.912264349567721,0.1794803885619302,0.5746351162627135,422.1941339548399,1.898720165010582,0.0,0.6027032547396826,0.4375,0.7616184704115104,0.6638551360058571,0.4356583128616237,
15,boundary,gp,12.702006604338145,0.8258084913320417,1.8452532598444795,0.7719294324070105,A1,Si3,combo_010,0.5058135468852978,0.4941864531147022,0.9883729062294044,0.1534514344976615,0.4907387146833596,388.1264001070179,1.4600526013547783,0.0,0.3719372249147623,0.40625,0.7609115575856317,0.51805946814383,0.3244178364039601,
16,boundary,gp,8.275283635408766,1.1953965730963516,2.0269473343410134,1.2986208375448052,A1,Si1,combo_008,0.4658714027650887,0.5341285972349112,0.9317428055301776,0.1980488223083349,0.6344848040542989,316.80296157981974,1.59249819422301,0.0,0.3368143702554523,0.53125,0.7602378971061706,0.3058068911937297,0.4010648807550208,
17,boundary,gp,11.371216497340455,0.7644807161869033,2.376092479481388,1.5153548629607996,Si1,Si1,combo_002,0.5039564472989397,0.4960435527010602,0.9920871054021204,0.1449708210687985,0.46340404160697,374.4890196950568,1.486131374368763,0.0,0.47118967377651,0.3125,0.7597228673618123,0.47632844114746,0.3182071108357353,
18,boundary,gp,11.269939750037096,0.9847516175549456,2.9248408750736328,1.0259552274276804,A2,PU,combo_011,0.5049318666852578,0.4950681333147422,0.9901362666294844,0.113225135107072,0.3610814968254573,365.8052098115886,1.537799743054229,0.0,0.5662904802159472,0.34375,0.759323464395895,0.4630125427149498,0.306361449991812,
19,boundary,gp,15.596128663554282,1.0536262333298914,2.077806281663147,0.7516003025632151,A2,PU,combo_011,0.4902566268867474,0.5097433731132526,0.9805132537734949,0.1473000623239171,0.4709116409992515,420.6059005862153,1.568338098300144,0.0,0.4500766235584767,0.34375,0.7552550266488228,0.6250477249185131,0.330333783805957,
20,boundary,gp,14.030373533063733,0.5093068724878964,2.756982679361276,2.4490623878018845,A1,Si1,combo_008,0.4791745171628463,0.5208254828371537,0.9583490343256926,0.1464669291114321,0.4682262899708868,417.05195606199095,1.5399470085461289,0.0,0.3656971001564096,0.53125,0.7548123741893624,0.6233654079589618,0.3421065207489567,
21,boundary,gp,9.492024570374689,1.1539305997923337,1.3849639083928635,1.9704566948157785,A1,Si1,combo_008,0.4971180681537843,0.5028819318462157,0.9942361363075688,0.1251625486578675,0.3995581116983993,342.0623122521863,1.3066062867146992,0.0,0.2678272332074273,0.53125,0.7533865650917102,0.3706339105683968,0.2807455865622525,
22,notp_high_tmax,gp,15.687499782516124,1.3314857330330232,1.1980314915457249,2.4210896019483186,Si3,PU,combo_005,0.2993375338407418,0.7006624661592582,0.5986750676814836,0.0396463361729784,0.1239226602521797,423.0118854341781,2.153542925815603,0.6710831077283881,0.5689717807765128,0.46875,0.507109591357315,0.673251848851082,0.3022682363218736,
23,notp_high_tmax,gp,13.819405329486038,0.8225585075346599,1.9348924582955005,1.8068630180295533,A1,Si1,combo_008,0.2933763740813333,0.7066236259186667,0.5867527481626666,0.092581347197672,0.294542537315611,407.5400660722788,1.444660834866797,0.7108241727911112,0.4683956688907524,0.53125,0.5207540885376992,0.600998002115433,0.2874741122867937,
24,notp_high_tmax,gp,11.931686818409013,1.2301085905570337,1.405727258976572,1.77865940654134,Si3,PU,combo_005,0.4284745337590436,0.5715254662409563,0.8569490675180873,0.0677307021656972,0.2144440558337693,378.4124490461052,1.5536779056666687,0.0,0.573976817759657,0.46875,0.6749989728126836,0.5164774284528051,0.2764823314783018,
25,notp_high_tmax,gp,9.914120129103653,1.3553325625954842,1.569779292209032,2.490047174787528,Si3,Si3,combo_006,0.4240691034207771,0.5759308965792229,0.8481382068415542,0.1214595686271207,0.3876226839846007,346.6303252922617,1.9783178866882176,0.0,0.383395273008385,0.375,0.659481032976984,0.3995969137210512,0.3356580215714506,
26,uncertainty_sparse,gp,8.120903140699992,0.3327417413189051,1.2894896627277828,2.395448406226036,Si2,Si2,combo_004,0.9999232185085702,7.678149142975599e-05,0.0001535629828595,0.0230838231437395,0.0705384466247948,364.7688558445573,4.2094831397693495,0.0,0.7157348242957637,0.46875,0.1616939520662305,0.561273740178712,0.5051349226909134,
27,uncertainty_sparse,gp,10.717416551349505,0.2594633492511991,1.2091477412903366,0.5621114786542302,A2,Si1,combo_012,0.9999975848257918,2.41517420818127e-06,4.83034841636254e-06,0.0056568038304086,0.0143677604330888,405.768844530964,4.477854986319158,0.0,0.7105581564163558,0.40625,0.1445510780653564,0.6912382296978705,0.501370176061616,
28,random_check,gp,8.464429441433898,0.2665535676206478,2.515364023178747,1.3089174459154789,A1,PU,combo_007,0.9998836128021368,0.0001163871978633,0.0002327743957266,0.0199706269344455,0.0605040073336366,359.55485474090835,2.981169014427703,0.0,2.6161516400173547e-10,0.3125,0.0490578518988587,0.4235725960703643,0.2516126550415948,
29,misclass_reinforce,gp,8.815276449832252,1.5083032185063427,1.6277400520572909,1.4947407138716702,A2,Si2,combo_013,0.4984574430071222,0.5015425569928778,0.9969148860142444,0.1443802652040027,0.4615005647378795,322.41553294435494,1.272589739192605,0.0,0.3170083797198411,0.25,0.7346830103034371,0.2845291558241943,0.2643136836523265,0.3182293401823033
30,misclass_reinforce,gp,9.151207189187648,1.4060285369391403,1.976710074154808,2.0783903573428493,A2,Si2,combo_013,0.5136481313609522,0.4863518686390478,0.9727037372780956,0.2318882019435799,0.7435557323776145,332.9250436197469,1.4538001808437822,0.0,0.087358191372375,0.25,0.7333052529370868,0.299729968795681,0.3461726167173305,0.3655735273980583
31,misclass_reinforce,gp,9.631970672437276,1.4012776707008154,1.7830285216546038,1.840771849218368,A2,Si2,combo_013,0.4931215493507999,0.5068784506492001,0.9862430987015998,0.1652933199084634,0.5289074237074823,339.80570074725773,1.3106253870068212,0.0,0.2678417422616304,0.25,0.7321755794219321,0.3355057594164988,0.2842225908728121,0.3965701293592761
32,misclass_reinforce,gp,13.606732625219497,1.3326753580826232,1.3499493704110854,2.1669734422459794,A2,Si2,combo_013,0.5002539085576228,0.4997460914423772,0.9994921828847544,0.107836293181572,0.343712207029444,401.88257314101753,1.3484162836698292,0.0,0.3640477755239541,0.25,0.7245457712501496,0.541928918332788,0.2375029182080107,0.6762195972703109
33,misclass_reinforce,gp,10.066492313432278,1.1319722492062465,2.902565187856454,1.5896960741179158,A2,Si2,combo_013,0.5139583844700937,0.4860416155299063,0.9720832310598126,0.1263902394041928,0.4035151987029193,349.2116791183956,1.3419065708113485,0.0,0.4166710507022166,0.25,0.723917361250559,0.3809171333757347,0.2656956645354026,0.438943025177652
