sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,CellD_x_Resin,Barrier_x_Outer,tmax_scaled
1,boundary,mlp,13.017648562437827,1.241469177034505,1.6251081557028384,2.333356037451788,A2,PU,combo_011,0.48703495,0.5129651,0.9740699,0.33213338,1.0,397.79068,2.5456057,0.0,0.5886472697332883,0.28125,0.8162230586301593,0.5480377112718855,0.5236946879503476,30.374808866589888,2.017521684652465,
2,boundary,mlp,13.867175887700888,1.1286953869100176,1.4249207920883749,1.509920066572646,Si3,Si3,combo_006,0.49831018,0.5016898,0.99662036,0.2752719,0.8287992324856273,406.4563,1.7456113,0.0,0.5479882852892364,0.34375,0.8062218091351931,0.573268392458572,0.4529021990588095,20.938327139531918,1.608301524742317,
3,boundary,mlp,11.296614292289364,1.154032391526138,1.882295867391274,2.123103565809263,Si3,Si3,combo_006,0.50982463,0.49017537,0.98035073,0.30613297,0.9217169616674414,368.44122,1.4677554,0.0,0.3880099345695714,0.34375,0.7872144493983204,0.4370303337418325,0.4565126064303392,23.983882085531437,2.172230401405318,
4,boundary,mlp,15.1246038518741,1.0003521368275905,1.4349869159921118,0.5010690984712911,Si2,PU,combo_003,0.48661757,0.51338243,0.97323513,0.2531214,0.7621076926679927,414.44492,1.2421373,0.0,0.5993862584894927,0.3125,0.7863784262650839,0.5977117670183091,0.4236781210819222,7.578471616793972,1.4354922277323428,
5,boundary,mlp,15.662099379274252,1.065882293010878,1.7737801764592904,1.717101251244529,Si3,Si3,combo_006,0.49247056,0.50752944,0.9849411,0.25107512,0.7559466526544327,425.36874,2.3579612,0.0,0.5123725140667187,0.34375,0.7835280235143371,0.6319218777186548,0.4328911995372587,26.893410441267974,1.890640881781668,
6,boundary,mlp,8.105116847173331,1.3124688515634988,2.2402566294061703,2.033791008714776,Si3,Si3,combo_006,0.5243114,0.47568858,0.95137715,0.29071063,0.8752827728215422,319.02948,0.24333183,0.0,0.4608203051154684,0.34375,0.7752353960586851,0.2836618083376548,0.4295275412932688,16.484113768363773,2.940267045604231,
7,boundary,mlp,14.09628430494939,1.1812757407844658,1.4648090016478204,1.946176507712534,Si3,Si3,combo_006,0.5075701,0.4924299,0.9848598,0.25517312,0.7682850635382488,408.87555,2.057519,0.0,0.4420185690815488,0.34375,0.7747809303109078,0.5718101442874863,0.4213430535006011,27.43385736032941,1.7303433385292828,
8,boundary,mlp,15.64938252360735,1.0966601876537727,1.9600220214776067,2.355205119084845,Si3,Si3,combo_006,0.5180047,0.48199528,0.96399057,0.21932875,0.6603634494968705,428.78555,2.5858235,0.0,0.6128403429508896,0.34375,0.7727378878407052,0.6538010976375564,0.4185371331567089,36.85750583011694,2.149478117879159,
9,boundary,mlp,15.526975607004664,1.0867689101655942,1.3301029022683282,1.2306762689074726,Si3,PU,combo_005,0.5285891,0.47141087,0.94282174,0.25284952,0.761289086043605,426.1273,1.8756002,0.0,0.5431704963023954,0.375,0.7704708830382405,0.6380605265800161,0.4355374100868308,19.10868040744584,1.4455144815062448,
10,boundary,mlp,11.435769247690049,1.3640683925996815,1.2014008728327012,1.9825807075304347,Si3,Si3,combo_006,0.5121145,0.48788548,0.97577095,0.28602022,0.8611607093585769,367.61792,0.6255302,0.0,0.3174224319582853,0.34375,0.7650239938720899,0.4231421281049916,0.4098345416525048,22.67233548624012,1.638792957472757,
11,boundary,mlp,10.665773551769655,1.0449422529053023,1.870653875235999,1.545888102883613,Si2,PU,combo_003,0.5094948,0.49050522,0.98101044,0.27351674,0.823514764664728,353.40216,2.4018054,0.0,0.3467467732316472,0.3125,0.7619699591199726,0.3874862580034927,0.4277840885967652,16.48809244173141,1.9547252747951387,
12,boundary,mlp,10.362047325489357,1.167739265691122,1.9416218031124857,1.5303369407006109,Si3,Si3,combo_006,0.51400375,0.48599625,0.9719925,0.22588328,0.6800980784593578,349.749,2.3147552,0.0,0.4729925943439855,0.34375,0.759122007654968,0.3913760667116929,0.3996730873963886,15.857423803484329,2.2673080186164465,
13,notp_high_tmax,mlp,15.626260252075832,0.9480696123296176,1.6546196910160655,2.4965061666521704,A1,Si2,combo_009,0.29173657,0.7082634,0.58347315,0.12765425,0.3843463534228892,431.71674,3.2676623,0.7217559814453125,0.6395552659141186,0.3125,0.5213704880806812,0.665955900020884,0.3333096090185033,39.011055081019016,1.568694649014553,
14,notp_high_tmax,mlp,11.866466057303132,0.9631732548128528,1.5256034608405815,2.1790335667527545,A1,Si2,combo_009,0.37395695,0.6260431,0.7479139,0.14654966,0.4412373602982696,386.5308,2.810886,0.1736205418904623,0.370780324191605,0.3125,0.5800303169057353,0.4955177546250399,0.3048268600773187,25.85742785759574,1.4694204509315758,
15,notp_high_tmax,mlp,9.953117170294131,1.0124898476465989,1.7563924201887284,2.0233181307526467,Si1,PU,combo_001,0.48793253,0.51206744,0.97586507,0.1004218,0.3023538327757961,349.15268,1.7247932,0.0,0.3353091587973892,0.40625,0.6933127678468481,0.3790125369273094,0.245751259539118,20.138322428161597,1.7783294939245269,
16,uncertainty_sparse,mlp,8.076982469093457,1.4010197725517697,1.41550268192759,0.6972792117482425,Si2,Si2,combo_004,0.6143104,0.38568962,0.77137923,0.32912245,0.9909345799340252,308.2438,2.1225872,0.0,0.6005497423957901,0.28125,0.7051687380940401,0.2671643503305032,0.5148258305811025,5.631911969353859,1.983147245480612,
17,uncertainty_sparse,mlp,12.928661044882848,1.1273920034368508,1.2300522931274636,2.1164109372742823,Si2,PU,combo_003,0.36828312,0.63171685,0.73656625,0.29214507,0.8796016563077889,394.17368,4.4194174,0.2114456494649252,0.4996312222912955,0.3125,0.6588713638653632,0.5404226668058919,0.5060298276267428,27.36235963970201,1.3867511190810635,
18,random_check,mlp,8.464429441433898,0.2665535676206478,2.515364023178747,1.3089174459154789,A1,PU,combo_007,0.9999994,5.9604645e-07,1.1920929e-06,1.0977616e-06,3.3051829193182507e-06,332.60782,11.733617,0.0,3.4176151940461666e-10,0.28125,0.0421886514797946,0.3318367593359462,0.2478941588741827,11.07923936561344,0.670479254242921,
19,uncertainty_sparse,mlp,12.12195197751885,1.652862766166822,1.1616186273771127,2.1602981984525944,A2,Si3,combo_014,0.29506406,0.7049359,0.5901281,0.32182068,0.968950106271704,373.7652,3.2911584,0.6995727221171062,0.3262536821753999,0.375,0.5751010452758852,0.4598363075575618,0.5007162282629207,26.187031018762838,1.9199961776774412,0.5337112852851273
20,uncertainty_sparse,mlp,14.709832514918675,1.0647464708014691,1.3103642405893734,0.5130011665085342,Si2,PU,combo_003,0.5867909,0.41320908,0.82641816,0.29933932,0.901262384195607,408.85175,2.2877626,0.0,0.5944393016671579,0.3125,0.7257602535660602,0.5850162337602518,0.4901327211455647,7.546161239298447,1.395205700631983,0.6903992127144276
21,uncertainty_sparse,mlp,8.281708527175535,1.7731440969146537,1.149848567732795,0.8398826180740044,A2,PU,combo_011,0.6083385,0.39166152,0.78332305,0.29420042,0.8857899742358303,308.2322,3.669275,0.0,0.4477868148018754,0.28125,0.6730516956055643,0.259667259745823,0.4824648674891183,6.955663039929996,2.038847200221175,0.2410570080177256
22,combo_reinforce,mlp,13.864748401488304,0.5813738615030878,2.755131945325349,1.4104127375858064,Si1,Si1,combo_002,0.48673305,0.5132669,0.9734661,0.20010951,0.6024974366387436,408.90222,2.6099007,0.0,0.3698725385821771,0.1875,0.7093868473726156,0.5518451191165925,0.3388271770985626,19.55501774888155,1.6017616980043123,0.6906246264965861
23,combo_reinforce,mlp,9.333867907070337,1.2763896362930054,1.2056781128507612,1.6079288479682203,Si1,Si1,combo_002,0.5039388,0.4960612,0.9921224,0.16059229,0.4835174547695837,332.03906,4.060313,0.0,0.300595931736635,0.1875,0.6914093582681385,0.3119700028044753,0.3124440943892514,15.00819547090315,1.5389150479480205,0.3473725870401793
24,combo_reinforce,mlp,13.32154441305477,1.061167330363488,1.1694171811138658,1.7868470141654924,Si1,Si1,combo_002,0.4470883,0.5529117,0.8941766,0.22154762,0.6670441158353049,401.16425,2.7480977,0.0,0.4124777268443845,0.1875,0.6818504255833193,0.5326148168028835,0.370253387659737,23.803561858539915,1.2409473081637965,0.6560687209485041
25,combo_reinforce,mlp,13.5866163408486,0.5743543030413318,2.878870422758747,1.3216629172818717,A1,Si1,combo_008,0.5333519,0.4666481,0.9332962,0.24487248,0.7372715104526008,405.30878,1.6161994,0.0,0.434580434798235,0.34375,0.740653227616788,0.5576864991335629,0.4015675922504623,17.956926989035505,1.6534916152099046,0.6745771822105188
26,combo_reinforce,mlp,11.666124188045874,0.6448240228458115,2.98668062737494,1.0172278098473124,A1,Si1,combo_008,0.48243442,0.5175656,0.96486884,0.20028329,0.6030206521628919,376.56512,0.602186,0.0,0.3488216539116432,0.34375,0.7250167009259813,0.4541333083684969,0.3237825496844185,11.86710595721266,1.925883417099561,0.5462150722775527
27,combo_reinforce,mlp,10.924526359278174,0.7730160813773856,2.654342068325618,1.290697494538643,A1,Si1,combo_008,0.49123186,0.50876814,0.9824637,0.18572421,0.5591856268361558,365.4925,1.1693428,0.0,0.3118614623641161,0.34375,0.722574590101995,0.4186897839776257,0.3129267638913836,14.1002588009417,2.051849104292214,0.4967674110000563
28,combo_reinforce,mlp,12.98133826456845,0.7478218345598798,2.379118633125838,2.4253798901094763,A1,Si3,combo_010,0.4792644,0.5207356,0.9585288,0.23257631,0.7002497275124776,398.9063,2.4371815,0.0,0.3938301377928799,0.28125,0.7334903438819549,0.5314956224996736,0.3876419770049603,31.48467677359297,1.779156860859758,0.6459853382917097
29,combo_reinforce,mlp,8.492739703199526,1.0768004404045906,2.894378141476187,2.491519050402434,A1,Si3,combo_010,0.4568674,0.5431326,0.9137348,0.22765426,0.6854302377656086,325.70288,1.1638482,0.0,0.4805662308323263,0.28125,0.7196410889229606,0.3048990352166892,0.3729459178364477,21.15982276063073,3.1166676574389784,0.3190767520299846
30,combo_reinforce,mlp,13.643110250827451,1.0016775867571055,1.5242471748612418,2.367505800650026,A1,Si3,combo_010,0.5262538,0.47374618,0.94749236,0.21547556,0.6487621255489344,405.23706,1.8484519,0.0,0.3730856138862771,0.28125,0.7165854475821519,0.5462364076068003,0.3560976066635772,32.30014265774182,1.5268042317363448,0.674256914744937
31,combo_reinforce,mlp,11.95020238549444,1.3811981128057045,1.2519598339785034,1.877348135935454,A2,Si2,combo_013,0.51269263,0.48730737,0.97461474,0.2639505,0.794712337791747,380.7775,3.4351497,0.0,0.3652518103840036,0.25,0.7475327229458144,0.4738843571570081,0.4293792985125071,22.4346901724594,1.7292045599996515,0.565026492933605
32,combo_reinforce,mlp,13.606732625219497,1.3326753580826232,1.3499493704110854,2.1669734422459794,A2,Si2,combo_013,0.44083267,0.5591673,0.88166535,0.20694423,0.6230756620255629,405.9362,2.556782,0.0,0.451642887439219,0.25,0.6836237243733763,0.5567318371367972,0.3667306726262515,29.485428234592565,1.7990442606060049,0.677379045540262
33,combo_reinforce,mlp,11.17986054167816,0.9290213619608648,2.756968705056301,2.0864384716703626,A2,Si2,combo_013,0.45877513,0.54122484,0.91755027,0.24080117,0.7250134527675284,375.5088,2.6582136,0.0,0.2064049721611959,0.25,0.6818654427058308,0.4376036661293059,0.3674170899968085,23.32609114206677,2.5612828212548866,0.5414977369355746
