discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,Si1,PU,40,20,20,0.5,0.5,324.6352937,377.138694575,423.6383574
combo_002,Si1,Si1,46,21,25,0.45652173913043476,0.5434782608695652,262.5767887,357.2214331095238,430.7024571
combo_003,Si2,PU,40,21,19,0.525,0.475,308.7359367,365.58447265238095,426.528061
combo_004,Si2,Si2,40,23,17,0.575,0.425,265.2624785,353.1222482478261,417.1962141
combo_005,Si3,PU,40,20,20,0.5,0.5,287.4763493,370.93217987500003,427.3821429
combo_006,Si3,Si3,43,20,23,0.46511627906976744,0.5348837209302325,305.8374404,373.81799904,423.8801431
combo_007,A1,PU,40,20,20,0.5,0.5,266.0174615,368.406831735,431.9988106
combo_008,A1,Si1,43,21,22,0.4883720930232558,0.5116279069767442,263.5845894,357.9255302904762,434.8895237
combo_009,A1,Si2,40,21,19,0.525,0.475,295.0316891,368.26214691428567,433.3653155
combo_010,A1,Si3,46,26,20,0.5652173913043478,0.43478260869565216,269.7775331,363.02935710384617,414.6080228
combo_011,A2,PU,43,20,23,0.46511627906976744,0.5348837209302325,298.6275314,369.964172615,421.3573955
combo_012,A2,Si1,40,15,25,0.375,0.625,308.6322493,375.7080588133333,427.2692692
combo_013,A2,Si2,43,24,19,0.5581395348837209,0.4418604651162791,291.3035203,357.3806380416667,426.8728934
combo_014,A2,Si3,43,18,25,0.4186046511627907,0.5813953488372093,292.3628725,360.49500870555556,422.6358634
