sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,CellD_x_Resin,Barrier_x_Outer
1,boundary,hybrid,10.212855262185121,1.4131541141224702,1.2744658407044709,2.4652976867018435,Si3,PU,combo_005,0.49064502,0.50935495,0.98129004,0.26212743,0.9500319124265553,350.0032951939694,1.2366949870798787,0.0,0.37590727745925395,0.28846153846153844,0.8110794203947693,0.3864994863283454,0.4722985096786349,25.177728452485727,1.8010166461000758
2,boundary,hybrid,14.1358028996537,0.5220816351414793,2.97967604300704,0.7739155337135231,Si1,PU,combo_001,0.48090595,0.51909405,0.9618119,0.1971163,0.7144112176202824,408.2673491201656,1.3172324227303787,0.0,0.4767737839355686,0.36538461538461536,0.7868149609271239,0.591042010482474,0.4232017156789006,10.939917445554661,1.5556341407250083
3,boundary,hybrid,14.458934035760084,1.1100027605199683,1.1190825736752466,1.6846262991994856,Si2,PU,combo_003,0.4951828,0.5048172,0.9903656,0.213652,0.7743417717731698,410.30507009851186,1.143322643992458,0.0,0.3109305095347645,0.3269230769230769,0.7867451499383065,0.5729415245438194,0.3990595933576356,24.357900535031995,1.2421847460293145
4,boundary,hybrid,10.676478439508653,1.0469105947097082,2.174735375919375,1.1731575269416548,Si2,Si2,combo_004,0.4833972,0.5166028,0.9667944,0.23106432,0.8374494728913955,352.4810626684713,1.1032360118954063,0.0,0.2665481603735458,0.34615384615384615,0.7789796249585482,0.38602065303265026,0.4140386983881822,12.525191042539868,2.2767535057399932
5,boundary,hybrid,11.744131495344618,1.3018109931095883,1.7460600684975032,1.5132878524902307,A2,PU,combo_011,0.48322517,0.51677483,0.96645033,0.20199536,0.7320944499813083,371.7239529712595,1.0085274298637543,0.0,0.4303373082379907,0.3076923076923077,0.7789508997661021,0.45735166910556135,0.3880823025074085,17.77225152995294,2.2730401917997303
6,boundary,hybrid,11.626999525990609,1.2639046669970209,1.5844916852301687,1.0952280407347617,Si3,Si3,combo_006,0.48900414,0.51099586,0.9780083,0.2413877,0.8748646192667671,365.4707137209835,1.1245210553632752,0.0,0.17651461203223884,0.3269230769230769,0.777332959569861,0.41681129945574996,0.41251561038824613,12.734215910474697,2.0026464357803846
7,boundary,hybrid,13.227191801537064,0.6429255409712911,2.936133314966721,2.495855593814728,Si3,PU,combo_005,0.5012363,0.49876368,0.99752736,0.20249873,0.7339188427405954,409.02967699207056,1.2456381965025827,0.0,0.26204178025844643,0.28846153846153844,0.7738058067111259,0.5625928395617521,0.38032332975956756,33.01316064832659,1.8877150998888093
8,boundary,hybrid,14.977524550203592,0.7866263585145427,1.9029684084427503,0.8415788412724936,Si2,Si2,combo_004,0.49292096,0.507079,0.98584193,0.2258808,0.8186627802166502,420.19318029382976,1.181831373055686,0.0,0.15320711477288199,0.34615384615384615,0.7730439245054893,0.5913788935760588,0.3970025989104769,12.604767756090665,1.4969251095015355
9,boundary,hybrid,12.073790070231087,0.9848717037457211,2.754900503599,1.1584941635627006,A2,Si1,combo_012,0.49904957,0.50095046,0.99809915,0.16103046,0.5836248152843511,379.3468962042013,0.9772095405772128,0.0,0.35787138739962715,0.28846153846153844,0.7638202008155677,0.47162195668804924,0.3197572741011217,13.987415328444005,2.713223552629492
10,boundary,hybrid,9.109717675330153,1.2139981198253709,2.374831873120584,2.381096171447359,Si3,Si3,combo_006,0.47543383,0.5245662,0.95086765,0.21751904,0.7883571543296614,335.5331161499384,1.0589495331024175,0.0,0.28335774666952496,0.3269230769230769,0.7618306530865525,0.3309564741461375,0.39280786119796957,21.69111387969496,2.883041428869753
11,boundary,hybrid,14.991244487972455,0.9471468260753758,2.8550099380319085,1.9602338430089639,A2,Si3,combo_014,0.4734908,0.52650917,0.9469816,0.27591434,1.0,417.45827883640226,1.0167633180396096,0.0,0.11253622612846916,0.23076923076923078,0.7572255373033764,0.5631719239193383,0.4233259796913084,29.38634479414519,2.7041136012205773
12,boundary,hybrid,14.856335456949251,0.6438090422202041,2.6883755271743115,1.3134461346916446,Si2,Si2,combo_004,0.46391526,0.5360848,0.9278305,0.23254566,0.8428183106579944,419.05155515532266,1.1163097549856216,0.0,0.2689462763060557,0.34615384615384615,0.756907185796321,0.597773042575948,0.41736545496940397,19.51299638161242,1.7308004732783298
13,boundary,hybrid,12.047468206291466,0.974084244141272,1.850393051622087,0.8209686056073866,Si2,PU,combo_003,0.48579082,0.51420915,0.97158164,0.18056448,0.6544222284605703,373.5255868511742,1.0275540678034782,0.0,0.26514332507468624,0.3269230769230769,0.7517428854809232,0.44892359446246266,0.3405858655790148,9.890593174418427,1.8024387170535623
14,boundary,hybrid,9.82932083376609,1.5082914321546104,1.165517839787904,2.3538727136679336,Si3,Si3,combo_006,0.46982136,0.53017867,0.9396427,0.1895013,0.6868120722619608,339.45903332089375,1.4569801506469082,0.0,0.2636476549226043,0.3269230769230769,0.737407034422293,0.35090442896075025,0.38743312623185705,23.13697010448974,1.7579405717754455
15,boundary,hybrid,9.81160627868941,0.9791420200078095,2.5149768599720987,2.0693451904879376,Si2,Si2,combo_004,0.51950973,0.48049027,0.96098053,0.1984737,0.719330883527582,347.42127671095056,0.8816672565838315,0.0,0.06998151373034565,0.34615384615384615,0.7327403143381388,0.3450432715124308,0.3247741063873411,20.303600263767184,2.4625195229459784
16,boundary,hybrid,9.432742166199244,1.0609341266042889,2.4546416042167793,1.1773178632185282,Si2,Si2,combo_004,0.5217806,0.4782194,0.9564388,0.17869516,0.6476472240833454,334.584495335919,0.8921518053426378,0.0,0.167767922464275,0.34615384615384615,0.7317532367548975,0.31434518375929027,0.3152252701985667,11.105335851401005,2.6042130464962794
17,boundary,hybrid,8.485813846279072,1.5499295575793646,1.172115061928037,1.73889803992956,Si3,PU,combo_005,0.455093,0.544907,0.910186,0.21846008,0.7917677712899198,314.3432831601659,1.0673233822305133,0.0,0.2698865538459952,0.28846153846153844,0.7315152569391695,0.2587353727167482,0.3869085065465854,14.755965064501797,1.8166957793662317
18,boundary,hybrid,8.120076964703848,1.3645266683945187,1.1062742983215614,1.0811098816962832,A1,Si2,combo_009,0.51645464,0.48354536,0.9670907,0.1873291,0.6789393322574523,303.678552671195,0.9801933266566859,0.0,0.05858564583315282,0.36538461538461536,0.7313161168757254,0.2093910281286911,0.32001125439981115,8.778695446675691,1.5095407826192042
19,notp_high_tmax,hybrid,15.665878328718158,1.04668678801704,1.1884031396766368,2.239828732302636,A1,PU,combo_007,0.29779965,0.70220035,0.5955993,0.16593207,0.6013898134497512,426.34380221942877,1.4236516852171004,0.6813356876373291,0.43511308659261816,0.28846153846153844,0.536845827793487,0.6390632678006893,0.37471245456214797,35.08888439742013,1.2438858651375049
20,notp_high_tmax,hybrid,13.9198840665013,0.6128638761928027,2.655950061581634,2.421833741616112,Si1,PU,combo_001,0.15859851,0.84140146,0.31719702,0.07820548,0.2834411608627167,411.6465856626472,0.9703350184042121,0.3906569480895997,0.23171011184645662,0.36538461538461536,0.3073779884751332,0.5690087758067889,0.20673519430253523,33.71164491163734,1.627735849715433
21,notp_high_tmax,hybrid,11.544807489143002,0.6610234913491626,2.178836687921746,2.435855122458677,Si1,PU,combo_001,0.34586626,0.65413374,0.6917325,0.1943546,0.7044019274263138,386.051239489636,0.9425675484958775,0.36089158058166515,0.09547224904272085,0.36538461538461536,0.5760003999432091,0.47352092032682613,0.3313250824977458,28.12147846022828,1.4402622345296783
22,notp_high_tmax,hybrid,9.974086331994032,0.9617016880444504,2.7057886374355036,1.7095271605988598,Si2,Si2,combo_004,0.43876594,0.56123406,0.8775319,0.16299239,0.5907354699087258,346.72621198815784,0.9420958751815425,0.0,0.25826327219384915,0.34615384615384615,0.6878050057039664,0.3631030356592982,0.3130366096387622,17.050971486701656,2.6021615001132172
23,uncertainty_sparse,hybrid,8.018118477423766,1.572790062984924,1.1207205846325314,2.4584893919544255,Si3,PU,combo_005,0.20925014,0.79074985,0.4185003,0.25703037,0.9315585653244509,308.6861415829298,1.4914217548358135,0.7283343474070232,0.27723451213513434,0.28846153846153844,0.46086771822236144,0.251605680466768,0.4722292927545407,19.712459220180097,1.7626581988927001
24,random_check,hybrid,11.047339684692055,1.5529377349836673,2.62658972256765,1.9252818631497146,Si3,Si3,combo_006,6.2767096e-05,0.99993724,0.00012552738,7.492058e-05,0.0002715356471870079,339.9582717762036,1.1725568186380049,0.0,0.4633835160694038,0.3269230769230769,0.10087950974992257,0.36569944279166594,0.1534357158301139,21.2692427309917,4.078930294495586
25,combo_reinforce_lacking,hybrid,14.35938200819619,0.5834041533388767,2.8830262677622445,2.450862599331134,Si1,Si1,combo_002,0.51004183,0.48995817,0.97991633,0.15799955,0.5726398440984262,418.29256683282586,1.282092542473768,0.0,0.3477955241420929,0.2692307692307692,0.7476170800268839,0.5994993476405217,0.33688771510167137,35.192872313396435,1.681969498797574
26,combo_reinforce_lacking,hybrid,12.95850906146499,0.6870693473818137,2.5497340235092025,0.8683010249379889,Si1,Si1,combo_002,0.5081005,0.4918995,0.983799,0.16420059,0.5951143689737549,393.2392035649025,1.1746496865276332,0.0,0.22078049998943838,0.2692307692307692,0.7371040000009244,0.5047589081912134,0.31676056924187335,11.251886699738268,1.7518440915296738
27,combo_reinforce_lacking,hybrid,15.357966387834928,0.6310509124762936,2.9062946010439727,1.6721067150244007,Si1,Si1,combo_002,0.49254256,0.50745744,0.9850851,0.17015517,0.6166956267392111,424.2190764679763,0.937635902304144,0.0,0.049693007761953394,0.2692307692307692,0.7192927974410097,0.5803017461694077,0.2789275217565277,25.680158726217822,1.8340198599137247
28,combo_reinforce_lacking,hybrid,11.599369891496107,0.7214351262961634,2.2948557202057236,0.8378903034081159,A1,Si3,combo_010,0.49993294,0.50006706,0.9998659,0.14415777,0.5224729046810545,372.8173034047073,0.9930482388183445,0.0,0.24510454258417536,0.23076923076923078,0.7339650597955927,0.4342368178737278,0.2741032672840039,9.718999557728637,1.655589526338089
29,combo_reinforce_lacking,hybrid,9.026204377258079,0.8860074118530376,2.955885396131694,0.9624429108304766,A1,Si3,combo_010,0.46767396,0.53232604,0.9353479,0.21062101,0.7633565305548657,329.5458291927006,1.3151422869000602,0.0,0.19143137232312293,0.23076923076923078,0.7248660818147241,0.29924441482084274,0.377164972809862,8.687206414599055,2.6189363695608328
30,combo_reinforce_lacking,hybrid,10.389687795271698,1.0443970805443152,1.852543932835947,0.5950459566612739,A1,Si3,combo_010,0.5048849,0.4951151,0.9902302,0.14798936,0.5363598058315977,344.3804031827181,0.9611934490154468,0.0,0.14447198876263226,0.23076923076923078,0.7174842523889169,0.3331971904900902,0.2612179680919303,6.182341713549409,1.934791475033947
31,combo_reinforce_lacking,hybrid,10.058989671396622,1.5671367093169364,1.6059689389230447,0.7412255597271393,A2,Si2,combo_013,0.51168585,0.48831415,0.9766283,0.22798136,0.8262758570854714,333.9523585595889,0.9822224221068361,0.0,0.1383032780257479,0.25,0.754543894262721,0.30191933741942345,0.36639784403011966,7.455980249470475,2.516772878209072
32,combo_reinforce_lacking,hybrid,10.86074692960777,1.1093340472825366,2.9078725197197497,0.9091396924929908,A2,Si2,combo_013,0.5026549,0.4973451,0.9946902,0.14621566,0.5299313610096359,355.6939591807495,1.2517404264153502,0.0,0.2100099893416538,0.25,0.7299816622064161,0.3844755414443032,0.295861515549942,9.8739361238278,3.2258019912823777
33,combo_reinforce_lacking,hybrid,8.001944045651888,1.6720301748586444,1.1336741893809696,1.0763296674132223,A2,Si2,combo_013,0.55334264,0.44665736,0.8933147,0.25577402,0.9270051713360846,298.56999011954775,0.9817993554873707,0.0,0.13229648646045294,0.25,0.7193158517414544,0.1890543953740893,0.4007168793269648,8.612729773315712,1.8955374531033946
34,combo_reinforce_lacking,hybrid,11.163352856886814,0.9523299454901808,1.878937101553468,1.1307140756268783,A1,Si1,combo_008,0.5096539,0.49034607,0.98069215,0.16423291,0.5952315090197835,363.4290325690656,0.9814520828372238,0.0,0.28177263848768014,0.25,0.7405975671363674,0.4097657387364876,0.30698862164315016,12.622560206471444,1.7893680675018924
35,combo_reinforce_lacking,hybrid,10.804534519752735,1.3118873121454566,1.1519685832616222,1.2477626639217632,A1,Si1,combo_008,0.49706692,0.5029331,0.99413383,0.13208869,0.47873079165176535,350.11290642001654,1.31352888310335,0.0,0.32522417185049335,0.25,0.7366603408755301,0.3797595798218207,0.3003652383283238,13.481494774801321,1.5112529683710991
36,combo_reinforce_lacking,hybrid,15.034641654033042,0.9399155315279822,1.3982891438335883,1.4833714150132349,A1,Si1,combo_008,0.4863027,0.51369727,0.9726054,0.09868174,0.3576535385204969,422.0576897030207,1.1973373868816888,0.0,0.3932409355897424,0.25,0.714361494492494,0.6120509104136472,0.2585217105853738,22.301957664559914,1.3142736838561544
37,combo_reinforce_misclass,hybrid,13.264892565660892,1.2784325078986072,1.1238736739072186,2.004999326369097,Si3,PU,combo_005,0.48393592,0.51606405,0.96787184,0.18551473,0.6723635037630092,395.89886087268275,1.1739402708172657,0.0,0.20546720045355413,0.28846153846153844,0.7397141859232815,0.5135718245083032,0.34432635206035767,26.59610065850853,1.436796639494427
38,combo_reinforce_misclass,hybrid,8.527999742931074,1.33589031821164,1.9504447718006173,1.4936545752878176,Si3,PU,combo_005,0.5135865,0.48641348,0.97282696,0.13984928,0.5068575802787361,321.8213015480935,1.045924859902662,0.0,0.236273248621628,0.28846153846153844,0.7217644122958846,0.278590052968285,0.280367242235834,12.737885834082332,2.605580286854956
39,combo_reinforce_misclass,hybrid,10.022437934261255,1.5175633641465547,1.1113256648026997,1.9324076242553305,Si3,PU,combo_005,0.55356705,0.44643295,0.8928659,0.20636833,0.7479434604044501,339.89598162136616,1.308273039006553,0.0,0.26323977647692004,0.28846153846153844,0.7137886819240612,0.3448680859745987,0.39062387298262613,19.367435477792295,1.6865071145403914
