discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,Si1,PU,20,9,11,0.45,0.55,324.6352937,371.05546012222226,423.6383574
combo_002,Si1,Si1,16,10,6,0.625,0.375,262.5767887,347.49662567,430.7024571
combo_003,Si2,PU,15,7,8,0.4666666666666667,0.5333333333333333,308.7359367,360.3829801142858,426.528061
combo_004,Si2,Si2,19,10,9,0.5263157894736842,0.47368421052631576,265.2624785,336.45865453,395.9246842
combo_005,Si3,PU,15,7,8,0.4666666666666667,0.5333333333333333,287.4763493,343.3315220571429,406.6630626
combo_006,Si3,Si3,14,6,8,0.42857142857142855,0.5714285714285714,327.0368826,358.7280355,375.086076
combo_007,A1,PU,20,8,12,0.4,0.6,266.0174615,360.564800225,403.7700186
combo_008,A1,Si1,14,7,7,0.5,0.5,263.5845894,346.1786163714286,422.1182428
combo_009,A1,Si2,17,10,7,0.5882352941176471,0.4117647058823529,295.0316891,350.67653645,409.972737
combo_010,A1,Si3,13,5,8,0.38461538461538464,0.6153846153846154,269.7775331,350.7194876,407.2906475
combo_011,A2,PU,19,10,9,0.5263157894736842,0.47368421052631576,311.420805,372.07827094000004,412.4210531
combo_012,A2,Si1,17,4,13,0.23529411764705882,0.7647058823529411,331.8618603,370.28620005,397.6102241
combo_013,A2,Si2,20,11,9,0.55,0.45,291.3035203,350.13473806363635,406.6595602
combo_014,A2,Si3,13,6,7,0.46153846153846156,0.5384615384615384,292.3628725,351.3353596666666,393.2390852
