discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,Si1,PU,27,11,16,0.4074074074074074,0.5925925925925926,324.6352937,370.7997791,423.6383574
combo_002,Si1,Si1,34,17,17,0.5,0.5,262.5767887,355.60487145882354,430.7024571
combo_003,Si2,PU,30,14,16,0.4666666666666667,0.5333333333333333,308.7359367,367.0262994928571,426.528061
combo_004,Si2,Si2,31,18,13,0.5806451612903226,0.41935483870967744,265.2624785,351.8890172833333,417.1962141
combo_005,Si3,PU,28,16,12,0.5714285714285714,0.42857142857142855,287.4763493,369.90546679375,427.3821429
combo_006,Si3,Si3,29,13,16,0.4482758620689655,0.5517241379310345,305.8374404,374.8180797153846,423.8801431
combo_007,A1,PU,31,10,21,0.3225806451612903,0.6774193548387096,266.0174615,364.56263035,431.2817636
combo_008,A1,Si1,29,15,14,0.5172413793103449,0.4827586206896552,263.5845894,348.3140937933333,434.8895237
combo_009,A1,Si2,30,16,14,0.5333333333333333,0.4666666666666667,295.0316891,357.64742549375,426.3039844
combo_010,A1,Si3,31,17,14,0.5483870967741935,0.45161290322580644,269.7775331,353.6941471764706,407.2906475
combo_011,A2,PU,31,17,14,0.5483870967741935,0.45161290322580644,311.420805,374.7880846705882,421.3573955
combo_012,A2,Si1,28,9,19,0.32142857142857145,0.6785714285714286,308.6322493,369.7178971,423.5500942
combo_013,A2,Si2,32,18,14,0.5625,0.4375,291.3035203,351.2510099555555,406.6595602
combo_014,A2,Si3,28,12,16,0.42857142857142855,0.5714285714285714,292.3628725,370.22111773333336,422.6358634
