sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse
1,boundary,gp,8.591614722842948,2.0238022150697033,1.1233207971335746,1.5134514146864377,Si3,Si3,combo_006,0.5070808058581839,0.49291919414181606,0.9858383882836321,0.0,0.0,294.28472500326416,3.80091582379109,0.0,0.8728415409040734,0.9375,0.9179960258889498,0.3865483595104004,0.5319314156880512
2,boundary,gp,8.92689310438021,1.9956142000260164,1.1751245344617796,1.139738454762829,Si3,Si3,combo_006,0.5080767729922044,0.49192322700779556,0.9838464540155911,0.0,0.0,297.17363068038685,3.798454624120738,0.0,0.8476100056457307,0.9375,0.9140785183754869,0.39239056180773235,0.5230359988993336
3,boundary,gp,8.097185547101239,2.332162680994011,1.1295087568856397,0.9460024179494924,Si3,PU,combo_005,0.5054436295434748,0.49455637045652523,0.9891127409130505,0.0,0.0,272.2566759363191,4.858433729467806,0.0,0.8073424249443558,0.9375,0.9137381611335709,0.3343264572971853,0.5366690152254008
4,boundary,gp,8.599737093915016,1.83781432221558,1.7511735316207189,0.6521776596633521,Si2,Si2,combo_004,0.5001521193492369,0.49984788065076313,0.9996957613015263,0.0,0.0,284.43848157042527,2.7754517932222726,0.0,0.7123575620658873,0.9375,0.9116477891176571,0.323959521293206,0.4489381902571699
5,boundary,gp,10.2410526690349,1.750711677308514,1.3709532114093679,0.530318191579103,Si3,Si3,combo_006,0.5020434637061895,0.49795653629381054,0.9959130725876211,0.0,0.0,320.45054190754774,3.6401009704193803,0.0,0.7303879435440958,0.9375,0.9108029451657442,0.44565528590091513,0.47786610171004107
6,boundary,gp,8.02140938866707,1.50146537882654,2.9389640646731396,1.1864658750907315,A2,Si2,combo_013,0.5010826172543772,0.4989173827456228,0.9978347654912456,0.0,0.0,299.04160517832406,2.59735350386326,0.0,0.7102268633018959,0.9375,0.9101320221740615,0.36314365928241926,0.4435337949716548
7,boundary,gp,8.129390857143866,1.3316636070887402,2.8887409868895144,0.8212694061398632,A1,Si1,combo_008,0.5029491898806135,0.49705081011938645,0.9941016202387729,0.0,0.0,289.6112780605391,3.0771310838912362,0.0,0.7221964411737952,0.9375,0.9087157782845205,0.3452598746920822,0.4602730497316591
8,boundary,gp,8.343432808866652,1.9016849342508368,1.1274929014146569,1.5460052325515108,A1,PU,combo_007,0.5046610148012824,0.49533898519871755,0.9906779703974351,0.0,0.0,290.23698031385396,3.573684833180748,0.0,0.7386627351186986,0.9375,0.9079658527900745,0.3573867884163494,0.47902498197657895
9,boundary,gp,10.26917361896449,1.1882251388661367,2.9851643071042355,0.7034282285571847,A2,Si2,combo_013,0.503866328760437,0.496133671239563,0.992267342479126,0.0,0.0,339.2448952179319,2.515189036682381,0.0,0.695506953468019,0.9375,0.90476283508219,0.47725212594005545,0.43623258885090926
10,boundary,gp,11.455196225047517,1.487007644811451,1.1973505506741215,2.411954342395184,Si3,Si3,combo_006,0.5061922159176149,0.4938077840823851,0.9876155681647703,0.0,0.0,364.39431949322,3.0026344799223303,0.0,0.6936297353365759,0.9375,0.9013188712489968,0.5587631265197441,0.44832603906684143
11,boundary,gp,11.418022265645678,1.2846413104072445,1.30565660678363,1.9444808219764642,Si2,Si2,combo_004,0.5043346282653882,0.4956653717346118,0.9913307434692236,0.0,0.0,363.346458475484,2.50599239008977,0.0,0.659971279511741,0.9375,0.9005536483796305,0.543686746121495,0.42355453937401155
12,boundary,gp,10.776700991337446,1.5295932672523902,1.4023417920184424,1.9806708840601155,A2,Si3,combo_014,0.5011341641838949,0.4988658358161051,0.9977316716322102,0.0,0.0,351.46879809070697,2.025072582471896,0.0,0.6142314597295082,0.9375,0.9004603161154979,0.49615583838520766,0.3949658218404346
13,boundary,gp,10.680423022913823,1.8386114358394494,1.1895473594364856,0.5076773043476648,Si3,PU,combo_005,0.5027582058906548,0.4972417941093452,0.9944835882186904,0.0,0.0,325.3673502426032,3.934021447010527,0.0,0.6241940496640312,0.9375,0.8991829167194864,0.45447199615793527,0.4483865375115344
14,boundary,gp,11.950202385494439,1.3811981128057043,1.2519598339785034,1.877348135935454,A2,Si2,combo_013,0.5014200819580688,0.49857991804193125,0.9971598360838625,0.0,0.0,376.0389462003525,2.0323830523334996,0.0,0.5893278033009495,0.9375,0.8975696655887987,0.5653053546248121,0.38644076754124557
15,boundary,gp,12.362307207375157,1.1369935435546985,1.9671532546610604,0.5804775684531138,A2,PU,combo_011,0.5014974893719399,0.49850251062806006,0.9970050212561201,0.0,0.0,379.84358923036916,2.333586658636103,0.0,0.5594944785567295,0.9375,0.8944779627349569,0.57864812707967,0.3838779128342493
16,boundary,gp,15.699214104860921,0.767586058937472,1.1936768750387656,0.9637239819379266,A2,Si1,combo_012,0.5044127046545945,0.49558729534540547,0.9911745906908109,0.0,0.0,453.85920398734095,2.710514876545514,0.0,0.5980314359730678,0.9375,0.8942503570808744,0.8045002912924348,0.40722544242333736
17,boundary,gp,14.379133662979216,0.8075133634114103,1.436812173442965,2.174379688313546,A1,Si1,combo_008,0.5012613109196602,0.4987386890803398,0.9974773781606796,0.0,0.0,427.2221796812255,2.410198561919559,0.0,0.535520365485087,0.9375,0.8924112012609844,0.7154839939374213,0.3774909683538629
18,boundary,gp,12.022169681091524,1.2165041995430823,1.3253531227096655,0.8388738315495935,A1,Si1,combo_008,0.5066780368755737,0.49332196312442633,0.9866439262488527,0.0,0.0,363.78859007124674,2.2288159813414192,0.0,0.6083339763232872,0.9375,0.8921091460065256,0.5349763164853214,0.39823117175698064
19,boundary,gp,13.567495691688206,0.4508940630122862,2.952102713912687,1.4687706536032992,Si3,Si3,combo_006,0.5022704732744545,0.4977295267255455,0.995459053451091,0.0,0.0,418.07704964524345,1.8547885920807266,0.0,0.5378459390109389,0.9375,0.8912309313168576,0.679413767596441,0.3637766433579639
20,boundary,gp,13.701891516652744,0.39712320714043914,2.5298365959636557,1.8564563917449144,A1,Si3,combo_010,0.5017749124882003,0.4982250875117997,0.9964501750235994,0.0,0.0,421.14000331779033,1.4284376010339326,0.0,0.5116282797627116,0.9375,0.8893029504927907,0.6782719287150997,0.3434480795310554
21,boundary,gp,13.929326674279773,0.2800294586642636,2.7619093192331006,1.931882232337861,A1,Si3,combo_010,0.5029967194070482,0.49700328059295185,0.9940065611859037,0.0,0.0,426.4011943054678,1.5799219808420426,0.0,0.5188830047857034,0.9375,0.8883178933087028,0.6969519683644905,0.3499497239863273
22,notp_high_tmax,gp,15.999850824336068,0.3382267116955772,1.9241649644381715,2.487772197136473,Si1,PU,combo_001,0.4619976698355117,0.5380023301644883,0.9239953396710234,0.0,0.0,465.11191141034817,3.0271885242613235,0.0,0.6785187526820542,0.9375,0.8552736130379218,0.8508227913680402,0.44367947371721206
23,notp_high_tmax,gp,13.920580095283364,0.9985898862283252,1.2744210622498704,2.3967954949443566,Si2,Si2,combo_004,0.40503661594817686,0.5949633840518231,0.8100732318963537,0.0,0.0,418.42818665495315,2.4658707281301973,0.0,0.5869750345716357,0.9375,0.766373765784611,0.696005031719023,0.3969563611991305
24,notp_high_tmax,gp,11.987739751168602,0.47960454141696846,2.9753455456131586,2.39188912154719,A1,Si3,combo_010,0.41672077256956186,0.5832792274304381,0.8334415451391237,0.0,0.0,388.96822685195616,1.7585118800642559,0.0,0.4983736348282808,0.9375,0.7738714450802147,0.589065223321477,0.3474429546277702
25,notp_high_tmax,gp,9.726483444448297,0.5986571208580062,2.9771553601474627,2.1786016330846003,Si1,Si1,combo_002,0.46252503838789494,0.5374749616121051,0.9250500767757899,0.0,0.0,354.3171800832913,1.90694202570831,0.0,0.27413379859667164,0.9375,0.81557343360272,0.4683763821255543,0.27284161074697477
