sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse
1,boundary,gp,14.588292010315525,0.5243815097984665,1.9314047532743646,1.5074609305682884,A1,Si1,combo_008,0.5078643050976162,0.49213569490238385,0.9842713898047677,0.23003135122468746,0.9743590409984267,434.3587119141032,1.7496861353178421,0.0,0.38019406251442,0.9375,0.8998013260541892,0.7092041795621488,0.613711188935558
2,boundary,gp,14.979959866925878,0.6760475127783392,1.404577588793432,1.410415947858168,A1,Si1,combo_008,0.49868289022853807,0.5013171097714619,0.9973657804570761,0.20365691021094423,0.8623630396965434,437.8681166495339,2.2715249499802668,0.0,0.43877924759197534,0.9375,0.8982626993944185,0.7343770473784386,0.6151506691312643
3,boundary,gp,9.289810809450998,1.3221631676126366,2.624880417527385,0.8185131526105203,A1,PU,combo_007,0.49983617964841837,0.5001638203515817,0.9996723592968367,0.13946755704901423,0.5897904048283944,306.9761141096421,2.6114357868520504,0.0,0.6891176158988566,0.9375,0.8906673605329812,0.38437201386537445,0.578047375968717
4,boundary,gp,9.440419381416516,1.7406652078808922,1.1057297823976786,1.2735661369401883,Si1,PU,combo_001,0.4958012298928214,0.5041987701071786,0.9916024597856428,0.1494094001560599,0.6320072871873271,308.22814218248993,3.6482440576505395,0.0,0.6685864095841597,0.9375,0.8895805738725368,0.4040433527552337,0.6530249400292197
5,boundary,gp,9.812861736351714,1.6356906775827864,1.1223979345279564,1.3988431120955451,Si1,PU,combo_001,0.5055714070160047,0.49442859298399533,0.9888571859679907,0.15197322673450445,0.6428942790544782,319.00065654906916,3.3333039735014225,0.0,0.6684676210361679,0.9375,0.8895650391912374,0.4298932247075225,0.637595278817031
6,boundary,gp,12.556147695300107,1.016880440816862,1.5040268082209944,1.5808907641598262,A1,Si1,combo_008,0.4992113629301078,0.5007886370698922,0.9984227258602156,0.16614240804055194,0.7030620622189372,385.73761553854007,1.7489549974449676,0.0,0.5353553694336369,0.9375,0.8873098908224575,0.583193915708418,0.5419868175815161
7,boundary,gp,12.71474029654755,0.8672777084718113,1.767528584277624,1.7971487519839782,A1,Si1,combo_008,0.5014572791412202,0.4985427208587798,0.9970854417175596,0.18416461024678712,0.7795912512432871,394.09330626390414,1.5499315365880213,0.0,0.4378991280615091,0.9375,0.8855679143362835,0.5942971926771705,0.5420062498622048
8,boundary,gp,8.097185547101239,2.332162680994011,1.1295087568856397,0.9460024179494924,Si3,PU,combo_005,0.5054436295434748,0.49455637045652523,0.9891127409130505,0.11240408524556351,0.4748685142846914,272.2566759363191,4.858433729467806,0.0,0.8073424249443558,0.9375,0.882219767166374,0.3343264572971853,0.6927033988960065
9,boundary,gp,10.386714051121158,1.522242446027883,1.124161229266433,1.4708319078184475,Si1,PU,combo_001,0.5094311673498169,0.49056883265018314,0.9811376653003663,0.15216521295374488,0.643709526242041,332.9103545311483,3.0769925023420734,0.0,0.6452336937756349,0.9375,0.8821318857464174,0.46358487621755584,0.618751619042446
10,boundary,gp,10.298382970056409,1.1184766227422058,2.883825834092571,0.5550485090481238,A1,PU,combo_007,0.49739740045502945,0.5026025995449706,0.9947948009100589,0.15147515679917004,0.6407792829073722,325.2575732723026,2.96054005947249,0.0,0.5522744837684064,0.9375,0.8779660456580627,0.42998447344043267,0.5966745063474659
