discrete_combo_id,B_Barrier_Type,D_Barrier_Outer_Type,n_total,n_notp,n_tp,notp_ratio,tp_ratio,notp_tmax_min,notp_tmax_mean,notp_tmax_max
combo_001,A1,Si1,10,4,6,0.4,0.6,257.4015319,327.126120475,392.2822974
combo_002,A1,Si2,10,7,3,0.7,0.3,322.2580908,371.1052349571428,446.3516046
combo_003,A1,Si3,10,6,4,0.6,0.4,263.645542,365.7823130833333,433.3845806
combo_004,A1,PU,10,6,4,0.6,0.4,260.1386261,373.41718960000003,453.9100429
combo_005,A2,Si1,10,5,5,0.5,0.5,372.6796604,400.04611194,441.7240556
combo_006,A2,Si2,10,6,4,0.6,0.4,285.8225592,397.4562139666666,446.3799639
combo_007,A2,Si3,10,6,4,0.6,0.4,286.8302646,361.61238383333335,438.1166901
combo_008,A2,PU,10,3,7,0.3,0.7,351.1829676,379.7649612,422.2224218
combo_009,Si1,Si1,10,6,4,0.6,0.4,256.4846302,334.24911234999996,395.3197864
combo_010,Si1,PU,10,6,4,0.6,0.4,322.2616517,362.5205789666666,437.6564076
combo_011,Si2,Si2,10,6,4,0.6,0.4,259.3583601,341.23006426666666,451.0859771
combo_012,Si2,PU,10,3,7,0.3,0.7,330.4644868,387.0550301666667,455.8859191
combo_013,Si3,Si3,10,5,5,0.5,0.5,353.1659619,366.65259716,383.1019671
combo_014,Si3,PU,10,5,5,0.5,0.5,283.5785482,358.50451988000003,417.5323508
