pareto_rank_in_bin,discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,constraint_violation,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,optimization_method,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level,boundary_gap,boundary_near_score
1,combo_003,8.18707804793429,1.1274816830309622,2.1751420028236437,1.8523961174467476,Si2,PU,0.49866851086158714,0.5013314891384129,318.5688561600486,2.3183300268421405,0.09520507532267898,1.498358690910792,0.0013314891384128558,314.024929307438,True,318.5688561600486,0.0,8-10,0.2465753424657534,20,nsga2,0.0,0.36249262913623403,0.4256496806884089,0.234789206962157,0.22909610592287552,low,0.0013314891384128558,1.0
2,combo_009,8.56470345051776,0.8720609030758388,2.7080709437796675,0.7507350657130516,A1,Si2,0.4803966690416601,0.5196033309583399,322.49394581480175,2.8079247115973183,0.041507724074348294,1.0135663782138025,0.019603330958339882,316.990413380071,True,322.49394581480175,0.0,8-10,0.2465753424657534,20,nsga2,0.0506991267572215,0.12816076978907576,0.9301541205272122,0.7104078611602529,0.34878492858123067,low,0.019603330958339882,0.9493008732427785
3,combo_009,8.560554165685232,1.1374383694379955,1.4790433211826168,1.9361336194254177,A1,Si2,0.4769469649435649,0.5230530350564351,330.5133755234221,2.6382722286766422,0.08907713469024106,1.4775185618053335,0.02305303505643508,325.3423619552159,True,330.5133755234221,0.0,8-10,0.2465753424657534,20,nsga2,0.06027106740052843,0.20936055198349146,0.4832237171029079,0.25523498116041254,0.21883302977987587,low,0.02305303505643508,0.9397289325994715
4,combo_009,9.916566911777432,1.2110601946995851,1.1444877323621427,2.2130548738925553,A1,Si2,0.44890967930805914,0.5510903206919409,349.1926768507374,3.0756938141754926,0.10404856042776792,1.7358239212394295,0.05109032069194086,343.16431697495346,True,349.1926768507374,0.0,8-10,0.2465753424657534,20,nsga2,0.1380665032614443,0.0,0.3425622025271021,0.0018174986456096498,0.11710834144376737,low,0.05109032069194086,0.8619334967385557
5,combo_009,9.347614972133517,0.5089086206203965,2.954476211074718,2.1535774100763048,A1,Si2,0.4469464353913253,0.5530535646086747,357.6754764078224,1.2473167606352242,0.09991359736808741,0.8597810864060316,0.05305356460867472,355.2307355569773,True,357.6754764078224,0.0,8-10,0.2465753424657534,20,nsga2,0.14351394272434959,0.8751054859960642,0.3814115530757124,0.8612830949653529,0.518236300612287,medium,0.05305356460867472,0.8564860572756504
1,combo_001,11.597155028177363,0.8498016300151127,2.273273227676029,1.0934008871751546,Si1,PU,0.46473874812726024,0.5352612518727398,366.6368138292032,1.732818720635787,0.11225715197684275,1.0550791200483463,0.03526125187273976,363.2404891367571,True,366.6368138292032,0.0,10-12,0.273972602739726,22,nsga2,0.09414537180559722,0.6427325037188738,0.26543976007775927,0.6696806592506808,0.3793106821507751,low,0.03526125187273976,0.9058546281944028
2,combo_005,10.897470440384522,0.8879598521978622,2.28876342666009,1.4912130784070825,Si3,PU,0.46263576030011677,0.5373642396998832,369.9263520353567,1.2734775113539563,0.0763010785828597,1.366018275606623,0.03736423969988323,367.4303361131029,True,369.9263520353567,0.0,10-12,0.273972602739726,22,nsga2,0.09998056058776818,0.8625843178773713,0.6032590052495264,0.3646253627230005,0.46911409702728557,medium,0.03736423969988323,0.9000194394122318
3,combo_002,11.431232619974441,0.807249318664637,2.960920995086509,0.501163570470331,Si1,Si1,0.45596860971774333,0.5440313902822567,355.7412391468884,2.9868268299638046,0.04091861229096711,1.7376764755157421,0.044031390282256666,349.88705856015935,True,355.7412391468884,0.0,10-12,0.273972602739726,22,nsga2,0.11847999353035174,0.04253388832297589,0.9356890212880091,0.0,0.2413659684901177,low,0.044031390282256666,0.8815200064696482
4,combo_014,11.399264073624943,1.1615480961390092,2.0020859669663533,2.3573773404003493,A2,Si3,0.3869686271945909,0.6130313728054091,374.676938512897,1.3381293818363929,0.056869344435834045,1.3065475142821046,0.11303137280540909,372.05420492449764,True,374.676938512897,0.0,10-12,0.273972602739726,22,nsga2,0.3099351787636346,0.8316403687452504,0.7858265979340257,0.42297076698064373,0.5785803578247488,medium,0.11303137280540909,0.6900648212363654
5,combo_005,11.732902420439283,0.8545503530006848,2.5374882189109322,1.4822154322103105,Si3,PU,0.3478228425446446,0.6521771574553554,379.1813321154018,1.1648256464410491,0.07365403981815388,1.1790016384084103,0.15217715745535543,376.89827384837736,True,379.1813321154018,0.0,10-12,0.273972602739726,22,nsga2,0.41855351716311023,0.9145877286973016,0.6281288131296874,0.5481031097236284,0.6287112787007608,medium,0.15217715745535543,0.5814464828368897
6,combo_006,11.442546890362813,0.7675743708331316,2.9477278964571534,1.8698649683192334,Si3,Si3,0.2970990333192276,0.7029009666807724,376.85470856848434,0.9863719177881449,0.045382347746443695,0.9247676782391014,0.2029009666807724,374.9214196096196,True,376.85470856848434,0.0,10-12,0.273972602739726,22,nsga2,0.5592975570290818,1.0,0.8937507449447448,0.7975262355040011,0.7941332292747277,high,0.2029009666807724,0.4407024429709182
1,combo_007,12.676330212382446,0.8456027362033944,1.762747771653947,1.9720473965585168,A1,PU,0.4981056977910403,0.5018943022089597,393.8221745689359,1.5289797659130306,0.07849529294560542,1.3705830508181336,0.0018943022089596973,390.82537422774635,True,393.8221745689359,0.0,12-14,0.2191780821917808,17,nsga2,0.0015616450429839217,0.740294758283484,0.5826436329410514,0.36014696612727637,0.39318577475739136,low,0.0018943022089596973,0.998438354957016
