lexicographic_rank,discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,constraint_violation,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,optimization_method,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level,boundary_gap,boundary_near_score
1,combo_003,8.18707804793429,1.1274816830309622,2.1751420028236437,1.8523961174467476,Si2,PU,0.4986685109048148,0.5013314890951852,318.56885616057275,2.318330026980382,0.095205074511849,1.498358690910792,0.001331489095185212,314.0249293076912,True,318.56885616057275,0.0,8-10,0.2465753424657534,20,nsga2,0.0,0.4142273530586671,0.4083770741842069,0.25126068906271837,0.24363272411384926,low,0.001331489095185212,1.0
2,combo_009,8.56470345051776,0.8720609030758388,2.7080709437796675,0.7507350657130516,A1,Si2,0.4803966689451471,0.5196033310548529,322.49394581481346,2.8079247117114554,0.04150772984323598,1.0135663782138025,0.0196033310548529,316.990413379859,True,322.49394581481346,0.0,8-10,0.2465753424657534,20,nsga2,0.1415503275487538,0.14645179563077426,0.9018742670241251,0.7602460565381401,0.38788991521684213,low,0.0196033310548529,0.8584496724512463
3,combo_009,8.560554165685232,1.1374383694379955,1.4790433211826168,1.9361336194254177,A1,Si2,0.4769469650007778,0.5230530349992222,330.5133755233957,2.6382722287720886,0.08907714275229044,1.4775185618053335,0.023053034999222177,325.34236195500245,True,330.5133755233957,0.0,8-10,0.2465753424657534,20,nsga2,0.16827487586465767,0.23924036054966902,0.4646948891510311,0.27314082307715126,0.26457841600930976,low,0.023053034999222177,0.8317251241353423
4,combo_009,9.916566911777432,1.2110601946995851,1.1444877323621427,2.2130548738925553,A1,Si2,0.44890967936096615,0.5510903206390338,349.1926768511598,3.0756938143094645,0.10404856811404538,1.7358239212394295,0.05109032063903385,343.16431697511325,True,349.1926768511598,0.0,8-10,0.2465753424657534,20,nsga2,0.3854772233156473,0.0,0.32710230548726127,0.0019450040654552803,0.20062923986774708,low,0.05109032063903385,0.6145227766843526
5,combo_011,9.796825706645528,1.4024194870306903,1.4260173783552308,2.3754409258139537,A2,PU,0.44750700262478915,0.5524929973752108,349.11384278291365,2.3193245932162623,0.06279364463076581,1.559645132399081,0.05249299737521085,344.56796658020977,True,349.11384278291365,0.0,8-10,0.2465753424657534,20,nsga2,0.3963436346982073,0.41368339182600355,0.7062493388362747,0.18691581162718252,0.43211252920350596,low,0.05249299737521085,0.6036563653017927
6,combo_009,9.347614972133517,0.5089086206203965,2.954476211074718,2.1535774100763048,A1,Si2,0.4469464358527375,0.5530535641472625,357.6754764080306,1.2473167606535773,0.09991360372547084,0.8597810864060316,0.05305356414726248,355.23073555714956,True,357.6754764080306,0.0,8-10,0.2465753424657534,20,nsga2,0.40068629540926237,1.0,0.36510406015218655,0.9217058429519096,0.6515168918664656,medium,0.05305356414726248,0.5993137045907376
7,combo_006,9.040127986058938,0.6967627762588767,2.8075983955445674,2.494339502694821,Si3,Si3,0.4429119438850506,0.5570880561149494,355.27901462609844,1.3327469723124636,0.07325415458829677,0.7852084014302932,0.05708805611494938,352.666830560366,True,355.27901462609844,0.0,8-10,0.2465753424657534,20,nsga2,0.4319411443062416,0.9532753862295162,0.6101136298626995,1.0,0.7091847423485793,high,0.05708805611494938,0.5680588556937585
8,combo_001,8.309148222875246,1.1946985451157468,1.6897467276175098,1.0544839221936089,Si1,PU,0.4413007390782866,0.5586992609217134,313.93960465911334,2.4879509795310315,0.08187051439578352,1.586472390616648,0.0586992609217134,309.0632207392325,True,313.93960465911334,0.0,8-10,0.2465753424657534,20,nsga2,0.44442300402509183,0.3214560331542261,0.5309262993953354,0.15874976706623878,0.38198258629405285,low,0.0586992609217134,0.5555769959749082
9,combo_004,9.532819997900042,1.1816619614828974,2.667206013959488,0.5977003244674262,Si2,Si2,0.4359181246966841,0.5640818753033159,321.9827561077892,2.426530263389364,0.03877943854064261,1.6527144266693747,0.06408187530331588,317.22675679154605,True,321.9827561077892,0.0,8-10,0.2465753424657534,20,nsga2,0.4861216368430784,0.3550490581918434,0.926948208899437,0.08920199128768402,0.4754272308256704,medium,0.06408187530331588,0.5138783631569216
10,combo_005,9.793312495479961,1.1672254839651064,1.6354121769160035,1.8200498671816394,Si3,PU,0.4300126463410834,0.5699873536589166,351.3401191481263,1.9935674493468978,0.0631834698445983,1.2817417602439583,0.06998735365891662,347.43272694740637,True,351.3401191481263,0.0,8-10,0.2465753424657534,20,nsga2,0.5318708501633628,0.5918507688547212,0.7026667101250825,0.47868766174610966,0.5760465195005263,medium,0.06998735365891662,0.4681291498366372
