cell_d_bin_rank,discrete_combo_id,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,p_tp,p_notp,tmax_pred_given_notp,tmax_std_given_notp,clf_uncertainty_raw,nn_distance_raw,feasibility_margin,robust_tmax_lower_95,is_feasible,objective_score,cell_d_bin_label,cell_d_bin_weight,cell_d_bin_trial_quota,trust_feasibility_score,trust_tmax_unc_score,trust_clf_unc_score,trust_support_score,trust_score,trust_level
1,combo_002,9.557298651734248,0.6301928622062626,2.675565387653318,2.4990684562560936,Si1,Si1,0.43094962488422084,0.5690503751157792,360.16691133737345,1.6128324025873892,0.06884095971501293,1.2348168185786754,0.06905037511577916,357.0057598283022,True,360.16691133737345,8-10,0.2465753424657534,20,0.5683233668127026,0.7796219781898176,0.5897017453461938,0.49403651227941725,0.6248455977525426,medium
2,combo_009,9.590350803947581,0.6193412697232724,2.6775130245673324,2.2237014623788554,A1,Si2,0.42159008540136256,0.5784099145986374,358.42984724341494,1.2637483417989097,0.09973751372972493,0.879707090280636,0.07840991459863744,355.9529004934891,True,358.42984724341494,8-10,0.2465753424657534,20,0.5777227135324993,0.8503081415336989,0.40214315086108854,0.6572019920216519,0.6363043211719499,medium
3,combo_009,9.347614972133517,0.5089086206203965,2.954476211074718,2.1535774100763048,A1,Si2,0.4469464353913253,0.5530535646086747,357.6754764078224,1.2473167606352242,0.09991359736808741,0.8597810864060316,0.05305356460867472,355.2307355569773,True,357.6754764078224,8-10,0.2465753424657534,20,0.5522585199639296,0.853635378610955,0.4010742290742976,0.666357573303888,0.6295495773811045,medium
4,combo_006,9.040127986058938,0.6967627762588767,2.8075983955445674,2.494339502694821,Si3,Si3,0.44291194417706947,0.5570880558229305,355.2790146264752,1.3327469722781102,0.07325414649796232,0.7852084014302932,0.05708805582293053,352.6668305608101,True,355.2790146264752,8-10,0.2465753424657534,20,0.5563101703501709,0.8363365827820888,0.5629113430956356,0.7006221595714899,0.663285127012037,medium
5,combo_009,9.797580862716885,0.7823575500882196,2.7712078804287006,2.2109886618391,A1,Si2,0.15730826877404525,0.8426917312259548,352.3961192490695,1.0525122769689415,0.07607278403349757,0.7749387614613684,0.34269173122595475,350.3331951862104,True,352.3961192490695,8-10,0.2465753424657534,20,0.843128552224393,0.8930814121005761,0.5458007069296664,0.7053408439633275,0.7779806848891428,high
6,combo_010,9.964900332792075,1.20651627737612,1.1172326943690254,2.421250919749272,A1,Si3,0.4424403875580083,0.5575596124419917,351.16120899850927,3.27049069293273,0.08480911989088655,1.050142006040763,0.0575596124419917,344.7510472403611,True,351.16120899850927,8-10,0.2465753424657534,20,0.5567837325557355,0.4439621247578708,0.4927664794368055,0.5788907192550308,0.5134498475974844,medium
7,combo_001,9.792756902916643,0.8239320075948701,2.67046005085683,2.16160882513935,Si1,PU,0.16879998457943657,0.8312000154205634,350.55392703806865,0.7564564172923491,0.0632762548714944,0.5472378796859164,0.33120001542056343,349.07127246017563,True,350.55392703806865,8-10,0.2465753424657534,20,0.8315879607820398,0.9530298749686449,0.6234824776141941,0.8099646282530091,0.8231559385250975,high
8,combo_011,9.93882644614151,1.000579790003041,2.8323603050930486,0.9762674371818596,A2,PU,0.4157228916664053,0.5842771083335947,349.1480625091484,2.0676491817424107,0.09362241577913845,1.368955673416409,0.0842771083335947,345.0954701129333,True,349.1480625091484,8-10,0.2465753424657534,20,0.5836148611416935,0.6875259567608414,0.43926506342792726,0.4324025190160634,0.56323637896584,medium
9,combo_011,9.796825706645528,1.4024194870306903,1.4260173783552308,2.3754409258139537,A2,PU,0.44750700275908173,0.5524929972409183,349.1138427837502,2.319324593157041,0.06279364447985232,1.559645132399081,0.05249299724091827,344.5679665811624,True,349.1138427837502,8-10,0.2465753424657534,20,0.5516955684363468,0.6365641076271091,0.6264121806062233,0.3447847080205243,0.5610628235651774,medium
10,combo_002,8.892410714716712,0.6545136375137346,2.9735360466758274,2.4931442099906533,Si1,Si1,0.2946177483252086,0.7053822516747914,348.6748417224768,2.071766274518996,0.06675995655263227,1.2613722866524855,0.2053822516747914,344.6141798244196,True,348.6748417224768,8-10,0.2465753424657534,20,0.7052350790914516,0.6866922850891806,0.602334546663432,0.4818348311010119,0.6455820972066004,medium
1,combo_005,11.997327532935616,0.8255644346752137,2.516282515808866,1.9182737167083674,Si3,PU,0.3066424602525899,0.6933575397474101,386.3740953313354,1.1105308402199856,0.05442915995502158,0.968888770028774,0.1933575397474101,384.1974548845042,True,386.3740953313354,10-12,0.273972602739726,22,0.6931592246310764,0.8813332113099774,0.6771890717871181,0.6162248787500311,0.7348772381837982,high
2,combo_005,11.945757209848287,0.8224921584215341,2.4600213426579067,1.6247852384306134,Si3,PU,0.39814096031699364,0.6018590396830064,385.1218006939184,1.118637401313342,0.07029117568329137,1.087623629545809,0.10185903968300636,382.9292713873442,True,385.1218006939184,10-12,0.273972602739726,22,0.6012715705406388,0.8796917106917371,0.5808981593999862,0.5616686985854483,0.6747824995645593,high
3,combo_005,11.983406930409982,0.885123789735769,2.333654349338279,1.532036890241008,Si3,PU,0.3899230942136853,0.6100769057863147,383.6977043737944,1.0372442936193667,0.07781244595531799,0.9408503760197634,0.11007690578631468,381.66470555830045,True,383.6977043737944,10-12,0.273972602739726,22,0.6095243882079319,0.8961730318168761,0.5352400293608823,0.6291079333247633,0.68359964128873,high
4,combo_005,11.982419773448362,0.9312200009114371,2.316265696640681,1.6468196445641385,Si3,PU,0.308726910876544,0.691273089123456,382.5054499685414,0.9925197209268143,0.06967091521262658,0.9409687752735674,0.19127308912345597,380.56011131552486,True,382.5054499685414,10-12,0.273972602739726,22,0.691065908590183,0.9052293274371641,0.5846634719341013,0.6290535313483923,0.7247325903267924,high
5,combo_005,11.732902420439283,0.8545503530006848,2.5374882189109322,1.4822154322103105,Si3,PU,0.3478228425446446,0.6521771574553554,379.1813321154018,1.1648256464410491,0.07365403981815388,1.1790016384084103,0.15217715745535543,376.89827384837736,True,379.1813321154018,10-12,0.273972602739726,22,0.6518036972650447,0.8703390354871174,0.5604837769326456,0.5196824181041573,0.6792821227910535,high
6,combo_013,11.144030134397083,0.9744134556650218,2.3946511216284203,2.443423521702735,A2,Si2,0.4162964259987234,0.5837035740012766,377.79977189239406,1.4096353282506655,0.09452765596917823,1.272763761124067,0.08370357400127659,375.03688664902273,True,377.79977189239406,10-12,0.273972602739726,22,0.5830388874995033,0.8207674305347975,0.43376977169945674,0.4766006872603593,0.6085378972142107,medium
7,combo_013,11.159789423875463,0.9993678113418392,2.3017228748775027,2.478727616785955,A2,Si2,0.43658302486643663,0.5634169751335634,377.72847254509406,1.466024312396442,0.09423773919169681,1.270764067142479,0.06341697513356337,374.85506489279703,True,377.72847254509406,10-12,0.273972602739726,22,0.5626660073089449,0.8093492038328368,0.4355297214749615,0.47751950474645655,0.5984717337149426,medium
8,combo_002,11.158912765981299,0.7050151543504547,2.447003918060053,2.039580279051493,Si1,Si1,0.4715326868288443,0.5284673131711557,376.21491438291866,1.142417882177459,0.038784605593770484,1.1216222927258528,0.028467313171155695,373.97577533385083,True,376.21491438291866,10-12,0.273972602739726,22,0.5275677002687315,0.8748763921379188,0.7721598774615912,0.5460470252087319,0.6834506420090597,high
9,combo_009,10.847498086664286,0.6792109115044069,2.3079010205284973,2.4995654915686805,A1,Si2,0.45639731966824115,0.5436026803317588,375.7132701393768,1.6456404331961607,0.10693934433137124,0.9548184615413183,0.04360268033175885,372.48781489031234,True,375.7132701393768,10-12,0.273972602739726,22,0.5427674399497792,0.7729786676778321,0.3584241903348949,0.6226898906929033,0.5869505259566867,medium
