Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power
1,18.62684818,Si1,1.458072224,Si1,2.86382676,1.893774539,0,269.2523,-0.001369564,0.05222171,273.978,1184.959,,
2,12.52869446,Si1,1.001808979,Si1,1.241708597,2.170434416,0,276.5266,301.5515,-0.006385412,0.05204572,1249.321,,
3,17.84383893,Si1,0.268509317,Si1,2.588366313,1.607868421,1,316.8052,617.4394,-0.00218473,0.03888819,1498.415,,
4,17.93445734,Si1,0.479760148,Si1,1.582999054,1.338977718,1,317.8407,920.8149,-0.002196058,0.03030559,1486.597,,
5,12.30103579,Si1,1.477309805,Si1,2.770502695,0.548870428,0,223.556,220.4804,-0.00149188,0.05215871,1045.055,,
6,16.02199905,Si1,0.542023691,Si1,1.810416534,1.95165465,1,312.0508,649.965,-0.0027398,0.0285722,1413.422,,
7,17.6566805,Si1,0.531196288,Si1,2.633629062,2.409026922,1,312.5422,670.7972,-0.003025869,0.03414909,1413.26,,
8,12.87817248,Si1,1.337347579,Si1,2.976586022,2.336417144,0,245.7626,247.917,-0.005317672,0.05216275,1087.536,,
9,14.30469891,Si1,1.972358972,Si1,2.355482905,2.492923913,0,230.7124,225.669,-0.001742338,0.05198659,1010.203,,
10,14.67424021,Si1,0.564953734,Si1,1.316618624,0.815713546,1,309.7368,859.8222,-0.00536559,0.02110465,1383.258,,
11,16.302748,Si1,0.433537444,Si1,2.490986588,2.115923496,1,311.7466,594.0592,-0.001992094,0.0298814,1416.588,,
12,15.2531209,Si1,0.318545961,Si1,2.013664799,1.761156763,1,314.2407,563.3429,-0.002605246,0.03089078,1450.531,,
13,13.49089893,Si1,0.514234953,Si1,2.940748709,1.493713682,1,303.5836,871.2251,-0.008859308,0.01935923,1308.564,,
14,14.84680003,Si1,0.558711947,Si1,2.934318749,2.046469012,1,312.7613927,856.6004366,-0.00760242,0.02135918,1326.188874,,
15,18.98046835,Si1,0.425420193,Si1,2.746541781,1.153626705,1,314.2152,932.0463,-0.000465362,0.02931779,1479.887,,
16,14.6559965,Si1,0.388034242,Si1,2.795653036,2.38565829,1,311.6638,562.2603,-0.004644249,0.01893424,1376.026,,
17,14.03534867,Si1,0.362211251,Si1,1.238204977,0.722295272,1,308.0811,609.957,-0.002392136,0.02904737,1441.175,,
18,13.74962758,Si1,0.454414648,Si1,1.133387629,1.655306154,1,313.4154,705.3342,-0.002342135,0.02509431,1429.034,,
19,16.94755646,Si1,1.765520856,Si1,2.139781437,1.688492175,0,248.2692,244.1401,-0.000414539,0.05231596,1101.283,,
20,14.94408592,Si1,0.704220033,Si1,2.370926716,1.831402762,1,314.5102,896.2173,-0.009840208,0.01712925,1305.742,,
21,17.31380517,Si1,0.572657225,Si1,2.6781643,1.19229495,1,308.6057,856.6134,-0.002965867,0.01906629,1374.88,,
22,12.10878406,Si1,0.403154262,Si1,2.29968358,0.886933679,1,292.1919,808.9561,-0.00557782,0.03376049,1349.874,,
23,12.2244285,Si1,0.802911918,Si1,1.798230703,1.510630384,0,272.3423,292.6169,-0.004446911,0.05228855,1265.265,,
24,14.45448597,Si1,1.659296555,Si1,1.176609765,1.722313775,0,247.7642,243.5607,-0.007396457,0.05226371,1102.261,,
25,16.60077623,Si1,0.330428957,Si1,2.979344658,1.038177171,1,307.6193,632.0267,-0.002029348,0.02881673,1419.941,,
26,12.65653163,Si1,1.207359029,Si1,2.537372765,2.289549832,0,253.3885,257.1641,-0.006452528,0.05231738,1126.851,,
27,19.37542085,Si1,0.451426464,Si1,1.531075622,2.197039373,1,321.5915,703.4329,-0.002376178,0.03184078,1523.726,,
28,19.53632204,Si1,0.503631177,Si1,2.720565066,1.987705996,1,313.9197,595.1368,-0.00239629,0.02252513,1465.215,,
29,17.55485664,Si1,1.927287788,Si1,2.30289886,2.358034251,0,245.9010886,240.4765848,-0.004726937,0.05198329,1081.920726,,
30,16.19381065,Si1,1.081047911,Si1,2.123741577,0.946872721,0,268.5126,273.3244,-0.004352648,0.05231589,1218.421,,
31,19.3339357,Si1,0.379760203,PU,2.244487163,2.233841509,1,319.7139,577.3182,-0.003319389,0.03366809,1515.628,,
32,15.76814452,Si1,0.58992529,PU,1.849159101,1.375890969,1,309.6729,708.7055,-0.002695375,0.02425838,1397.745,,
33,15.0600743,Si1,0.371841214,PU,1.722946044,1.266081887,1,312.7722,652.7956,-0.005510278,0.03122491,1450.865,,
34,19.17589525,Si1,0.48143976,PU,1.383919543,2.311352583,1,321.7915,542.9315,-0.002351237,0.03620906,1515.397,,
35,18.44334666,Si1,1.539945902,PU,2.449101948,0.767896213,0,256.4960456,251.72138,-0.007682874,0.051960224,1174.276157,,
36,15.58433078,Si1,1.604103507,PU,2.555810992,2.433815596,0,256.2285651,252.9201709,-0.006467791,0.052071162,1116.162572,,
37,13.41038755,Si1,0.970650147,PU,1.343472983,2.468896015,1,298.0658904,891.7861117,-0.006196085,0.042720377,1274.694509,,
38,18.38118458,Si1,1.274950167,PU,2.998720407,2.499282949,0,307.4379503,320.9531954,-4.50E-04,0.051871632,1228.938748,,
39,13.9146868,Si1,0.396790621,PU,2.898239833,2.462401239,1,312.1656982,639.5998436,-0.00372589,0.032178139,1387.629709,,
40,15.68552034,Si1,0.936078738,PU,2.706971256,1.215077596,0,280.7776552,295.0692776,-0.006510796,0.052243185,1262.806178,,
41,18.16369254,Si1,0.496766543,PU,2.520782895,1.402209772,1,314.119188,917.6657859,-0.002224711,0.032480784,1453.797808,,
