A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type
16.77615584,0.657681671,2.722168255,2.397046885,A1,PU
16.73456869,1.63687988,1.633240588,1.638829457,A1,PU
16.08048162,0.782688432,2.550857145,1.93971597,A1,Si1
14.638620630000002,2.189869035,1.521183227,1.700442322,A1,Si1
18.07181569,0.524770347,1.64735208,0.764816515,A1,Si1
16.87083475,0.250612783,2.054356229,2.008414261,A1,Si1
16.62961033,1.880202891,2.296969506,0.609144189,A1,Si1
13.71368807,0.400557015,2.080101573,2.462202305,A1,Si1
11.205470142,2.388576472,2.785238038,2.037649385,A1,Si1
14.028938060000002,0.318914166,1.194165499,1.397446517,A1,Si1
14.136769869999998,0.257128353,2.993576787,0.831459978,A1,Si1
13.163958604000001,0.251942428,1.44951294,0.904354792,A1,Si2
12.373453229999999,0.561699732,1.977066462,2.409791143,A1,Si2
11.328170526000001,0.262902426,2.86253203,0.560784172,A1,Si2
14.51274154,1.611778949,2.854543763,1.194277214,A1,Si2
14.06762453,1.440622745,1.530786851,1.012174606,A1,Si2
14.34141731,0.599640954,2.975615899,2.359643906,A1,Si2
17.04629306,1.737292802,2.313884865,0.689707689,A1,Si2
18.79940288,0.348917313,2.701512564,1.718481772,A1,Si2
17.70132044,0.947811771,1.84532328,1.777563456,A1,Si2
17.58092355,2.335729799,2.736900264,2.147569417,A1,Si2
17.94201425,0.276419332,2.838821339,1.135296685,A1,Si3
18.63050098,0.253307799,2.124507799,2.375168834,A1,Si3
17.1298459,1.075680118,2.010184034,2.262444932,A1,Si3
13.244613619999999,0.542554026,2.756589912,1.764546037,A1,Si3
16.82106213,1.229380214,2.899433836,2.337124591,A1,Si3
11.796590721000001,0.769024849,1.423184661,2.295106656,A1,Si3
17.40851726,1.041688263,1.328837814,1.538163581,A1,Si3
11.567924388000002,2.287551346,2.483504887,1.683021085,A1,Si3
13.95541305,0.265774801,1.163809775,0.917384586,A1,Si3
14.99253594,2.094508329,2.630104339,0.679022843,A1,Si3
13.619760450000001,0.322632724,1.23059624,1.949465706,A2,PU
14.20878398,0.388444766,2.410751216,0.653249859,A2,PU
14.750715580000001,1.309742851,2.377436037,2.266637593,A2,PU
18.05609027,0.269047108,2.602397488,2.468686194,A2,PU
18.84347052,1.20548389,2.961742583,2.051140417,A2,PU
15.94338934,0.502664564,2.642446696,1.745784684,A2,PU
11.408203152999999,0.336341253,2.92650417,2.01399067,A2,PU
12.600931425999999,1.540763213,1.671018788,1.203185704,A2,PU
17.758618470000002,0.518459974,1.663479661,1.570648437,A2,PU
15.818358320000002,1.817821594,2.815137091,1.140013845,A2,PU
12.473131258999999,0.331288007,1.865188596,1.286827926,A2,Si1
18.71532463,0.250352382,1.816035144,1.845437049,A2,Si1
