data_row_no	excel_row_no	Eval#	TP_NoTP	Time_MaxT	actual_tmax	pred_tmax	abs_err		
253	255	14	0		299.6546157	326.7525121	27.09789638	recalc	v
235	237	14	0		323.6695681	302.6767543	20.99281379	v	
108	110	4	0		320.7654914	301.135569	19.62992242	v	
143	145	12	0		319.0258172	300.7694831	18.25633408	recalc	
70	72	12	0		302.7470088	286.0823201	16.66468868	v	
213	215	10	0		318.3937786	302.0117797	16.38199894	v	
152	154	5	0		311.1344113	297.2953586	13.83905266	v	
121	123	8	0		277.8017799	291.5319795	13.73019956	v	
247	249	8	0		308.910225	322.4938516	13.58362658	v	
250	252	11	0		305.2710773	292.3297533	12.94132402	recalc	v
