accuracy,tp_precision,tp_recall,tp_f1,confusion_matrix_labels_NoTP0_TP1,tmax_mae,tmax_rmse,tmax_r2,tmax_eval_n,model,fold,cv_model_group
0.875,0.875,0.9032258064516129,0.8888888888888888,"[[21, 4], [3, 28]]",6.0278382485068365,8.298035474933242,0.8946471151141218,25,gp,0,gp_cv
0.8909090909090909,0.9629629629629629,0.8387096774193549,0.896551724137931,"[[23, 1], [5, 26]]",5.4603212508415035,7.415398847093477,0.9205542184046819,24,gp,1,gp_cv
0.8909090909090909,0.8787878787878788,0.9354838709677419,0.90625,"[[20, 4], [2, 29]]",3.969321139372822,4.87265979715242,0.9577823500087315,24,gp,2,gp_cv
0.8909090909090909,0.8787878787878788,0.9354838709677419,0.90625,"[[20, 4], [2, 29]]",3.9126025479851734,4.68974383745597,0.9436826746335801,24,gp,3,gp_cv
0.8181818181818182,0.8181818181818182,0.8709677419354839,0.84375,"[[18, 6], [4, 27]]",3.5719837277636777,4.580605222625688,0.9651740469782106,24,gp,4,gp_cv
0.9107142857142857,0.9333333333333333,0.9032258064516129,0.9180327868852459,"[[23, 2], [3, 28]]",5.242551859281253,7.643963585929309,0.910600914313954,25,mlp,0,mlp_cv
0.8363636363636363,0.8928571428571429,0.8064516129032258,0.847457627118644,"[[21, 3], [6, 25]]",4.388604982381183,6.602599436901525,0.937015786168567,24,mlp,1,mlp_cv
0.8181818181818182,0.8387096774193549,0.8387096774193549,0.8387096774193549,"[[19, 5], [5, 26]]",2.887252578637696,3.5760710337140673,0.9772608541300316,24,mlp,2,mlp_cv
0.8727272727272727,0.875,0.9032258064516129,0.8888888888888888,"[[20, 4], [3, 28]]",4.3766624271403005,5.334896388307145,0.9271221156365697,24,mlp,3,mlp_cv
0.8727272727272727,0.9285714285714286,0.8387096774193549,0.8813559322033898,"[[22, 2], [5, 26]]",3.370814708325195,5.13673150299764,0.9562043462567802,24,mlp,4,mlp_cv
