sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,acq_misclass_repair,CellD_x_Resin,Barrier_x_Outer
1,boundary,hybrid,12.428476638553194,0.7592171923236595,2.904821360528956,1.6950370011769242,Si1,PU,combo_001,0.5071463362442756,0.49285366375572437,0.9857073275114487,0.30233881772875487,0.8952367903897599,277.8186127151381,6.197291894089734,0.0,0.2397582906587175,0.9999998559999999,0.8784432986390902,0.3272439120883847,0.5273852759556493,0.26653532731421864,21.066727770610665,2.205390317542587
2,boundary,hybrid,12.78617978480229,0.8841433518961221,2.7278607034433793,2.0791194353276357,Si1,PU,combo_001,0.4905854091493467,0.5094145908506533,0.9811708182986933,0.3266790231045206,0.9673090754944291,280.4569587475163,5.968798376707428,0.0,0.11034446496613515,0.9999998559999999,0.8680549795498917,0.32116503267798546,0.529648678315151,0.4481862299286493,26.583994894175767,2.411819905848143
3,boundary,hybrid,14.097909571326703,0.9690949564230079,2.8220474333122523,2.4860102048724544,Si1,PU,combo_001,0.5068258888399804,0.49317411116001963,0.9863482223200393,0.24467199908104018,0.7244831204640559,291.57358976013853,5.4533903377548505,0.0,0.23830370031026032,0.9999998559999999,0.8566381331679911,0.3648616850056251,0.4558462167104651,0.22543970976510497,35.04754706168723,2.7348319344093985
4,boundary,hybrid,14.486500251662505,0.6136718360985169,1.1433290791146151,0.5286532030132427,Si1,Si1,combo_002,0.5063942709956475,0.4936057290043525,0.987211458008705,0.21373719025732613,0.6328839606878203,299.0637673282545,6.168727700334918,0.0,0.20732877277652847,0.9999998699999999,0.8413122150327026,0.38730122906823056,0.4302535931281348,0.12005215088780377,7.65833475849353,0.7016288552450924
5,boundary,hybrid,16.42583867514289,0.5573187252097632,2.7796057599657686,0.7622922720957308,Si1,Si1,combo_002,0.5045406346296879,0.4954593653703121,0.9909187307406242,0.17889412211795522,0.5297122946277448,303.3289243416697,5.396961552569639,0.0,0.1767383185855958,0.9999998699999999,0.8262793831072657,0.39355002963304603,0.3775649576734197,0.15173196505273132,12.521289884752603,1.5491263387298373
6,boundary,hybrid,16.11656128187108,0.5859287098720124,2.1055080605452132,0.5538432720051787,Si1,Si1,combo_002,0.47936156297733845,0.5206384370226615,0.9587231259546769,0.16377902566772976,0.4849559121762696,303.86033241478117,5.521376196546725,0.0,0.33484130955186253,0.9999998699999999,0.8215380400739007,0.41149908953337094,0.38754855021156565,0.11184687375168043,8.926049033823455,1.2336776215403797
7,boundary,hybrid,17.695978733074412,0.6860302890062351,2.515754660663135,0.5475483647054125,Si1,Si1,combo_002,0.4967962044626839,0.5032037955373161,0.9935924089253678,0.1237757093975577,0.36650455275484606,300.1268567873567,5.372931357649358,0.0,0.23820204201414064,0.9999998699999999,0.8149077219085066,0.3900300171769724,0.3292884788624352,0.12920245864893967,9.689404217156651,1.7258838969235135
8,boundary,hybrid,18.214419800382498,0.7471839516394384,2.464352532775818,0.5012173403325438,Si1,Si1,combo_002,0.48674613113508514,0.5132538688649149,0.9734922622701703,0.10712085980797911,0.31718890198426464,298.62503700521233,5.654234004860926,0.0,0.3305219240118291,0.9999998699999999,0.8083586652376928,0.3960269913185349,0.33024623765485994,0.18728723346533754,9.129383048048139,1.8413246636720944
9,boundary,hybrid,19.994542869179693,1.6746109407755145,1.1105113355416099,2.2134152028701557,Si1,Si1,combo_002,0.49852463058043517,0.5014753694195648,0.9970492611608703,0.11607744239228077,0.3437096878040103,306.9427562500862,5.8172524284904945,0.0,0.18660861477257853,0.9999998699999999,0.8073363276264158,0.4071916786538931,0.3204741336409533,0.1611092788435891,44.256225161081396,1.8596744323532084
10,boundary,hybrid,18.759508437298724,1.3138187849836915,1.5785711004827094,1.806075827773435,Si1,Si1,combo_002,0.49232399182688447,0.5076760081731155,0.9846479836537689,0.10554601656908907,0.3125257305296206,314.63188914729534,4.750213513767289,0.0,0.24617569525672472,0.9999998699999999,0.8035389022187878,0.4313678015485062,0.30191753558136236,0.26384363967853797,33.88109472951703,2.0739563652465622
