TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,Eval#,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,CellD_x_Resin,Barrier_x_Outer,oof_tmax_pred
0,0,0,False,3.378788517238718e-05,0.9999662121148276,False,0.4999662121148276,0.19467191206563939,3_2_3_2,18.62684818,1.458072224,2.86382676,1.893774539,Si1,Si1,combo_002,1,269.2523,273.978,-0.001369564,0.05222171,1184.959,Initial,,35.27505082510249,4.1756662531039135,278.57999250150374
0,0,0,False,0.2442502680249845,0.7557497319750155,False,0.2557497319750155,0.05213830252003757,0_1_0_3,12.52869446,1.001808979,1.241708597,2.170434416,Si1,Si1,combo_002,2,276.5266,301.5515,-0.006385412,0.05204572,1249.321,,,27.192709643532535,1.2439548217760923,276.06514672561696
1,1,1,False,0.9998728102897303,0.00012718971026970394,False,0.4998728102897303,0.1745002473957412,2_0_3_2,17.84383893,0.268509317,2.588366313,1.607868421,Si1,Si1,combo_002,3,316.8052,617.4394,-0.00218473,0.03888819,1498.415,,,28.69054512495743,0.6950004708494383,365.158000791397
1,1,1,False,0.9999970767631794,2.9232368206066894e-06,False,0.4999970767631794,0.2717440596619065,2_0_1_1,17.93445734,0.479760148,1.582999054,1.338977718,Si1,Si1,combo_002,4,317.8407,920.8149,-0.002196058,0.03030559,1486.597,,,24.01383876268155,0.7594598604309,368.5728190918466
0,0,0,False,8.952861162470072e-05,0.9999104713883753,False,0.4999104713883753,0.25147677558099,0_2_3_0,12.30103579,1.477309805,2.770502695,0.548870428,Si1,Si1,combo_002,5,223.556,220.4804,-0.00149188,0.05215871,1045.055,,,6.751674778900618,4.092890796102424,224.263612200046
1,1,1,False,0.9999940833446317,5.9166553683098755e-06,False,0.4999940833446317,0.1171929798619558,2_0_1_2,16.02199905,0.542023691,1.810416534,1.95165465,Si1,Si1,combo_002,6,312.0508,649.965,-0.0027398,0.0285722,1413.422,,,31.269408948228087,0.981288652006107,339.5434894625502
1,1,1,False,0.9998344421032925,0.0001655578967074689,False,0.49983444210329253,0.16367644657108177,2_0_3_3,17.6566805,0.531196288,2.633629062,2.409026922,Si1,Si1,combo_002,7,312.5422,670.7972,-0.003025869,0.03414909,1413.26,,,42.535418677652416,1.3989739817033215,360.35979462442174
0,0,0,False,0.0026984792726807427,0.9973015207273193,False,0.49730152072731926,0.2455021436757893,0_2_3_3,12.87817248,1.337347579,2.976586022,2.336417144,Si1,Si1,combo_002,8,245.7626,247.917,-0.005317672,0.05216275,1087.536,,,30.088782965660997,3.9807301102069412,243.11810489229237
0,0,0,False,0.000803507429623096,0.9991964925703769,False,0.4991964925703769,0.28610651603858034,1_3_2_3,14.30469891,1.972358972,2.355482905,2.492923913,Si1,Si1,combo_002,9,230.7124,225.669,-0.001742338,0.05198659,1010.203,,,35.660525981004035,4.6458578410693745,229.97473145505438
1,1,1,False,0.9872686008798155,0.012731399120184506,False,0.4872686008798155,0.12335461054030075,1_0_0_0,14.67424021,0.564953734,1.316618624,0.815713546,Si1,Si1,combo_002,10,309.7368,859.8222,-0.00536559,0.02110465,1383.258,,,11.969976516554885,0.7438286078827421,308.70100766499945
1,1,1,False,0.999944734886185,5.526511381503951e-05,False,0.49994473488618496,0.21911748114848675,2_0_2_3,16.302748,0.433537444,2.490986588,2.115923496,Si1,Si1,combo_002,11,311.7466,594.0592,-0.001992094,0.0298814,1416.588,,,34.49536754256701,1.0799359583998012,354.30039484473616
1,1,1,False,0.9999635597328052,3.6440267194848275e-05,False,0.49996355973280515,0.16019585167819164,1_0_1_2,15.2531209,0.318545961,2.013664799,1.761156763,Si1,Si1,combo_002,12,314.2407,563.3429,-0.002605246,0.03089078,1450.531,,,26.863137029891647,0.6414447885293267,356.42056573710056
1,1,1,False,0.9265398595625811,0.07346014043741889,False,0.4265398595625811,0.06251876238539773,0_0_3_1,13.49089893,0.514234953,2.940748709,1.493713682,Si1,Si1,combo_002,13,303.5836,871.2251,-0.008859308,0.01935923,1308.564,,,20.151540314220163,1.5122357741574257,296.5798141792508
1,1,1,False,0.9980369808855585,0.001963019114441522,False,0.4980369808855585,0.20204709435460916,1_0_3_3,14.84680003,0.558711947,2.934318749,2.046469012,Si1,Si1,combo_002,14,312.7613927,856.6004366,-0.00760242,0.02135918,1326.188874,,,30.383516188755674,1.6394389413723944,321.74698819480636
1,1,1,False,0.9998680440443195,0.00013195595568049612,False,0.4998680440443195,0.20408973612526327,3_0_3_1,18.98046835,0.425420193,2.746541781,1.153626705,Si1,Si1,combo_002,15,314.2152,932.0463,-0.000465362,0.02931779,1479.887,,,21.896375161967285,1.1684343345555837,347.1541774440007
1,1,1,False,0.9996069817157149,0.0003930182842850627,False,0.49960698171571494,0.11401412060036484,1_0_3_3,14.6559965,0.388034242,2.795653036,2.38565829,Si1,Si1,combo_002,16,311.6638,562.2603,-0.004644249,0.01893424,1376.026,,,34.964199548435985,1.0848091067192587,321.61558290002745
1,1,1,False,0.9972781097611687,0.0027218902388312927,False,0.4972781097611687,0.13496852903648526,1_0_0_0,14.03534867,0.362211251,1.238204977,0.722295272,Si1,Si1,combo_002,17,308.0811,609.957,-0.002392136,0.02904737,1441.175,,,10.137665985212488,0.4484917737135963,310.6188348739701
