Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,CellD_x_Resin,Barrier_x_Outer,discrete_combo_id,oof_predicted_label
2,12.52869446,Si1,1.001808979,Si1,1.241708597,2.170434416,0,276.5266,301.5515,-0.006385412,0.05204572,1249.321,,,27.192709643532535,1.2439548217760923,combo_002,1
23,12.2244285,Si1,0.802911918,Si1,1.798230703,1.510630384,0,272.3423,292.6169,-0.004446911,0.05228855,1265.265,,,18.466593119135542,1.4438208627522182,combo_002,1
38,18.38118458,Si1,1.274950167,PU,2.998720407,2.499282949,0,307.4379503,320.9531954,-0.00045,0.051871632,1228.938748,,,45.93978120321572,3.823219083690958,combo_001,1
50,13.1239063,Si1,0.547659429,PU,1.696203946,0.567925676,0,288.8643354,319.5670036,-0.004784216,0.052034768,1364.26726,,,7.453403357188159,0.9289420845339068,combo_001,1
10,12.17450815,Si1,0.954668269,Si1,2.0137605,2.448021916,1,271.6831572,886.138147,-0.003837766,0.046348402,1216.264224,,,29.803462767720614,1.9224732507155746,combo_002,0
11,15.91340396,Si1,1.072032294,PU,1.739697257,1.910389502,1,316.412194,581.1649795,-0.02060031,0.026041902,1268.90539,,,30.400799866269228,1.8650116412872175,combo_001,0
2,18.27718379,Si1,1.056774647,PU,2.239840708,1.527581188,0,273.7040766,284.3815126,-0.0026677,0.0521148,1247.130044,Itr_2,,27.919882127222543,2.36700687353293,combo_001,1
13,12.53581065,Si1,0.885879093,Si1,1.909329157,2.181687159,1,279.3953433,532.026863,-0.004563679,0.037422166,1244.686509,,,27.349217122760443,1.6914347818416147,combo_002,0
13,14.93016924,Si1,0.620419594,PU,2.205178207,0.837707523,1,324.615427,861.4573987,-0.017112899,0.009830814,1350.378556,,,12.507115092011192,1.368135767884588,combo_001,0
16,18.31462741,Si1,1.195628978,PU,2.96759448,2.46928919,1,350.0964385,682.2225619,-0.004935873,-0.005833305,1243.366911,,,45.2241114823907,3.5481419552408413,combo_001,0
17,19.61684961,Si1,0.267335985,Si1,2.771518957,2.498822917,0,319.4298072,588.8355179,-0.002406356,0.033207716,1527.551529,,,49.01903336481051,0.7409267503157676,combo_002,1
