sampling_rank	selected_bucket	selected_model_kind	A_Cell_D	C_Barrier_Thx	E_Barrier_Outer_Thx	F_ThermalResin_Thx	B_Barrier_Type	D_Barrier_Outer_Type	discrete_combo_id	p_tp	p_notp	boundary_score	clf_uncertainty_raw	clf_uncertainty_scaled	tmax_pred_given_notp	tmax_std_given_notp	notp_window_score	local_sparsity	combo_priority	acq_boundary	acq_notp_high_tmax	acq_uncertainty_sparse	acq_misclass_repair	CellD_x_Resin	Barrier_x_Outer
1	boundary	gp	13.02007033	0.424654217	2.93654771	1.025272074	Si1	Si1	combo_002	0.507742185	0.492257815	0.984515631	0.20603251	0.644184577	288.2025577	10.62427965	0	0.338802803	0.999999912	0.858535626	0.613679544	0.455549453	0.090162273	13.34911451	1.247017367
2	boundary	gp	17.70384939	1.130869664	2.024496482	2.178383548	Si1	Si1	combo_002	0.523069613	0.476930387	0.953860773	0.319272008	1	295.9932086	9.868382065	0	0.11362617	0.999999912	0.855887973	0.635115085	0.523791322	0.429208859	38.56577424	2.289441656
3	boundary	gp	15.09054888	0.916927263	2.857181421	2.121012123	Si1	PU	combo_001	0.503458566	0.496541434	0.993082867	0.196482475	0.61417694	293.5707036	10.58246308	0	0.289619716	0.999999905	0.853492835	0.643124237	0.436423665	0.215732984	32.00723711	2.619827541
4	boundary	gp	19.75933118	1.487633002	1.675549272	2.098824707	Si1	PU	combo_001	0.508968273	0.491031727	0.982063453	0.164291965	0.513029547	288.0206749	10.5902981	0	0.435457098	0.999999905	0.852902878	0.621879415	0.423131078	0.040058978	41.47137247	2.492602393
5	boundary	gp	18.31906862	1.143386747	2.339437813	1.45480798	Si1	PU	combo_001	0.495716075	0.504283925	0.991432149	0.267661782	0.83783296	289.8047207	9.991153209	0	0.06897243	0.999999905	0.852235477	0.591670086	0.463991961	0.583042865	26.65072722	2.674882191
6	boundary	gp	18.20667063	1.047882156	2.437834939	1.171234734	Si1	PU	combo_001	0.492193912	0.507806088	0.984387824	0.215415093	0.673666056	288.8588984	10.14105969	0	0.257540976	0.999999905	0.851599431	0.605685614	0.439284312	0.252149224	21.32428502	2.554563731
7	boundary	gp	19.3416972	1.418667068	1.377621344	1.534339682	Si1	PU	combo_001	0.505277036	0.494722964	0.989445927	0.182732142	0.570971339	285.6640157	10.31693675	0	0.291598658	0.999999905	0.846004086	0.589925117	0.413688922	0.196792808	29.67673354	1.954386034
8	boundary	gp	18.38515343	1.097039021	2.359780368	1.222334492	Si1	PU	combo_001	0.485173807	0.514826193	0.970347613	0.236891265	0.741147396	288.9241605	10.09363016	0	0.211375582	0.999999905	0.845622891	0.60108749	0.454565118	0.327799259	22.47280718	2.588771145
9	boundary	gp	19.89582162	1.496923889	1.630885169	1.875511793	Si1	PU	combo_001	0.476231838	0.523768162	0.952463675	0.209386895	0.654724558	285.8221538	10.53938239	0	0.364002333	0.999999905	0.843614395	0.600081488	0.460489416	0.084766307	37.31484806	2.44131097
10	boundary	gp	16.37407291	0.928999733	2.235316024	1.422787486	Si1	PU	combo_001	0.49556567	0.50443433	0.991131341	0.159249818	0.497186369	291.0745188	9.829111624	0	0.316895296	0.999999905	0.840902398	0.623295756	0.377127113	0.183526493	23.29682603	2.07660799
11	boundary	gp	17.59112234	1.048332904	2.608744898	1.724295545	Si1	PU	combo_001	0.488577753	0.511422247	0.977155506	0.23780035	0.744003878	292.4159993	9.932784106	0	0.139565346	0.999999905	0.840750693	0.615121247	0.440001994	0.210154247	30.33229388	2.734833115
12	boundary	gp	15.00756716	0.879398777	2.826272571	2.401371156	Si1	Si1	combo_002	0.507905376	0.492094624	0.984189247	0.188437204	0.588897498	293.3092638	10.30306875	0	0.25283274	0.999999912	0.840017561	0.635376735	0.413735084	0.032661104	36.03873892	2.485420641
13	boundary	gp	13.41555865	0.8364003	2.705917187	1.906784879	Si1	PU	combo_001	0.497905733	0.502094267	0.995811465	0.138101196	0.430734238	290.0168754	11.20832262	0	0.351763551	0.999999905	0.839819	0.631680645	0.400183694	0.073235811	25.58058438	2.263229947
14	notp_high_tmax	gp	19.99598239	1.073397841	2.99854804	0.989530002	Si1	Si1	combo_002	0.308546697	0.691453303	0.617093393	0.025791097	0.077839126	298.6750447	11.26613569	0.609688689	0.560048953	0.999999912	0.590730523	0.708998618	0.309635379	0.094433245	19.78662449	3.218634991
15	notp_high_tmax	gp	17.14481102	0.814054911	2.940304413	1.511657282	Si1	Si1	combo_002	0.380334485	0.619665515	0.76066897	0.074754296	0.231688814	301.9921418	10.10358556	0.131103432	0.235362328	0.999999912	0.655586052	0.688089085	0.280149184	0.195422459	25.91707843	2.393569246
16	misclass_repair	gp	18.22114699	1.152746456	1.925414729	2.006567431	Si1	Si1	combo_002	0.647502943	0.352497057	0.704994114	0.266116659	0.832977952	298.1143336	9.89586345	0	0.010845679	0.999999912	0.669155758	0.638789472	0.45073516	0.681890612	36.56196011	2.219515006
17	uncertainty_sparse	gp	18.39433879	0.253944235	1.18007728	2.481025626	Si1	PU	combo_001	0.935125006	0.064874994	0.129749987	0.052893142	0.1629978	273.357973	21.01788878	0	0.283767087	0.999999905	0.267987799	0.600627386	0.588488461	0.003398766	45.63682591	0.299673822
18	random_check	gp	15.47198618	0.937632145	2.531364923	1.217946276	Si1	PU	combo_001	0.01884388	0.98115612	0.037687759	0.021364999	0.063931664	286.3724985	9.813631376	0	0.072147785	0.999999905	0.171432936	0.56827857	0.188314707	0.117628996	18.84404795	2.373489122
