Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power
1,14.4030054,Si1,0.504457417,Si1,1.351974252,2.177480305,1,451.1424865,916.7147143,-0.000350925,0.044567507,1332.955958,134.000001,94.9
2,14.90789813,Si1,0.549540979,Si1,2.642394944,1.787474521,1,431.4329144,538.9130314,-0.000363548,0.044716343,1341.339405,169.000001,94.5
3,10.70219176,Si1,0.876237523,Si1,1.657999209,1.664449727,1,377.783906,703.7643878,0.026615689,0.038502308,1033.336124,143.000001,82.9
4,9.277227738,Si1,1.211448606,Si1,2.543938484,2.42540283,0,336.3691273,282.5199847,-0.000668342,0.055374813,871.2643327,186.7,76.1
5,13.88514749,Si1,0.708211121,Si1,2.843611137,2.21911424,1,412.7974615,668.1009903,-0.001013936,0.030756066,1216.364805,195.000001,93.1
6,14.45889967,Si1,1.003030175,Si1,2.999787974,1.72359812,0,401.9500636,277.9786148,0.002466258,0.055231155,1197.645034,238.3,97.1
7,13.33534914,Si1,0.792727938,Si1,1.969203664,1.975665307,1,412.2865544,792.2907573,0.023669062,0.034044541,1222.357589,180.000001,91.8
8,9.711760907,Si1,0.513741627,Si1,2.896365883,1.209815956,1,369.5111908,593.1825765,0.000233644,0.040420412,1005.118725,114.000001,76.9
9,14.6034658,Si1,1.849575612,Si1,1.279083666,2.497886544,0,382.6814224,269.577313,0.000355937,0.05515713,1094.939165,237.7,94.5
10,8.871051147,Si1,0.739229422,Si1,1.618180107,2.291143164,1,362.8462977,653.338085,-0.000212626,0.042312624,931.5141542,112.000001,74.9
11,14.98731777,Si1,1.578348137,Si1,2.494534358,0.742598557,0,378.5229739,260.5301258,0.000365533,0.055164975,1142.559396,234.5,103.4
12,11.90366821,Si1,0.573073028,Si1,1.410814098,2.489698147,1,414.2164946,794.7020064,-0.002019092,0.042977813,1152.382785,121.000001,88.2
13,10.5409877,Si1,1.47653842,Si1,2.421191725,1.6471982,0,335.7844445,271.7492477,0.002289373,0.055222473,885.3009739,208.2,82.3
14,10.12486991,Si1,2.389110332,Si1,1.496922138,2.351863531,0,298.2144884,257.3380683,0.002195746,0.055318808,765.904808,209.5,84.5
15,11.05605998,Si1,1.755874274,Si1,2.912454606,2.387237757,0,329.7043451,261.6280806,0.000267252,0.055276905,863.4735816,227.8,85.5
16,13.15044621,Si1,1.16594142,Si1,1.226932391,2.253377731,1,400.5222103,798.3703781,0.043786728,0.038672949,1129.194861,188.000001,86.4
17,10.24682028,Si1,0.921435014,Si1,2.80632519,0.668970615,1,349.0689651,831.7834309,0.000247021,0.033347768,945.2323661,161.000001,80.1
18,12.00408497,Si1,0.619828684,Si1,1.90947607,0.591471772,1,398.6728436,588.3063808,0.000290952,0.044515675,1171.001807,126.000001,86.2
19,8.186490662,Si1,1.91811608,Si1,2.249524305,2.109970561,0,290.2857717,264.2801914,0.001368586,0.055317227,712.4012227,183.3,74
20,12.22832837,Si1,0.501428682,Si1,2.399133012,1.310690718,1,406.3885816,618.7459303,0.001482791,0.043594055,1152.38133,127.000001,84.2
21,11.53079879,Si1,0.698546095,Si1,2.939396175,2.040166702,1,383.6702897,638.2451252,0.032098797,0.036006477,1063.938064,167.000001,83.3
22,13.0535609,Si1,1.034229167,Si1,2.56977531,2.151037919,0,389.8942223,277.4001598,-0.000317189,0.055345445,1115.983557,223.3,92.2
23,15.23958487,Si1,1.592728603,Si1,2.13134733,2.01074464,0,392.4079801,267.2466066,0.00037184,0.055266123,1190.547336,253.9,104.3
24,15.52269754,Si1,0.639305463,Si1,2.751998239,0.800713539,1,425.6539238,520.3013039,-0.000378918,0.042059843,1349.272553,198.000001,97.5
25,15.72510127,Si1,2.125455429,Si1,2.862582939,1.074423359,0,368.2279546,245.8362916,0.000383978,0.05539638,1098.768881,260.4,107.4
26,9.3906414,Si1,1.688101297,Si1,2.607965856,0.615911572,0,301.8196819,271.1522907,0.002030544,0.055275152,791.7846392,193.2,77.2
27,12.27285946,Si1,2.078057068,Si1,2.814394704,1.396802566,0,326.5953973,253.5232588,0.001488357,0.055433447,886.4979637,236.8,91.3
28,8.33796206,Si1,0.643407986,Si1,2.483834204,1.122476514,1,355.459812,947.7506747,0.000199299,0.041254893,897.8462108,109.000001,72.4
29,11.44641156,Si1,1.432112239,Si1,1.935058473,1.231966637,0,350.9504974,274.3876237,0.001385052,0.05517402,964.5400799,207.8,86.3
30,15.10141638,Si1,0.521750771,Si1,2.21088038,0.943518921,1,437.7442284,847.884353,0.002578699,0.043837875,1404.801538,155.000001,95.3
31,9.080830208,Si1,1.990215089,PU,2.322999861,2.327953945,0,303.1515201,265.0104704,0.000217871,0.055419585,762.4401279,193.5,79
32,11.5994219,Si1,0.532842525,PU,1.438647501,2.239986514,1,411.5364314,530.8239888,-0.003650862,0.04858455,1152.54659,110.000001,86.2
33,9.987513583,Si1,1.35758654,PU,1.739590153,1.8733312,0,345.8330237,320.8776544,0.00216484,0.055411841,912.1954084,176.5,81.1
34,11.26112356,Si1,0.500171972,PU,2.037294948,2.462450732,1,407.625864,793.1965374,0.000817134,0.04221859,1123.234734,115.000001,83.8
35,10.34386155,Si1,2.436721223,PU,2.983961895,0.87986646,0,288.0502193,251.2885876,0.002245019,0.055438562,742.208872,218.8,84.4
36,12.73686507,Si1,0.51522735,PU,2.086959448,1.546783166,1,425.8682655,505.3798842,-0.000309272,0.047937102,1208.287565,124,87.5
37,14.19757507,Si1,0.784718346,PU,2.629447057,2.368650868,1,425.4487736,834.7074491,0.001728948,0.037691056,1293.451234,170.000001,92.3
38,12.47270295,Si1,1.83224038,PU,2.342103965,1.453123973,0,349.6349529,263.4500318,0.001513338,0.055292749,975.3129773,222.4,91
39,9.471366336,Si1,0.560851252,PU,1.569097242,0.522783824,1,370.9607249,578.890237,0.000227634,0.047575558,1011.693879,98.000001,75.6
40,15.91493419,Si1,0.666482501,PU,1.834361701,2.076364175,1,452.6783854,801.2857252,-0.000388723,0.043925727,1435.883939,173.000001,99.6
41,9.79563474,Si1,1.236096836,PU,2.995137414,1.599804221,0,341.8140585,282.0191344,0.001650185,0.055331668,893.8991446,190.5,78.8
42,8.458299304,Si1,0.587280037,PU,1.156297886,2.47490185,1,407.0448488,540.0458014,0.000202308,0.006271533,949.1164383,78.000001,63.9
43,8.769077072,Si1,0.973645182,PU,1.122690056,1.155854016,1,351.1037684,843.7232211,-0.011974389,0.042225477,886.9552921,105.000001,68.3
44,14.11097311,Si1,2.255763284,PU,1.68575654,1.91992554,0,357.9605233,258.4167191,-0.000343624,0.05523994,1036.638144,245.1,98.8
45,14.77787692,Si1,1.13602359,PU,2.964930191,1.476564894,0,406.3031061,277.2696752,-0.000360297,0.055132572,1242.490328,233.3,98.6
46,10.4507631,Si1,2.037060751,PU,2.785120777,1.847508326,0,314.3302928,260.4008849,0.001260595,0.055230971,808.8010089,216.8,83
47,13.43030129,Si1,0.839720755,PU,2.969632058,2.481108127,1,410.406597,560.3518301,-0.032987358,0.031680928,1205.811017,210.000001,91.5
48,8.056883314,Si1,0.508237078,PU,1.845112362,1.827143649,1,362.8049189,551.8531792,0.001345904,0.044414832,927.4734069,94.000001,70.9
49,15.85822607,Si1,0.602909739,PU,2.433992627,1.030525901,1,448.1576114,557.7474919,0.005809586,0.045314773,1495.851653,176.000001,99
50,13.56362331,Si1,1.086477729,PU,2.095301205,1.956604525,0,405.3222588,283.296562,-0.000329941,0.055135062,1221.422603,219.2,91.8
51,13.81225562,Si1,1.278013041,PU,1.30677945,2.439894897,1,404.8669592,582.7382892,0.037313372,0.035968746,1167.300532,200.000001,88
52,10.90292935,Si1,0.536393095,PU,2.94662593,1.740716285,1,393.9597747,571.4287344,0.000263423,0.040303757,1080.733403,128.000001,82.2
53,12.84982617,Si1,1.056834817,PU,2.885198342,2.133366649,0,391.0113908,279.6127966,-0.000312096,0.055214417,1129.600885,216.5,89.1
54,13.71115831,Si1,1.516819076,PU,1.760447543,0.736536948,0,378.8373835,274.1188644,-0.000333629,0.055107578,1154.274237,212,94.8
55,11.09739754,Si1,0.750470563,PU,2.687772852,1.527912492,1,385.5942103,820.776171,0.029243065,0.037828185,1064.190059,149.000001,83.2
56,8.99995617,Si1,0.911918424,PU,2.298208866,0.889472575,1,354.334329,881.4019611,0.003669433,0.038636971,912.5437773,125.000001,74.6
57,15.43470197,Si1,1.665994537,PU,2.70817874,1.280896749,0,388.9437753,264.7160807,-0.002637023,0.055250378,1193.163062,242.9,104.4
58,12.59282279,Si1,1.349565683,PU,2.726753058,1.342611595,0,372.2804676,272.1085661,-0.000305671,0.055260352,1060.517142,216.5,89.9
59,8.532951007,Si1,2.310786502,PU,1.541974489,2.301852257,0,284.0430047,254.8609789,0.000204174,0.055313456,688.5729696,184.1,82.3
60,11.83528426,Si1,2.184009165,PU,2.17406533,2.413524809,0,330.6788225,257.3599222,0.002580589,0.055276282,883.6767459,229.6,88.9
