sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,CellD_x_Resin,Barrier_x_Outer
1,boundary,gp,8.611426682028835,1.586287918428644,1.1421789565751588,1.9804638091098394,Si1,Si1,combo_002,0.4992565922968224,0.5007434077031776,0.9985131845936448,0.0,0.0,314.14923438855135,1.8230372326491098,0.0,0.5613899631634126,0.9999999599999999,0.7969670350672933,0.369430795119044,0.2923823224627037,17.05461888856093,1.8118246794986093
2,boundary,gp,12.654211665057122,0.9222135486662759,2.8852555838730742,0.5943494689205726,Si1,PU,combo_001,0.5032573767452293,0.4967426232547707,0.9934852465095414,0.0,0.0,387.2130843404128,3.231212042088701,0.0,0.5231539725319546,0.9999999629999999,0.7890628890604449,0.6216850987621796,0.34343616389288956,7.521023982735215,2.6608217908127756
3,boundary,gp,8.033139198976539,1.0175091005188928,2.9245117001150946,1.657762946261657,Si1,Si1,combo_002,0.49534823377083903,0.504651766229161,0.9906964675416781,0.0,0.0,323.37895207349055,3.2003888505811053,0.0,0.5040739833809642,0.9999999599999999,0.784951394334306,0.4098686531964085,0.3393311193949071,13.317040506225354,2.9757172694410876
4,boundary,gp,13.535210444364967,0.9751580039741439,2.4583495201851524,0.8572101040009901,Si1,PU,combo_001,0.500400954257099,0.49959904574290104,0.9991980914858021,0.0,0.0,400.91952195731045,2.3435933705983496,0.0,0.4427635213816413,0.9999999629999999,0.7821796499410321,0.6484137848434911,0.29558147982305766,11.60251915268938,2.3972792111745473
5,boundary,gp,8.133329390121673,1.184250611468824,2.1595472552300925,1.8129002098051872,Si1,Si1,combo_002,0.49811405919035634,0.5018859408096437,0.9962281183807127,0.0,0.0,321.4941808885,2.0025012045111765,0.0,0.43283455899850687,0.9999999599999999,0.7791321396989324,0.3827549325849302,0.2803364815220014,14.744914557766277,2.5574451575020576
6,boundary,gp,11.080824129739867,0.9593307519543777,2.87624938269896,1.3190635448613617,Si1,Si1,combo_002,0.4978318209903527,0.5021681790096473,0.9956636419807054,0.0,0.0,362.6538844810434,2.4619854061275657,0.0,0.41208024516229963,0.9999999599999999,0.7761359109402144,0.521092016476458,0.2957535327085754,14.616311156559982,2.759274483112908
7,boundary,gp,9.264649102735271,1.0033010505331026,2.8509799967556093,1.5844546424357924,Si1,Si1,combo_002,0.5018720776986978,0.4981279223013022,0.9962558446026044,0.0,0.0,339.3355711097573,2.251319510066854,0.0,0.3996980116012794,0.9999999599999999,0.7749037009139952,0.44087757673682093,0.2854004086846912,14.6794162813675,2.860391225793764
8,boundary,gp,10.002893772321524,1.3658638568871204,1.4912170762353574,2.2395274674367416,Si1,Si1,combo_002,0.4960100718272171,0.5039899281727829,0.9920201436544342,0.0,0.0,343.24678281197674,1.4750750559936072,0.0,0.4193373067044725,0.9999999599999999,0.7748873917344152,0.4467369783006895,0.25704171492917016,22.401755356965978,2.0367995072027605
9,boundary,gp,15.362932941667674,1.0524826500893742,1.8928385619170616,2.216401087430804,Si1,Si1,combo_002,0.5048423161009108,0.4951576838990892,0.9903153677981784,0.0,0.0,423.69913535482533,2.329782525886195,0.0,0.41893296181395645,0.9999999599999999,0.7738164239704586,0.7206520106955736,0.29144992810413867,34.050421278038755,1.992179745837829
10,boundary,gp,12.094765655173335,0.9180640932486644,2.990903759802021,1.1795730005642746,Si1,Si1,combo_002,0.49448182231977533,0.5055181776802247,0.9889636446395507,0.0,0.0,375.44985682145403,2.591622978103882,0.0,0.42495883476881435,0.9999999599999999,0.7737802762956558,0.5658799437718268,0.30291337883352853,14.266659014994545,2.745841348236664
