pair_rank,outer_type,row_ref,MaxT_TB,p_tp
1,PU,42,407.0448488,0.999954342842102
1,Si1,199,409.7895666,4.094573523616418e-05
2,PU,107,305.4915674,0.15739195048809052
2,Si1,81,310.4169969,0.29065579175949097
3,PU,62,414.6673237,0.035395316779613495
3,Si1,61,406.8435491,0.016136793419718742
4,PU,98,359.0317,1.0
4,Si1,176,351.3845548,0.5062372088432312
5,PU,101,344.7377268,0.10612113773822784
5,Si1,92,352.6206688,0.6106293201446533
6,PU,149,424.0609228,0.20276732742786407
6,Si1,89,423.5348944,0.0020019139628857374
7,PU,236,358.1539767,0.907023549079895
7,Si1,175,354.9811372,0.024600179865956306
8,PU,111,314.6722776,0.26600590348243713
8,Si1,127,311.5200748,0.005479349754750729
