Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power
1,11.67385963,Si1,0.821631025,PU,2.193817577,1.694866743,1,392.5166138,509.0570892,0.022898417,0.039860207,1139.960707,153.000001,84.3
2,8.179607023,Si1,2.342355666,PU,2.838269653,0.592966676,0,266.7855203,252.8857425,0.000976701,0.055292975,660.3889033,185.9,74.4
3,15.43850834,Si1,2.5,Si1,2.629023182,2.27516219,0,353.1289781,245.6006753,-0.002637689,0.055257331,1030.833235,281,107.5
4,16,Si1,0.5,Si1,1.179130155,0.5,1,457.337344,857.5329615,-0.00429935,0.04572945,1466.363774,129.000001,91.7
5,8.288215496,Si1,2.320448888,PU,1.809076569,2.5,0,279.9592885,253.8004917,-0.000594167,0.055279715,673.7490243,181.4,75.1
7,8.129255365,Si1,0.5,PU,2.964426914,0.5,1,353.019048,535.2631102,0.000194082,0.044444664,909.8962641,96.000001,71.2
8,14.71976367,Si1,0.5,PU,1.1,2.5,1,448.0930434,917.538761,-0.000358844,0.047726252,1394.341836,106.000001,87.1
9,9.099798423,Si1,0.5,Si1,1.275945806,0.624947602,1,414.042522,564.7075742,-0.000218345,0.002401795,988.0732531,78.000001,68
10,13.65030258,Si1,1.934094378,PU,1.381798442,0.635800685,0,359.8801585,264.1543563,-0.000332108,0.055314923,1066.17855,217.2,95.7
11,8,Si1,1.023717212,PU,3,2.465912652,1,337.3798774,547.6159876,0.00019085,0.04408635,831.4983208,136.000001,71.9
12,8.544550658,Si1,0.816027007,PU,1.268536173,2.393606756,1,363.2401269,936.3115651,0.000613391,0.042323996,911.9019749,107.000001,72.1
13,15.6907207,Si1,1.099827493,Si1,2.991199504,2.029178114,0,409.436488,275.6617599,-0.000383118,0.055334496,1268.979212,261.8,102.9
14,8,Si1,2.5,Si1,3,2.171435322,0,262.8533315,246.5761205,0.00019085,0.05542325,631.1918348,196.6,74.3
15,15.85701124,Si1,0.5,Si1,2.381600965,1.033189878,1,440.5449387,504.5188228,0.005034578,0.046860305,1449.738039,176,98.4
16,13.0406818,Si1,1.990286385,Si1,1.694287939,1.970285227,0,353.3610335,261.6264462,-0.000316867,0.055317433,984.337693,237.9,94.2
17,8.936605376,Si1,1.588192377,PU,1.616927431,1.219548413,0,317.253957,280.2656126,0.000214265,0.055390217,807.2115734,174.3,76.1
18,11.65847187,Si1,1.71307238,Si1,2.922921111,1.237163932,0,332.0037858,263.5381402,-0.001411559,0.055416556,904.2300346,223.3,87.8
19,12.08396459,Si1,0.5,PU,2.989413871,2.461685142,1,411.9262424,646.1927174,-0.000292949,0.04013403,1156.456395,133.000001,83.1
20,14.4405976,Si1,1.019336869,Si1,1.379709522,1.488148478,1,418.7574474,795.9741003,0.004574245,0.034834635,1324.111796,186.000001,97.4
21,15.59123779,Si1,0.5,Si1,2.163875991,2.5,1,451.9042183,906.7953714,0.001903155,0.041488779,1466.194272,174.000001,97.6
22,12.45170808,Si1,0.5,Si1,2.996927212,0.74114703,1,399.1025225,688.9064074,-0.000906428,0.039580694,1141.52891,138.000001,86.7
23,8.61606203,Si1,0.5,Si1,2.145873668,1.073902229,1,361.5011833,850.1773093,-0.000206252,0.046819091,942.7644864,100.000001,73.1
24,9.126606121,Si1,0.5,Si1,2.205811371,2.443384686,1,369.0503259,514.3858086,0.000219015,0.046212218,987.6847708,103.000001,74.9
25,15.6286124,Si1,2.228828835,Si1,1.851557746,1.280439131,0,365.4927271,254.0100026,0.000381565,0.055222698,1107.897996,258.5,107.5
26,12.53095268,Si1,0.848316463,Si1,1.535811038,0.648655155,1,396.7478946,550.9526375,0.002128867,0.041664964,1209.256739,145.000001,88.4
