Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power
1,12.49516417,Si1,1.065685793,Si1,2.757777081,2.472249461,0,360.9369783,265.2215126,0.001516146,0.055343849,1002.372406,236.3,91.2
2,13.60289153,Si1,1.232379778,Si1,1.791011639,2.490497408,0,375.3898932,269.0235729,-0.000330922,0.055216547,1067.234939,242.3,96.8
3,11.54301664,Si1,0.832240359,Si1,1.929074394,0.876228667,0,364.1952641,284.15683,0.001397127,0.055413117,1021.444996,198.9,86.4
4,11.95834526,Si1,0.630832092,Si1,2.859924113,1.407055024,0,373.994549,282.3659108,-0.001449043,0.055281819,1054.14863,204.9,87.8
5,10.99971804,Si1,0.653623945,Si1,1.885812382,1.498664515,1,374.0934209,885.3445684,0.008772819,0.040142293,1023.010462,157.000002,83.9
6,10.63940206,Si1,0.604259263,Si1,2.562426591,1.753868061,1,366.6855404,1033.012354,0.000770505,0.043918785,999.6288671,169.000002,81.5
7,13.24242994,Si1,0.960654719,Si1,2.82209995,0.945307316,0,367.0156109,269.3187631,-0.001609554,0.055434325,1062.510637,221.1,94.5
8,15.50566817,Si1,0.378909762,Si1,2.158221953,2.322899401,1,445.844427,580.0522311,-0.002649442,0.048825436,1402.800679,157.000002,97.2
9,8.371000135,Si1,0.886820718,Si1,2.213556803,1.582883802,1,323.8675239,584.127753,-0.000200125,0.045028125,833.6470488,159.000002,73.7
10,15.29745022,Si1,0.516167697,Si1,1.627551111,0.730133722,1,440.124365,950.5224787,0.007092439,0.045167636,1395.286527,157.000002,98.3
11,14.60563961,Si1,0.576102125,Si1,1.497745196,2.176970275,1,438.9802119,826.7097587,-0.000355991,0.045922839,1341.222838,153.000002,96.1
12,13.90415651,Si1,1.312493418,Si1,2.087070714,2.039159669,0,368.8299465,264.8468124,-0.000338454,0.055164774,1060.390594,248.8,98.3
13,14.17510608,Si1,0.534711624,Si1,2.273982901,1.277394359,1,416.1134935,612.087796,0.005178416,0.045224835,1240.548266,161.000002,94.6
14,12.74537761,Si1,0.603772511,Si1,2.67494356,2.357745042,0,391.8885594,283.4656292,0.001547422,0.055294116,1115.014304,219.7,89.9
15,13.67323083,Si1,1.430206758,Si1,1.681918017,0.793759527,0,355.0483223,263.8488818,-0.000332681,0.055362502,1025.726722,227.7,98.4
16,9.734218718,Si1,1.106563443,Si1,2.964493922,2.107040438,0,320.9208067,269.2131505,0.001639439,0.055386249,833.1507021,205.2,79.8
17,11.06043499,Si1,0.716487261,Si1,2.417900697,2.413725059,0,367.3744497,281.8648987,0.002406247,0.055288157,996.4057561,203.4,83.7
