Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Time_TP,
1,12.49516417,Si1,1.065685793,Si1,2.757777081,2.472249461,0,360.9369783,265.2215126,0.001516146,0.055343849,1002.372406,236.3,91.2,,Initial
2,13.60289153,Si1,1.232379778,Si1,1.791011639,2.490497408,0,375.3898932,269.0235729,-0.000330922,0.055216547,1067.234939,242.3,96.8,,
3,11.54301664,Si1,0.832240359,Si1,1.929074394,0.876228667,0,364.1952641,284.15683,0.001397127,0.055413117,1021.444996,198.9,86.4,,
4,11.95834526,Si1,0.630832092,Si1,2.859924113,1.407055024,0,373.994549,282.3659108,-0.001449043,0.055281819,1054.14863,204.9,87.8,,
5,10.99971804,Si1,0.653623945,Si1,1.885812382,1.498664515,1,374.0934209,885.3445684,0.008772819,0.040142293,1023.010462,157.000002,83.9,,
6,10.63940206,Si1,0.604259263,Si1,2.562426591,1.753868061,1,366.6855404,1033.012354,0.000770505,0.043918785,999.6288671,169.000002,81.5,,
7,13.24242994,Si1,0.960654719,Si1,2.82209995,0.945307316,0,367.0156109,269.3187631,-0.001609554,0.055434325,1062.510637,221.1,94.5,,
8,15.50566817,Si1,0.378909762,Si1,2.158221953,2.322899401,1,445.844427,580.0522311,-0.002649442,0.048825436,1402.800679,157.000002,97.2,,
9,8.371000135,Si1,0.886820718,Si1,2.213556803,1.582883802,1,323.8675239,584.127753,-0.000200125,0.045028125,833.6470488,159.000002,73.7,,
10,15.29745022,Si1,0.516167697,Si1,1.627551111,0.730133722,1,440.124365,950.5224787,0.007092439,0.045167636,1395.286527,157.000002,98.3,,
11,14.60563961,Si1,0.576102125,Si1,1.497745196,2.176970275,1,438.9802119,826.7097587,-0.000355991,0.045922839,1341.222838,153.000002,96.1,,
12,13.90415651,Si1,1.312493418,Si1,2.087070714,2.039159669,0,368.8299465,264.8468124,-0.000338454,0.055164774,1060.390594,248.8,98.3,,
13,14.17510608,Si1,0.534711624,Si1,2.273982901,1.277394359,1,416.1134935,612.087796,0.005178416,0.045224835,1240.548266,161.000002,94.6,,
14,12.74537761,Si1,0.603772511,Si1,2.67494356,2.357745042,0,391.8885594,283.4656292,0.001547422,0.055294116,1115.014304,219.7,89.9,,
15,13.67323083,Si1,1.430206758,Si1,1.681918017,0.793759527,0,355.0483223,263.8488818,-0.000332681,0.055362502,1025.726722,227.7,98.4,,
16,9.734218718,Si1,1.106563443,Si1,2.964493922,2.107040438,0,320.9208067,269.2131505,0.001639439,0.055386249,833.1507021,205.2,79.8,,
17,11.06043499,Si1,0.716487261,Si1,2.417900697,2.413725059,0,367.3744497,281.8648987,0.002406247,0.055288157,996.4057561,203.4,83.7,,
18,15.35383832,Si1,0.544031315,Si1,2.509681522,1.935135943,1,425.843092,595.7586604,-0.000374696,0.043839432,1315.496693,201.000002,99.5,,
19,15.6745359,Si1,0.813802406,Si1,2.602200713,0.920053039,0,411.9133026,267.2851061,-0.000382714,0.055305372,1258.147672,237.6,103,,
20,11.63464243,Si1,1.533137868,Si1,2.722728361,1.899891878,0,319.9300363,252.8751355,-0.00140858,0.055358173,853.1324869,241.3,89.2,,
21,9.066963291,Si1,0.356830269,Si1,1.675784591,1.426011047,1,373.658858,1016.57922,0.000217524,0.050683092,998.3111901,97.000002,75.3,,
22,13.44377164,Si1,0.524190542,Si1,2.177472834,2.44656053,1,416.4509439,576.5903564,0.005558052,0.040214143,1197.614027,181.000002,91.7,,
23,10.80084342,Si1,0.912411599,Si1,1.343782688,2.261104933,1,366.059186,1039.822171,0.000260871,0.044087199,997.6339585,178.000002,85.1,,
24,12.30159856,Si1,0.715282625,Si1,2.940733777,2.072978251,0,375.5484356,278.5370375,0.00149195,0.055201877,1060.802263,219.5,89.6,,
25,8.804015526,Si1,1.718643963,Si1,1.44311328,1.788289259,0,282.2767013,254.6679107,0.000210951,0.055384516,708.3246173,193.3,78,,
26,12.95300209,Si1,0.663049437,Si1,2.020375241,1.851985386,1,398.8717811,876.1019323,-0.02926478,0.034928931,1145.817225,198.000002,91.4,,
27,15.79123856,Si1,0.481187399,Si1,2.845225084,1.563168353,1,424.7622051,502.9923744,-0.000385631,0.045118827,1350.684489,209,98.7,,
28,8.676972128,Si1,0.670483415,Si1,1.141385036,0.769348326,1,352.3398792,1017.748127,0.000207774,0.046333658,900.5175397,104.000002,69,,
29,10.06483844,Si1,0.562212303,Si1,1.834377388,1.998515708,1,373.8214215,690.9013582,0.001212355,0.041462541,1000.835136,128.000002,79,,
30,9.210980778,Si1,0.449744915,Si1,2.983407577,2.397904206,1,364.0247565,934.5097383,-0.007739358,0.039581286,964.7751065,128.000002,73,,
31,8.540852329,Si1,1.894713891,PU,2.991164587,0.682360961,0,260.6085904,245.6235052,0.000613114,0.055340119,659.0712242,191.9,75.9,,
32,11.84377741,Si1,0.778702408,PU,2.527897094,1.155674827,1,380.015393,525.5589688,-0.024964165,0.039311386,1087.597312,175.000002,85.5,,
33,14.81204844,Si1,0.411772632,PU,1.974957027,2.293504636,1,457.298388,1008.03238,0.002528059,0.045143906,1381.199507,136.000002,93.5,,
34,12.58608793,Si1,1.263729586,PU,1.32812667,0.974950651,0,363.4183499,274.0301613,-0.000305502,0.055245198,1039.377355,210.7,92.1,,
35,10.23759475,Si1,1.636691961,PU,2.107404765,2.165370415,0,311.0496482,259.796669,0.001727528,0.055390452,797.5636882,207.5,83,,
36,9.576880978,Si1,0.424467511,PU,2.252287841,1.653169406,1,376.9965765,927.3329303,0.000230272,0.046284672,1014.686866,100.000002,76.2,,
37,14.11038378,Si1,0.571702123,PU,2.342565194,1.963596599,1,432.1945103,903.5344448,-0.006528581,0.045012845,1328.95802,145.000002,91.6,,
38,15.17249458,Si1,1.215299051,PU,2.976288691,2.49733712,0,401.6741619,263.3503802,0.000370162,0.055142007,1186.418749,258.7,102.8,,
39,12.87688545,Si1,1.365483221,PU,2.634430011,2.324795221,0,360.3675305,264.2194619,-0.000312772,0.055273947,1000.313712,233.4,92.3,,
40,9.910603468,Si1,0.739512669,PU,2.997374104,1.516584068,1,358.6426745,584.4306541,0.002624765,0.042234855,963.3901736,143.000002,78.5,,
42,10.41484479,Si1,0.647026837,PU,1.217871072,2.378110028,1,381.1431115,666.616004,0.000251221,0.048485653,1042.060405,100.000002,73.9,,
