Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,D_Barrier_Outer_Type,E_Barrier_Outer_Thx,F_ThermalResin_Thx,TP_NoTP,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power
1,14.60977225,Si1,0.727247996,Si1,1.66662619,2.193949395,1,425.6545368,796.2872955,0.00249266,0.043799593,1279.644586,179.000002,98.4
2,8.991412201,Si1,0.271419043,Si1,2.309978332,2.374773619,1,367.5992664,850.2475588,0.000215635,0.046361579,1010.035972,96.000002,73.8
3,15.38430834,Si1,0.262229362,Si1,1.953436765,1.608884183,1,458.4760258,933.3181689,-0.000375458,0.047683134,1463.475551,138.000002,95.8
4,15.08981309,Si1,1.582166263,Si1,1.619697284,1.897004985,0,375.9181311,260.9795284,0.000368095,0.055357144,1111.010927,259.5,105.6
5,9.897144236,Si1,0.919575543,Si1,2.663108008,1.014436788,0,330.707471,279.0715697,0.002144507,0.055390306,880.0432478,197.9,80.2
6,14.34701154,Si1,0.830767693,Si1,1.170128058,1.320889107,1,418.9785903,584.5746599,-0.001747626,0.04858401,1232.547448,144.000002,91.4
7,12.35434227,Si1,0.250236636,Si1,2.011644196,2.452810782,1,421.0112815,871.9788435,-0.002697377,0.046454826,1189.963933,112.000002,83.8
8,14.1444089,Si1,1.762108719,Si1,2.878772368,0.528959929,0,326.996614,244.5181456,0.002411222,0.05530682,954.2285893,244.3,101.5
9,15.69118802,Si1,0.998932761,Si1,2.584591614,2.29966473,0,406.3359175,268.7535994,-0.00038313,0.055335342,1226.916257,264.9,104.4
10,15.86701119,Si1,0.251291087,Si1,2.829907859,0.778376563,1,437.7597203,995.9261056,-0.005812879,0.043790353,1513.575449,161.000002,89.5
11,9.224447839,Si1,0.253876164,Si1,1.829834252,1.720354304,1,368.7718808,624.0389606,-0.000221461,0.051157549,1029.510975,91.000002,75.1
12,13.49539934,Si1,0.580500686,Si1,2.737065332,1.367811224,1,398.7299855,524.6440948,0.001641175,0.035777615,1167.813631,197.000002,92.4
13,14.67582735,Si1,0.353923525,Si1,1.346410524,0.844433909,1,452.4095515,564.7792071,-0.005366186,0.051157642,1469.337072,124.000002,95.4
14,12.13776973,Si1,0.315901814,Si1,2.418919922,0.917937997,1,400.2768571,857.0040031,0.001471471,0.047969963,1150.301691,114.000002,85.5
15,9.857734302,Si1,0.886348791,Si1,1.727480578,1.169139093,1,345.789297,593.2055282,0.003084812,0.042475492,914.9089864,171.000002,79.9
16,10.90075782,Si1,1.78172626,Si1,2.629542099,2.450409851,0,300.4190285,246.4623511,0.000263369,0.055403745,772.7970465,247.8,86.9
17,11.25913833,Si1,0.64076285,Si1,1.297178583,2.258695355,1,397.6221247,956.1805911,0.000816986,0.04547886,1058.787402,121.000002,79.5
18,9.46284953,Si1,0.460783445,Si1,2.20837392,1.499141009,1,370.0669916,986.1028503,-0.000227421,0.042527774,989.9634064,117.000002,75.7
19,11.36023026,Si1,0.804573168,Si1,2.696792864,2.427393311,0,363.4811236,275.4902538,0.002473702,0.055235575,991.1984365,218.3,85.2
20,12.46854867,Si1,0.279169369,Si1,2.512849583,2.162371872,1,412.1965819,963.7850132,0.000302564,0.044476866,1180.935827,120.000002,86
21,9.516843282,Si1,0.511020475,Si1,2.965552759,0.810370129,1,352.8513935,881.7362322,-0.002058939,0.041407551,952.3781337,133.000002,77.4
