TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,Eval#,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,CellD_x_Resin,Barrier_x_Outer,oof_tmax_pred
1,1,1,False,0.8033734993862254,0.19662650061377462,False,0.3033734993862254,0.22150042409532342,3_1_1_3,14.60977225,0.727247996,1.66662619,2.193949395,Si1,Si1,combo_002,1,425.6545368,796.2872955,0.00249266,0.043799593,1279.644586,179.000002,98.4,32.053100988975295,1.2120505567586153,416.0436570297077
1,1,1,False,0.7012052325659965,0.29879476743400346,False,0.20120523256599654,0.09691515386695852,0_0_2_3,8.991412201,0.271419043,2.309978332,2.374773619,Si1,Si1,combo_002,2,367.5992664,850.2475588,0.000215635,0.046361579,1010.035972,96.000002,73.8,21.352568492489524,0.6269721082221763,359.30765711587946
1,1,1,False,0.7636069431376882,0.23639305686231182,False,0.2636069431376882,0.31644344612542585,3_0_1_2,15.38430834,0.262229362,1.953436765,1.608884183,Si1,Si1,combo_002,3,458.4760258,933.3181689,-0.000375458,0.047683134,1463.475551,138.000002,95.8,24.751570354620988,0.512248476593294,452.72922649090344
0,0,0,False,0.10451251040137777,0.8954874895986222,False,0.39548748959862223,0.30226901605542494,3_3_1_2,15.08981309,1.582166263,1.619697284,1.897004985,Si1,Si1,combo_002,4,375.9181311,260.9795284,0.000368095,0.055357144,1111.010927,259.5,105.6,28.62545065444825,2.5626303990175296,377.9901917239766
0,0,1,True,0.7561519351600055,0.24384806483999455,False,0.25615193516000545,0.24994871960255738,0_1_3_0,9.897144236,0.919575543,2.663108008,1.014436788,Si1,Si1,combo_002,5,330.707471,279.0715697,0.002144507,0.055390306,880.0432478,197.9,80.2,10.040027209140556,2.4489289925242486,328.6659460816737
1,1,1,False,0.7826706161191623,0.21732938388083767,False,0.28267061611916233,0.3299030981104658,3_1_0_1,14.34701154,0.830767693,1.170128058,1.320889107,Si1,Si1,combo_002,6,418.9785903,584.5746599,-0.001747626,0.04858401,1232.547448,144.000002,91.4,18.950811261189294,0.9721045872592301,407.092490791326
1,1,1,False,0.7377746391230744,0.2622253608769256,False,0.2377746391230744,0.2453917187381793,2_0_1_3,12.35434227,0.250236636,2.011644196,2.452810782,Si1,Si1,combo_002,7,421.0112815,871.9788435,-0.002697377,0.046454826,1189.963933,112.000002,83.8,30.302863924374353,0.5033870764359647,412.6342564594509
0,0,0,False,0.34150672696188167,0.6584932730381183,False,0.15849327303811833,0.4861206793929768,3_3_3_0,14.1444089,1.762108719,2.878772368,0.528959929,Si1,Si1,combo_002,8,326.996614,244.5181456,0.002411222,0.05530682,954.2285893,244.3,101.5,7.481825527490968,5.072709889669077,332.27420222494686
0,0,0,False,0.13910173429985662,0.8608982657001434,False,0.3608982657001434,0.2037281598814928,3_1_3_3,15.69118802,0.998932761,2.584591614,2.29966473,Si1,Si1,combo_002,9,406.3359175,268.7535994,-0.00038313,0.055335342,1226.916257,264.9,104.4,36.084471661392534,2.581833237030466,411.52049148436396
1,1,1,False,0.7874085377319489,0.21259146226805115,False,0.28740853773194885,0.3183328103901521,3_0_3_0,15.86701119,0.251291087,2.829907859,0.778376563,Si1,Si1,combo_002,10,437.7597203,995.9261056,-0.005812879,0.043790353,1513.575449,161.000002,89.5,12.35050963515474,0.7111306219979527,431.8022058154031
1,1,1,False,0.7498295945605378,0.25017040543946223,False,0.24982959456053777,0.17408004092732726,0_0_1_2,9.224447839,0.253876164,1.829834252,1.720354304,Si1,Si1,combo_002,11,368.7718808,624.0389606,-0.000221461,0.051157549,1029.510975,91.000002,75.1,15.869318541847148,0.46455130065356937,373.3013795109213
1,1,1,False,0.7813077969650521,0.21869220303494785,False,0.28130779696505215,0.15479179574388086,2_0_3_1,13.49539934,0.580500686,2.737065332,1.367811224,Si1,Si1,combo_002,12,398.7299855,524.6440948,0.001641175,0.035777615,1167.813631,197.000002,92.4,18.459158689614192,1.5888683028528177,391.3657967901334
1,1,1,False,0.7248603078706424,0.2751396921293576,False,0.22486030787064237,0.37589437829361294,3_0_0_0,14.67582735,0.353923525,1.346410524,0.844433909,Si1,Si1,combo_002,13,452.4095515,564.7792071,-0.005366186,0.051157642,1469.337072,124.000002,95.4,12.392766256969612,0.4765263587511771,424.31357347395505
1,1,1,False,0.7911409340263162,0.20885906597368376,False,0.29114093402631624,0.22670006384809607,2_0_2_0,12.13776973,0.315901814,2.418919922,0.917937997,Si1,Si1,combo_002,14,400.2768571,857.0040031,0.001471471,0.047969963,1150.301691,114.000002,85.5,11.14172003400343,0.7641411912805386,391.40707464669185
1,1,1,False,0.8254790383653017,0.17452096163469832,False,0.3254790383653017,0.26373822650516543,0_1_1_1,9.857734302,0.886348791,1.727480578,1.169139093,Si1,Si1,combo_002,15,345.789297,593.2055282,0.003084812,0.042475492,914.9089864,171.000002,79.9,11.52506254087527,1.5311503217862812,336.7281065280551
0,0,0,False,0.3166617660983775,0.6833382339016225,False,0.18333823390162252,0.16694085445235757,1_3_3_3,10.90075782,1.78172626,2.629542099,2.450409851,Si1,Si1,combo_002,16,300.4190285,246.4623511,0.000263369,0.055403745,772.7970465,247.8,86.9,26.711324345493285,4.68512420956382,301.2826837509516
1,1,1,False,0.7881177702499826,0.21188222975001736,False,0.28811777024998264,0.2408904021725892,1_0_0_3,11.25913833,0.64076285,1.297178583,2.258695355,Si1,Si1,combo_002,17,397.6221247,956.1805911,0.000816986,0.04547886,1058.787402,121.000002,79.5,25.43096344727346,0.8311838458020415,383.0162083854266
1,1,1,False,0.8161528678522245,0.18384713214777548,False,0.3161528678522245,0.24582757550037923,0_0_2_1,9.46284953,0.460783445,2.20837392,1.499141009,Si1,Si1,combo_002,18,370.0669916,986.1028503,-0.000227421,0.042527774,989.9634064,117.000002,75.7,14.186145792419374,1.0175821427057545,364.1177362865558
