TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,E_Barrier_Outer_Thx,F_ThermalResin_Thx,B_Barrier_Type,D_Barrier_Outer_Type,discrete_combo_id,Eval#,MaxT_TB,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Time_TP,Unnamed: 16,CellD_x_Resin,Barrier_x_Outer,oof_tmax_pred
0,0,0,False,0.01965847519079489,0.9803415248092051,False,0.4803415248092051,0.2031626158773958,2_1_3_3,12.49516417,1.065685793,2.757777081,2.472249461,Si1,Si1,combo_002,1,360.9369783,265.2215126,0.001516146,0.055343849,1002.372406,236.3,91.2,,Initial,30.891162884389015,2.9389238554827104,359.73673448170496
0,0,0,False,0.018013967513070384,0.9819860324869296,False,0.4819860324869296,0.18132186308176074,2_2_1_3,13.60289153,1.232379778,1.791011639,2.490497408,Si1,Si1,combo_002,2,375.3898932,269.0235729,-0.000330922,0.055216547,1067.234939,242.3,96.8,,,33.87796609677016,2.207206526066236,375.39195377412375
0,0,0,False,0.25921199573616605,0.740788004263834,False,0.24078800426383395,0.05186046386953814,1_1_1_0,11.54301664,0.832240359,1.929074394,0.876228667,Si1,Si1,combo_002,3,364.1952641,284.15683,0.001397127,0.055413117,1021.444996,198.9,86.4,,,10.114322083626018,1.6054535662002674,363.78553204094897
0,0,1,True,0.8448891490346568,0.15511085096534316,False,0.34488914903465684,0.05312600642236574,1_0_3_1,11.95834526,0.630832092,2.859924113,1.407055024,Si1,Si1,combo_002,4,373.994549,282.3659108,-0.001449043,0.055281819,1054.14863,204.9,87.8,,,16.826049776809587,1.8041319111650345,373.9003439921412
1,1,1,False,0.9717728836195647,0.02822711638043529,False,0.4717728836195647,0.12357864443248757,1_0_1_1,10.99971804,0.653623945,1.885812382,1.498664515,Si1,Si1,combo_002,5,374.0934209,885.3445684,0.008772819,0.040142293,1023.010462,157.000002,83.9,,,16.48488710155335,1.232612128652687,372.7871860289009
1,1,1,False,0.9375102153896933,0.06248978461030674,False,0.43751021538969326,0.09472424635076376,1_0_3_2,10.63940206,0.604259263,2.562426591,1.753868061,Si1,Si1,combo_002,6,366.6855404,1033.012354,0.000770505,0.043918785,999.6288671,169.000002,81.5,,,18.660107461171606,1.5483700033692624,366.0994554913626
0,0,0,False,0.02113765831472847,0.9788623416852715,False,0.47886234168527153,0.2407668173921722,2_1_3_0,13.24242994,0.960654719,2.82209995,0.945307316,Si1,Si1,combo_002,7,367.0156109,269.3187631,-0.001609554,0.055434325,1062.510637,221.1,94.5,,,12.51816590389944,2.7110636344571644,370.7754098082834
1,1,1,False,0.8967093218711852,0.10329067812881476,False,0.39670932187118524,0.1318695706722453,3_0_2_3,15.50566817,0.378909762,2.158221953,2.322899401,Si1,Si1,combo_002,8,445.844427,580.0522311,-0.002649442,0.048825436,1402.800679,157.000002,97.2,,,36.01810730419776,0.8177713665544052,430.69401497415316
1,1,1,False,0.6121323789772646,0.3878676210227354,False,0.11213237897726458,0.2053027979670786,0_1_2_2,8.371000135,0.886820718,2.213556803,1.582883802,Si1,Si1,combo_002,9,323.8675239,584.127753,-0.000200125,0.045028125,833.6470488,159.000002,73.7,,,13.250320520231313,1.9630280333702443,324.06608766577796
1,1,1,False,0.6285531073083916,0.37144689269160835,False,0.12855310730839165,0.22366989636162282,3_0_1_0,15.29745022,0.516167697,1.627551111,0.730133722,Si1,Si1,combo_002,10,440.124365,950.5224787,0.007092439,0.045167636,1395.286527,157.000002,98.3,,,11.16918426623832,0.8400893087146614,427.1510915106445
1,1,1,False,0.9002117653259347,0.09978823467406528,False,0.4002117653259347,0.2157239183001578,3_0_0_3,14.60563961,0.576102125,1.497745196,2.176970275,Si1,Si1,combo_002,11,438.9802119,826.7097587,-0.000355991,0.045922839,1341.222838,153.000002,96.1,,,31.796043278332593,0.8628541901241414,425.6471001045784
0,0,0,False,0.06329593313853366,0.9367040668614663,False,0.43670406686146634,0.1048101418966441,2_2_2_3,13.90415651,1.312493418,2.087070714,2.039159669,Si1,Si1,combo_002,12,368.8299465,264.8468124,-0.000338454,0.055164774,1060.390594,248.8,98.3,,,28.352795186655797,2.7392665750255607,368.6460610550448
1,1,1,False,0.8876935819322398,0.1123064180677602,False,0.3876935819322398,0.2402590375888015,3_0_2_1,14.17510608,0.534711624,2.273982901,1.277394359,Si1,Si1,combo_002,13,416.1134935,612.087796,0.005178416,0.045224835,1240.548266,161.000002,94.6,,,18.107200544818603,1.2159250899419414,409.69811980273636
0,0,0,False,0.08498826403149451,0.9150117359685055,False,0.4150117359685055,0.15883741476858193,2_0_3_3,12.74537761,0.603772511,2.67494356,2.357745042,Si1,Si1,combo_002,14,391.8885594,283.4656292,0.001547422,0.055294116,1115.014304,219.7,89.9,,,30.05035086839531,1.6150573900044791,390.5396408786276
0,0,0,False,0.07218781182552902,0.927812188174471,False,0.427812188174471,0.2653238986975748,2_2_1_0,13.67323083,1.430206758,1.681918017,0.793759527,Si1,Si1,combo_002,15,355.0483223,263.8488818,-0.000332681,0.055362502,1025.726722,227.7,98.4,,,10.853257236182616,2.405490514315359,355.4179746181695
0,0,0,False,0.10683908528017128,0.8931609147198287,False,0.3931609147198287,0.24479863519757927,0_1_3_3,9.734218718,1.106563443,2.964493922,2.107040438,Si1,Si1,combo_002,16,320.9208067,269.2131505,0.001639439,0.055386249,833.1507021,205.2,79.8,,,20.510392471162515,3.2804006010808933,320.43932992768896
0,0,0,False,0.13471769425598268,0.8652823057440173,False,0.3652823057440173,0.052620466119806274,1_1_2_3,11.06043499,0.716487261,2.417900697,2.413725059,Si1,Si1,combo_002,17,367.3744497,281.8648987,0.002406247,0.055288157,996.4057561,203.4,83.7,,,26.696849098803412,1.7323950477635208,368.36658169878945
1,1,1,False,0.8999160683395075,0.10008393166049245,False,0.39991606833950755,0.1798549951227679,3_0_2_2,15.35383832,0.544031315,2.509681522,1.935135943,Si1,Si1,combo_002,18,425.843092,595.7586604,-0.000374696,0.043839432,1315.496693,201.000002,99.5,,,29.711764396042735,1.3653453386448615,420.1614112005126
