Eval#,A_Cell_D,B_Barrier_Type,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolingLPM,TP_NoTP,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,
1,13.62064854,ETI,2.233007376,1.893774292,3.453895132,0,123.7814469,114.8687825,121.4281739,166.9135213,-0.173679459,0.112040882,847.8564214,312.7,140.1,Initial
2,15.4212917,ETI,1.059793309,2.327644861,12.72983229,1,115.9605143,99.130613,113.9749824,544.9556682,-0.214512458,0.092946689,2056.781355,117.000001,81.5,
3,14.69924287,ETI,1.403003879,1.409897549,12.63060293,1,125.5401894,112.6551433,121.0941455,718.0871019,-0.177063498,0.105172378,1497.836541,185.300001,95.1,
4,13.11039268,ETI,1.394320747,2.213860506,0.822784095,1,128.9743768,116.486459,127.1904038,592.1842414,-0.490351437,0.107866163,1498.568107,202.500001,90.4,
5,11.12368179,ETI,1.794243017,2.632029304,5.731029041,0,130.0436429,120.3971253,129.3444118,182.1881694,-0.501700525,0.107203005,1084.736004,270.2,111.4,
6,12.12531974,ETI,2.726928024,1.762602773,25.79994151,0,116.0698585,107.8407264,111.426216,145.5462318,-0.488265863,0.115023343,603.9073195,372.1,125.7,
7,11.74369257,ETI,2.056341711,2.370376654,9.976600272,0,125.4561819,115.1769443,123.6119816,171.1489608,-0.495937611,0.108404274,917.3473561,293.7,125.3,
8,14.40380371,ETI,1.11969452,2.23841178,3.197426084,1,116.8034285,99.1699396,114.1953321,541.7288928,-0.210051338,0.096010988,1934.580784,120.300001,81,
9,11.72224902,ETI,1.437487493,1.970342224,19.34435109,0,138.0473719,128.5805146,133.5062113,201.9928467,-0.509820703,0.111201797,1418.838351,239.5,90.1,
10,14.92665386,ETI,1.303068539,1.676088367,1.535872215,1,118.7418755,102.782789,114.8147597,827.7120641,-0.189193703,0.100010609,1629.621841,149.100001,90.6,
11,12.80941246,ETI,1.568575083,1.876953057,3.869547623,0,134.5338733,127.2450259,132.0332797,196.6844954,-0.499013775,0.110469111,1306.870367,249.6,103.6,
12,11.00913509,ETI,1.580750537,2.374964595,26.98310887,0,134.2584278,125.9839397,132.2505457,193.6550559,-0.503866221,0.108311476,1167.100043,263.5,104.9,
13,14.16822658,ETI,2.916410365,2.176198223,18.9450193,0,116.9335441,109.5021505,115.0962216,145.3189588,-0.479486579,0.133631258,607.1829829,393.6,167.4,
14,14.00026777,ETI,2.696809283,2.110029912,0.005174258,0,118.4186585,110.2433255,116.4533301,152.9297727,-0.48619194,0.114480678,662.1536772,375,137.8,
15,13.54296211,ETI,2.155818269,2.560542096,0.936482072,0,125.9990969,116.6200616,125.1861887,171.0002819,-0.487549984,0.110243244,895.3382208,310.2,137.6,
16,11.61025733,ETI,1.231815722,1.849205067,0.036113103,1,123.8487523,106.9504149,117.8031462,635.5276768,-0.458856224,0.096901494,1686.006954,142.600001,79.8,
17,13.1832379,ETI,1.187750686,1.816752251,13.65523939,1,117.479339,100.5579025,111.0822544,819.6651743,-0.215695935,0.093569696,1785.873045,127.900001,81.8,
18,10.87733732,ETI,2.869754123,2.072497918,21.07095349,0,114.4900061,105.8130493,111.09182,140.2132029,-0.488577059,0.111981391,587.3623452,377.3,150.3,
19,13.72884534,ETI,1.907814204,2.456844555,14.2893732,0,128.6724909,119.3778603,127.8678703,181.6940242,-0.172401393,0.108909801,1051.900488,284.2,125.2,
20,14.62355254,ETI,2.433388417,1.639075702,0.249634484,0,121.9075184,114.2098027,118.9635266,161.6408959,-0.176090241,0.115766197,760.9502481,344.1,152.3,
21,14.90207674,ETI,2.393566447,2.745801424,0.09430566,0,123.8317953,115.4377292,123.3199038,165.4671566,-0.487421365,0.110889635,791.2097597,348.6,155.2,
22,13.19847239,ETI,1.461120901,2.121686619,22.8475716,0,137.8804519,129.0650826,134.0852659,209.9820432,-0.497874166,0.111222915,1374.842575,264.6,102.4,
23,13.45750184,ETI,2.592039563,2.315864586,11.28892172,0,120.228863,111.7351494,118.5145194,154.3928229,-0.177243073,0.113361222,694.0744422,355.9,132.3,
24,12.38042866,ETI,1.451160741,1.313559748,0.146825804,0,135.3784733,128.0530249,130.3009519,202.167333,-0.503708319,0.112641563,1402.684714,239.4,91.6,
25,15.63504525,ETI,1.379136971,1.480843839,20.81970087,1,123.319181,109.3668989,119.5363414,623.3387258,-0.191874234,0.102583366,1495.030216,171.200001,102.3,
26,12.21980399,ETI,2.281497023,1.2,7.911698289,0,118.4616501,110.9127481,108.5986688,160.607642,-0.492498888,0.113771913,786.6348253,310.9,109.3,
27,12.75712505,ETI,1.530503559,2.837921421,22.31093137,0,140.5068798,129.7048365,137.3001293,206.4664956,-0.498304633,0.108818914,1349.898592,268.8,97,
28,12.30485762,ETI,1.214186604,2.416089212,24.12369221,1,120.0641872,102.2303714,116.0390656,573.838219,-0.216084651,0.093075609,1674.727971,133.300001,86.1,
29,12.92913101,ETI,1.200930259,2.042271595,10.28808177,1,118.91894,101.4152705,113.8471016,687.7833453,-0.203833494,0.093426761,1760.032955,128.500001,81.6,
30,12.72625237,ETI,1.478698659,2.136225419,5.013696117,0,139.9672219,129.5725131,135.5075955,202.8042662,-0.500975981,0.110307988,1399.09162,247.3,94.1,
31,12.48968121,ETI,1.65853431,1.6786106,28.0990017,0,133.2529062,126.1137635,130.6186557,190.5235579,-0.494677424,0.111365092,1142.369311,264.9,112.3,
32,12.59646442,ETI,2.779203713,2.467661829,0.456843482,0,118.5720215,109.9092169,116.6232328,147.7749205,-0.176604796,0.111585332,629.2225015,377.3,154.9,
