TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,Eval#,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 16,CellD_x_Resin,oof_tmax_pred,oof_MaxT_TB_Top_pred,oof_MaxT_TB_Btm_pred,oof_MaxT_Adj_Y_pred,oof_MaxT_Adj_Z_pred,oof_Max_Power_pred
0.0,0,0,False,0.21174893385114046,0.7882510661488595,False,0.28825106614885954,0.23640782892788156,2_2_1_0,13.62064854,2.233007376,1.893774292,3.453895132,ETI,combo_001,1.0,123.7814469,114.8687825,121.4281739,166.9135213,-0.173679459,0.112040882,847.8564214,312.7,140.1,Initial,25.794434045419333,122.882824533404,114.81135853953158,121.71167434125302,-0.42934225823529415,0.11243307229395084,844.4385586028817
1.0,1,1,False,0.9344425520944242,0.06555744790557583,False,0.4344425520944242,0.3315114605791475,3_0_2_1,15.4212917,1.059793309,2.327644861,12.72983229,ETI,combo_001,2.0,115.9605143,99.130613,113.9749824,544.9556682,-0.214512458,0.092946689,2056.781355,117.000001,81.5,,35.89529037548695,152.5547573859278,137.21287144225636,147.93327874922315,-0.4439144403867871,0.11936564335982429,1916.9197833808682
1.0,1,1,False,0.7748684299981505,0.22513157000184947,False,0.27486842999815053,0.17731562284217728,3_0_0_1,14.69924287,1.403003879,1.409897549,12.63060293,ETI,combo_001,3.0,125.5401894,112.6551433,121.0941455,718.0871019,-0.177063498,0.105172378,1497.836541,185.300001,95.1,,20.72442649456873,139.0158001261679,131.28798501595114,133.9871902333808,-0.42934225823529415,0.11490002420113757,1460.2686984789739
1.0,1,1,False,0.668019923375823,0.33198007662417695,False,0.16801992337582305,0.16508913188701602,2_0_2_0,13.11039268,1.394320747,2.213860506,0.822784095,ETI,combo_001,4.0,128.9743768,116.486459,127.1904038,592.1842414,-0.490351437,0.107866163,1498.568107,202.500001,90.4,,29.024580572403497,141.41200352949792,130.8438428331408,137.06008542085013,-0.4766685542309785,0.1111390695122605,1499.8051101291705
0.0,0,0,False,0.07842237410773123,0.9215776258922688,False,0.42157762589226877,0.2535921713239621,0_1_3_0,11.12368179,1.794243017,2.632029304,5.731029041,ETI,combo_001,5.0,130.0436429,120.3971253,129.3444118,182.1881694,-0.501700525,0.107203005,1084.736004,270.2,111.4,,29.27785643965117,131.31525216611792,121.58005396474987,130.30132060046802,-0.48353305846301703,0.10678589048737501,1082.5098238497762
0.0,0,0,False,0.3262993474321547,0.6737006525678453,False,0.17370065256784528,0.2356921467806825,1_3_1_3,12.12531974,2.726928024,1.762602773,25.79994151,ETI,combo_001,6.0,116.0698585,107.8407264,111.426216,145.5462318,-0.488265863,0.115023343,603.9073195,372.1,125.7,,21.37212219723564,116.67367817140133,108.37994167508258,112.65069861182177,-0.4934072068967147,0.12141077672469527,623.208041107163
0.0,0,0,False,0.15026122929111807,0.8497387707088819,False,0.34973877070888193,0.2088362639444847,1_2_2_1,11.74369257,2.056341711,2.370376654,9.976600272,ETI,combo_001,7.0,125.4561819,115.1769443,123.6119816,171.1489608,-0.495937611,0.108404274,917.3473561,293.7,125.3,,27.836974699681264,125.75399325359695,116.53676228660235,124.57078247548579,-0.3206222704962525,0.11013324479919782,917.5012330652655
1.0,1,1,False,0.9385124821164936,0.06148751788350637,False,0.43851248211649363,0.14558246541680245,3_0_2_0,14.40380371,1.11969452,2.23841178,3.197426084,ETI,combo_001,8.0,116.8034285,99.1699396,114.1953321,541.7288928,-0.210051338,0.096010988,1934.580784,120.300001,81.0,,32.2416439012717,148.77835913153268,134.04882435921678,143.1783992586257,-0.4046893373329468,0.11496831718713413,1823.8395356952565
0.0,0,0,False,0.27466350014094587,0.7253364998590541,False,0.22533649985905413,0.24939047305241596,1_0_1_2,11.72224902,1.437487493,1.970342224,19.34435109,ETI,combo_001,9.0,138.0473719,128.5805146,133.5062113,201.9928467,-0.509820703,0.111201797,1418.838351,239.5,90.1,,23.09684220434862,138.07926317311853,129.20411604287798,132.54619210634024,-0.48955473989107634,0.11002887583598715,1357.1757195244552
1.0,1,1,False,0.9599422098882542,0.04005779011174582,False,0.4599422098882542,0.20453416615406061,3_0_1_0,14.92665386,1.303068539,1.676088367,1.535872215,ETI,combo_001,10.0,118.7418755,102.782789,114.8147597,827.7120641,-0.189193703,0.100010609,1629.621841,149.100001,90.6,,25.018390892981646,144.11019399396156,133.9062381423096,137.96249773543315,-0.440172150440155,0.11577880426429575,1520.9180447201766
0.0,0,0,False,0.03621997015284251,0.9637800298471575,False,0.4637800298471575,0.1205139593422955,1_1_1_0,12.80941246,1.568575083,1.876953057,3.869547623,ETI,combo_001,11.0,134.5338733,127.2450259,132.0332797,196.6844954,-0.499013775,0.110469111,1306.870367,249.6,103.6,,24.04266587517089,135.86374175009485,127.08735326729234,132.2625848246563,-0.18880173301742226,0.1125141272789829,1312.400084515678
0.0,0,0,False,0.03747737367507398,0.962522626324926,False,0.462522626324926,0.2997249184769652,0_1_2_3,11.00913509,1.580750537,2.374964595,26.98310887,ETI,combo_001,12.0,134.2584278,125.9839397,132.2505457,193.6550559,-0.503866221,0.108311476,1167.100043,263.5,104.9,,26.146306060322136,135.71037643611396,125.51360612967277,131.20132776776245,-0.42934225823529415,0.11015620229793538,1272.0768734044632
0.0,0,0,False,0.37070073018225,0.62929926981775,False,0.12929926981774997,0.3338933483146959,2_3_2_2,14.16822658,2.916410365,2.176198223,18.9450193,ETI,combo_001,13.0,116.9335441,109.5021505,115.0962216,145.3189588,-0.479486579,0.133631258,607.1829829,393.6,167.4,,30.83286950645737,115.58923059546595,108.86592232520871,113.25057094303727,-0.43003598192791126,0.12463330212607168,603.2558755729057
0.0,0,0,False,0.3308436410108584,0.6691563589891416,False,0.1691563589891416,0.29228483866605276,2_3_2_0,14.00026777,2.696809283,2.110029912,0.005174258,ETI,combo_001,14.0,118.4186585,110.2433255,116.4533301,152.9297727,-0.48619194,0.114480678,662.1536772,375.0,137.8,,29.540983770709538,119.21816947389237,110.90429729843966,116.32247974960825,-0.4232110334163985,0.11727771554524352,663.7068617537218
0.0,0,0,False,0.18587960953459515,0.8141203904654049,False,0.31412039046540485,0.26635021146928817,2_2_3_0,13.54296211,2.155818269,2.560542096,0.936482072,ETI,combo_001,15.0,125.9990969,116.6200616,125.1861887,171.0002819,-0.487549984,0.110243244,895.3382208,310.2,137.6,,34.67732458718798,126.25751378534949,116.36287541509434,123.78823238371544,-0.18351123029749394,0.10917252434120907,896.0393814294711
1.0,1,1,False,0.8738097297618879,0.12619027023811213,False,0.37380972976188787,0.20723374555437934,0_0_1_0,11.61025733,1.231815722,1.849205067,0.036113103,ETI,combo_001,16.0,123.8487523,106.9504149,117.8031462,635.5276768,-0.458856224,0.096901494,1686.006954,142.600001,79.8,,21.46974668380989,144.85288070536816,132.6995070441738,137.34258508681754,-0.4748406059399793,0.11256306580290246,1618.5118690851223
1.0,1,1,False,0.952974662652764,0.04702533734723602,False,0.452974662652764,0.17358502209383156,2_0_1_1,13.1832379,1.187750686,1.816752251,13.65523939,ETI,combo_001,17.0,117.479339,100.5579025,111.0822544,819.6651743,-0.215695935,0.093569696,1785.873045,127.900001,81.8,,23.950677130293514,146.36513717455927,133.82228025721412,138.87333129916314,-0.18023399778063343,0.11380969303430603,1728.7077505091197
0.0,0,0,False,0.3535149328076841,0.6464850671923159,False,0.1464850671923159,0.3071088971336093,0_3_2_2,10.87733732,2.869754123,2.072497918,21.07095349,ETI,combo_001,18.0,114.4900061,105.8130493,111.09182,140.2132029,-0.488577059,0.111981391,587.3623452,377.3,150.3,,22.5432589490837,114.85905266633733,106.20069107634157,110.24229114391996,-0.4320987973303726,0.11245413842831095,574.469426088255
0.0,0,0,False,0.14009115146745899,0.859908848532541,False,0.359908848532541,0.31490152759237355,2_1_3_1,13.72884534,1.907814204,2.456844555,14.2893732,ETI,combo_001,19.0,128.6724909,119.3778603,127.8678703,181.6940242,-0.172401393,0.108909801,1051.900488,284.2,125.2,,33.72963892001612,129.96812397955983,121.2185357571738,129.8566939887567,-0.44013772880701135,0.10878617250238537,1051.8605277782813
0.0,0,0,False,0.28228471241038733,0.7177152875896127,False,0.21771528758961267,0.2634532405792313,3_2_1_0,14.62355254,2.433388417,1.639075702,0.249634484,ETI,combo_001,20.0,121.9075184,114.2098027,118.9635266,161.6408959,-0.176090241,0.115766197,760.9502481,344.1,152.3,,23.969109645234383,120.41282533795614,112.63700487033769,116.56275767578207,-0.443671774277228,0.11379816620457518,753.9883709793919
0.0,0,0,False,0.27856119492145126,0.7214388050785487,False,0.22143880507854874,0.2771694947917222,3_2_3_0,14.90207674,2.393566447,2.745801424,0.09430566,ETI,combo_001,21.0,123.8317953,115.4377292,123.3199038,165.4671566,-0.487421365,0.110889635,791.2097597,348.6,155.2,,40.91814353324928,124.44371869573558,114.98026210678617,123.93140126604567,-0.45548793612270233,0.11180131083322699,792.0383231542025
0.0,0,0,False,0.18082550300732692,0.8191744969926731,False,0.3191744969926731,0.2568780356995439,2_0_2_3,13.19847239,1.461120901,2.121686619,22.8475716,ETI,combo_001,22.0,137.8804519,129.0650826,134.0852659,209.9820432,-0.497874166,0.111222915,1374.842575,264.6,102.4,,28.00302226110395,140.06093302914746,130.15380455945973,136.2587143113521,-0.47643566341225435,0.11223990500740676,1424.2575288419698
