sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,acq_misclass_repair,MaxT_Adj_pred_given_notp,MaxT_Adj_std_given_notp,CellD_x_Resin
1,boundary,gp,15.78724459,1.511901696,2.828614864,29.58007876,ETI,combo_001,0.482471672,0.517528328,0.964943344,0.230286069,0.733702617,141.2297987,1.966968365,0,0.719319683,0.999999941,0.905714807,0.636507921,0.525636357,0.011733075,141.2297987,1.966968365,44.6560347
2,boundary,gp,10.21854268,1.271863185,1.906226638,27.22467513,ETI,combo_001,0.501445151,0.498554849,0.997109698,0.247114989,0.788002752,143.198648,1.810821168,0,0.428996439,0.999999941,0.897626683,0.636395916,0.463690097,0.046220429,143.198648,1.810821168,19.47885825
3,boundary,gp,15.53931402,1.497288845,2.324692477,29.05808291,ETI,combo_001,0.492216937,0.507783063,0.984433873,0.234702905,0.747953966,140.192715,1.720276104,0,0.51784574,0.999999941,0.895274005,0.587643642,0.450594807,0.020468811,140.192715,1.720276104,36.1241264
4,boundary,gp,14.6204234,1.464062983,2.940431323,23.64220894,ETI,combo_001,0.499767437,0.500232563,0.999534873,0.225251295,0.717457435,142.4189901,1.880012584,0,0.449667382,0.999999941,0.894070962,0.627312245,0.450950682,0.035754104,142.4189901,1.880012584,42.99035091
5,boundary,gp,15.95908618,1.510392076,2.747808253,21.05287347,ETI,combo_001,0.514712942,0.485287058,0.970574117,0.231695166,0.738249205,141.1980454,1.928558321,0,0.583686356,0.999999941,0.892471121,0.620800529,0.494030672,0.013787524,141.1980454,1.928558321,43.85250871
6,boundary,gp,15.81113547,1.516281751,2.899223247,14.72854287,ETI,combo_001,0.482196595,0.517803405,0.964393189,0.229926122,0.732541215,141.3637381,1.983264291,0,0.619382418,0.999999941,0.891902876,0.629585002,0.507856199,0.023327231,141.3637381,1.983264291,45.8400115
7,boundary,gp,13.87881917,1.4377452,2.933098129,21.05041463,ETI,combo_001,0.484815961,0.515184039,0.969631922,0.188538099,0.598998771,142.8486733,1.802511712,0,0.297305767,0.999999941,0.837717133,0.616607776,0.360387964,0.061833186,142.8486733,1.802511712,40.70793855
8,boundary,gp,13.73110472,1.42983176,2.461210128,10.33849996,ETI,combo_001,0.501700904,0.498299096,0.996598193,0.168920413,0.535700415,141.8407206,1.607090729,0,0.17239202,0.999999941,0.834130724,0.578023711,0.278044935,0.451795084,141.8407206,1.607090729,33.795134
9,boundary,gp,13.49065875,1.422213549,2.891294764,1.415242034,ETI,combo_001,0.517802231,0.482197769,0.964395538,0.137147852,0.433183186,143.0776384,1.797771087,0,0.442616314,0.999999941,0.833971629,0.635052099,0.322346573,0.061423538,143.0776384,1.797771087,39.005471
10,boundary,gp,13.69481997,1.425551493,1.977524661,15.81226671,ETI,combo_001,0.497294838,0.502705162,0.994589676,0.149339154,0.472519596,140.4643038,1.500399312,0,0.219724353,0.999999941,0.831627051,0.55369108,0.244746106,0.143156528,140.4643038,1.500399312,27.08184423
11,boundary,gp,13.83083891,1.433958026,2.18776357,7.320815759,ETI,combo_001,0.494804481,0.505195519,0.989608963,0.179308607,0.569218924,140.9689315,1.541366107,0,0.094044946,0.999999941,0.822334852,0.551855266,0.265006811,0.461442057,140.9689315,1.541366107,30.25860551
12,boundary,gp,12.14630472,1.357842905,2.115175173,29.83356622,ETI,combo_001,0.510869544,0.489130456,0.978260913,0.105732205,0.331817571,142.1421606,1.595469118,0,0.301155012,0.999999941,0.813951962,0.595831413,0.220338934,0.17132156,142.1421606,1.595469118,25.69156219
13,notp_high_tmax,gp,15.73127933,1.524448446,2.987761521,28.73998822,ETI,combo_001,0.436547998,0.563452002,0.873095996,0.226132821,0.720301763,141.2200167,2.034562846,0,0.794761643,0.999999941,0.845104507,0.646647304,0.546447099,0.010118538,141.2200167,2.034562846,47.00131105
14,notp_high_tmax,gp,12.29325858,1.385713939,2.981748511,2.630740785,ETI,combo_001,0.416758451,0.583241549,0.833516902,0.087310476,0.272378089,143.7510651,1.771743077,0,0.386609708,0.999999941,0.709584506,0.640465691,0.242555699,0.042980016,143.7510651,1.771743077,36.65540546
15,notp_high_tmax,gp,15.45475559,1.505209017,2.941065435,28.00992808,ETI,combo_001,0.460404364,0.539595636,0.920808727,0.230445654,0.734217535,141.5585202,1.977275588,0,0.690425538,0.999999941,0.868744447,0.639938189,0.521753452,0.014859614,141.5585202,1.977275588,45.45344747
