TP_NoTP,actual_label,oof_predicted_label,oof_is_error,oof_p_tp,oof_p_notp,is_boundary_band,ptp_distance_from_boundary,local_nn_dist,coverage_cell_key,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,Eval#,MaxT_TB_Center,MaxT_TB_Top,MaxT_TB_Btm,MaxT_Adj,MaxT_Adj_Y,MaxT_Adj_Z,Max_Power,Time_MaxT,Time_Max_Power,Unnamed: 16,CellD_x_Resin,oof_tmax_pred,oof_MaxT_TB_Top_pred,oof_MaxT_TB_Btm_pred,oof_MaxT_Adj_Y_pred,oof_MaxT_Adj_Z_pred,oof_Max_Power_pred,oof_Time_MaxT_pred
0,0,0,False,4.429133171335309e-10,0.9999999995570867,False,0.4999999995570867,0.23640782892788156,2_2_1_0,13.62064854,2.233007376,1.893774292,3.453895132,ETI,combo_001,1,123.7814469,114.8687825,121.4281739,166.9135213,-0.173679459,0.112040882,847.8564214,312.7,140.1,Initial,25.794434045419333,123.49395853232807,114.7849806068995,121.86614267236658,-0.33886599320236166,0.11250258642913881,847.4698476723454,316.76497775390783
1,1,1,False,0.9999907612800598,9.238719940185547e-06,False,0.4999907612800598,0.26671276818730405,3_0_2_1,15.4212917,1.059793309,2.327644861,12.72983229,ETI,combo_001,2,115.9605143,99.130613,113.9749824,544.9556682,-0.214512458,0.092946689,2056.781355,117.000001,81.5,,35.89529037548695,157.92163361063672,136.7526156140215,145.89593155139488,-0.18670429049810944,0.12183157055698039,1927.525306635088,248.9736798825413
1,1,1,False,0.9778753519058228,0.022124648094177246,False,0.47787535190582275,0.09607049648201903,3_0_0_1,14.69924287,1.403003879,1.409897549,12.63060293,ETI,combo_001,3,125.5401894,112.6551433,121.0941455,718.0871019,-0.177063498,0.105172378,1497.836541,185.300001,95.1,,20.72442649456873,140.6502342168645,130.9192074176199,132.83994443623823,-0.3670090630246113,0.1166678547749499,1491.9852198505841,244.05874699280224
1,1,1,False,0.861354649066925,0.13864535093307495,False,0.36135464906692505,0.16508913188701602,2_0_2_0,13.11039268,1.394320747,2.213860506,0.822784095,ETI,combo_001,4,128.9743768,116.486459,127.1904038,592.1842414,-0.490351437,0.107866163,1498.568107,202.500001,90.4,,29.024580572403497,144.08933312645087,130.75811500243026,137.91532507915846,-0.4824889786940928,0.11210763820485697,1490.731911344073,249.87533689795845
0,0,0,False,5.136654408488539e-07,0.9999994863345592,False,0.49999948633455915,0.2535921713239621,0_1_3_0,11.12368179,1.794243017,2.632029304,5.731029041,ETI,combo_001,5,130.0436429,120.3971253,129.3444118,182.1881694,-0.501700525,0.107203005,1084.736004,270.2,111.4,,29.27785643965117,130.275419695478,121.4310596825781,129.61302737214274,-0.5075078504204118,0.10656666007877705,1085.9762952512012,277.75327594523844
0,0,0,False,4.863295998802641e-06,0.9999951367040012,False,0.4999951367040012,0.2356921467806825,1_3_1_3,12.12531974,2.726928024,1.762602773,25.79994151,ETI,combo_001,6,116.0698585,107.8407264,111.426216,145.5462318,-0.488265863,0.115023343,603.9073195,372.1,125.7,,21.37212219723564,116.75334704023676,108.37432975714887,112.61096858346622,-0.47720125281010795,0.11219347120021327,605.4179987156339,368.07639040494985
0,0,0,False,0.00027516280533745885,0.9997248371946625,False,0.49972483719466254,0.20521313654702508,1_2_2_1,11.74369257,2.056341711,2.370376654,9.976600272,ETI,combo_001,7,125.4561819,115.1769443,123.6119816,171.1489608,-0.495937611,0.108404274,917.3473561,293.7,125.3,,27.836974699681264,126.36760067782357,116.33556258552164,125.01494357623764,-0.4765423870162625,0.10799679221866612,922.7303626371709,294.37651409584095
1,1,1,False,1.0,0.0,False,0.5,0.14558246541680245,2_0_2_0,14.40380371,1.11969452,2.23841178,3.197426084,ETI,combo_001,8,116.8034285,99.1699396,114.1953321,541.7288928,-0.210051338,0.096010988,1934.580784,120.300001,81.0,,32.2416439012717,157.2495596009544,135.5344977073434,145.4292026101018,-0.0437488386800432,0.11730781926700998,1843.7214334468008,254.48463282251657
0,0,0,False,0.05381777882575989,0.9461822211742401,False,0.4461822211742401,0.1626395205776675,1_0_1_2,11.72224902,1.437487493,1.970342224,19.34435109,ETI,combo_001,9,138.0473719,128.5805146,133.5062113,201.9928467,-0.509820703,0.111201797,1418.838351,239.5,90.1,,23.09684220434862,140.9036337182794,129.63264062692687,135.6656782490898,-0.5007608811218961,0.11027753629877565,1410.3496475692448,254.13699960669396
1,1,1,False,0.9999998211860657,1.7881393432617188e-07,False,0.4999998211860657,0.1281502352543578,3_0_1_0,14.92665386,1.303068539,1.676088367,1.535872215,ETI,combo_001,10,118.7418755,102.782789,114.8147597,827.7120641,-0.189193703,0.100010609,1629.621841,149.100001,90.6,,25.018390892981646,147.25678925581744,132.67538754138386,137.91561804828103,-0.2169456819658973,0.11765411127691543,1612.1761428229233,246.17868475159207
0,0,0,False,0.012656872160732746,0.9873431278392673,False,0.48734312783926725,0.1205139593422955,1_1_1_0,12.80941246,1.568575083,1.876953057,3.869547623,ETI,combo_001,11,134.5338733,127.2450259,132.0332797,196.6844954,-0.499013775,0.110469111,1306.870367,249.6,103.6,,24.04266587517089,135.5297103105558,127.21343626147113,132.5370952547856,-0.5093534733876716,0.11093611228819379,1304.6467763944565,251.63874392057957
0,0,0,False,8.071655611274764e-05,0.9999192834438873,False,0.49991928344388725,0.14732445446995154,0_1_2_3,11.00913509,1.580750537,2.374964595,26.98310887,ETI,combo_001,12,134.2584278,125.9839397,132.2505457,193.6550559,-0.503866221,0.108311476,1167.100043,263.5,104.9,,26.146306060322136,135.68874957435133,126.33020740558416,133.49086550399517,-0.5113335244058106,0.108438778007306,1205.3030066247745,263.01580951497857
0,0,0,False,1.0156744965472003e-14,0.9999999999999899,False,0.49999999999998984,0.3338933483146959,2_3_2_2,14.16822658,2.916410365,2.176198223,18.9450193,ETI,combo_001,13,116.9335441,109.5021505,115.0962216,145.3189588,-0.479486579,0.133631258,607.1829829,393.6,167.4,,30.83286950645737,115.43397908988787,108.0323382878728,113.4874742086001,-0.38022540579049224,0.12268004357960616,597.9154218200129,400.0411915302129
0,0,0,False,2.0575850356863157e-08,0.9999999794241496,False,0.49999997942414964,0.29228483866605276,2_3_2_0,14.00026777,2.696809283,2.110029912,0.005174258,ETI,combo_001,14,118.4186585,110.2433255,116.4533301,152.9297727,-0.48619194,0.114480678,662.1536772,375.0,137.8,,29.540983770709538,118.8895575432157,111.41268857176046,117.10325401510302,-0.2185994190592298,0.12248613522506002,661.2499938580817,368.05440006048536
0,0,0,False,1.0359345651522744e-05,0.9999896406543485,False,0.4999896406543485,0.26635021146928817,2_2_3_0,13.54296211,2.155818269,2.560542096,0.936482072,ETI,combo_001,15,125.9990969,116.6200616,125.1861887,171.0002819,-0.487549984,0.110243244,895.3382208,310.2,137.6,,34.67732458718798,126.02544175304904,116.48259984408122,124.61000411167058,-0.27014244676388566,0.10771809942049455,893.6521298999887,310.89046345572336
1,1,1,False,0.9445370435714722,0.05546295642852783,False,0.44453704357147217,0.20723374555437934,1_0_1_0,11.61025733,1.231815722,1.849205067,0.036113103,ETI,combo_001,16,123.8487523,106.9504149,117.8031462,635.5276768,-0.458856224,0.096901494,1686.006954,142.600001,79.8,,21.46974668380989,149.84162684913375,132.92602740707082,139.62273368580884,-0.38064604609172215,0.1135114973992608,1658.2232069194622,245.90176786917482
1,1,1,False,0.9999988675117493,1.1324882507324219e-06,False,0.49999886751174927,0.14867475206226838,2_0_1_1,13.1832379,1.187750686,1.816752251,13.65523939,ETI,combo_001,17,117.479339,100.5579025,111.0822544,819.6651743,-0.215695935,0.093569696,1785.873045,127.900001,81.8,,23.950677130293514,152.5880279073414,134.22038701372546,141.23525028097464,-0.33477408011349113,0.11527960679351898,1750.4622532244337,243.30864829426588
0,0,0,False,2.739293680775745e-09,0.9999999972607063,False,0.4999999972607063,0.23413388553635348,0_3_1_2,10.87733732,2.869754123,2.072497918,21.07095349,ETI,combo_001,18,114.4900061,105.8130493,111.09182,140.2132029,-0.488577059,0.111981391,587.3623452,377.3,150.3,,22.5432589490837,115.25117128068769,105.82122585065903,110.43042804108634,-0.46285545232296094,0.1164747174834759,582.6323287079083,380.4563864569743
