input_csv,input_n,batch_size,batch_size_mode,batch_size_config,batch_size_recommended,batch_size_decision,bucket_ratio_mode,bucket_ratio_applied,bucket_ratio_config,bucket_ratio_recommended,bucket_ratio_decision,selected_model,gp_score,mlp_score,gp_composite_score,mlp_composite_score,performance_source,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_tp,holdout_fn,holdout_tn,holdout_fp,holdout_tmax_rmse,holdout_tmax_r2,holdout_tmax_n,boundary_count,notp_high_tmax_count,uncertainty_sparse_count,random_check_count,fill_mixed_count,n_unique_combos_selected,uncertainty_metric_source,uncertainty_high_threshold,uncertainty_mean,uncertainty_p90,uncertainty_high_ratio,itr_num,itr_folder,is_current_run
Initial_Dataset.csv,60,20,shadow,20,20,hold,auto,"{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}","{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}","{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}",hold,gp (hybrid fallback),,,,,holdout,0.9833333333333333,0.9473684210526315,1.0,0.972972972972973,,,,,1.6107835314311385,0.9638840052856297,42,12,4,1,1,0,1,clf_uncertainty_scaled,0.7,0.5256158771039092,0.7392196811958437,0.4,1,Itr_1,False
Itr_1_Dataset.csv,80,20,shadow,20,20,hold,auto,"{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}","{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}","{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}",hold,gp (hybrid fallback),,,,,holdout,0.975,0.9459459459459459,1.0,0.9722222222222222,,,,,1.725994576585275,0.9605099033142741,45,12,4,1,1,0,1,clf_uncertainty_scaled,0.7,0.4991385993287409,0.637918825667106,0.05,2,Itr_2,False
Itr_2_Dataset.csv,100,20,shadow,20,20,hold,auto,"{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}","{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}","{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}",hold,gp (hybrid fallback),,,,,holdout,0.98,0.9807692307692307,0.9807692307692307,0.9807692307692307,,,,,1.4819937977422628,0.971272189693715,48,12,4,1,1,0,1,clf_uncertainty_scaled,0.7,0.4946551883498035,0.6996604119850109,0.1,3,Itr_3,False
Itr_3_Dataset.csv,119,20,shadow,20,20,hold,auto,"{'boundary': 0.5748031496062992, 'notp_high_tmax': 0.1968503937007874, 'misclass_repair': 0.0984251968503937, 'uncertainty_sparse': 0.08070866141732283, 'random_check': 0.04921259842519685}","{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}","{'boundary': 0.5748031496062992, 'notp_high_tmax': 0.1968503937007874, 'misclass_repair': 0.0984251968503937, 'uncertainty_sparse': 0.08070866141732283, 'random_check': 0.04921259842519685}",mixed,gp (hybrid fallback),,,,,holdout,0.957983193277311,0.9552238805970149,0.9696969696969697,0.9624060150375939,,,,,1.587265660385633,0.9696795676001748,53,11,4,2,1,0,1,clf_uncertainty_scaled,0.7,0.4698293146409923,0.8127846563385528,0.2,4,Itr_4,False
Itr_4_Dataset.csv,140,20,shadow,20,20,hold,auto,"{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}","{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}","{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}",mixed,gp (hybrid fallback),,,,,holdout,0.9214285714285714,0.9156626506024096,0.95,0.9325153374233128,,,,,1.619651099571486,0.9714602878755835,60,12,4,1,1,0,1,clf_uncertainty_scaled,0.7,0.6118168887581341,0.8373447514914942,0.5,5,Itr_5,False
Itr_5_Dataset.csv,158,20,shadow,20,20,hold,auto,"{'boundary': 0.6678445229681979, 'notp_high_tmax': 0.20848056537102472, 'misclass_repair': 0.08833922261484098, 'uncertainty_sparse': 0.017667844522968195, 'random_check': 0.017667844522968195}","{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}","{'boundary': 0.6678445229681979, 'notp_high_tmax': 0.20848056537102472, 'misclass_repair': 0.08833922261484098, 'uncertainty_sparse': 0.017667844522968195, 'random_check': 0.017667844522968195}",severe_degradation,gp (hybrid fallback),,,,,holdout,0.9240506329113924,0.9213483146067416,0.9425287356321839,0.9318181818181818,,,,,1.7416328909082575,0.9698646162706905,71,14,4,1,1,0,1,clf_uncertainty_scaled,0.7,0.5897024870834925,0.7766366416208543,0.3181818181818182,6,Itr_6,False
Itr_6_Dataset.csv,182,20,shadow,20,20,hold,auto,"{'boundary': 0.5952380952380952, 'notp_high_tmax': 0.22222222222222224, 'misclass_repair': 0.09920634920634921, 'uncertainty_sparse': 0.04960317460317461, 'random_check': 0.033730158730158735}","{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}","{'boundary': 0.5952380952380952, 'notp_high_tmax': 0.22222222222222224, 'misclass_repair': 0.09920634920634921, 'uncertainty_sparse': 0.04960317460317461, 'random_check': 0.033730158730158735}",mixed,gp (hybrid fallback),,,,,holdout,0.8901098901098901,0.8829787234042553,0.9021739130434783,0.8924731182795699,,,,,1.6568314759239002,0.9707572799805778,90,12,4,1,1,0,1,clf_uncertainty_scaled,0.7,0.5358476139408227,0.6990283989838815,0.1,7,Itr_7,False
Itr_7_Dataset.csv,202,20,shadow,20,20,hold,auto,"{'boundary': 0.6792452830188679, 'notp_high_tmax': 0.18867924528301888, 'misclass_repair': 0.09433962264150944, 'uncertainty_sparse': 0.018867924528301886, 'random_check': 0.018867924528301886}","{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}","{'boundary': 0.6792452830188679, 'notp_high_tmax': 0.18867924528301888, 'misclass_repair': 0.09433962264150944, 'uncertainty_sparse': 0.018867924528301886, 'random_check': 0.018867924528301886}",severe_degradation,gp (hybrid fallback),,,,,holdout,0.900990099009901,0.9239130434782609,0.8673469387755102,0.8947368421052632,,,,,1.6562421376955319,0.9688862099922714,104,14,4,1,1,0,1,clf_uncertainty_scaled,0.7,0.5021378508572826,0.7839107689616255,0.36363636363636365,8,Itr_8,False
Itr_8_Dataset.csv,224,20,shadow,20,16,decrease,auto,"{'boundary': 0.6897810218978102, 'notp_high_tmax': 0.18248175182481752, 'misclass_repair': 0.09124087591240876, 'uncertainty_sparse': 0.01824817518248175, 'random_check': 0.01824817518248175}","{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}","{'boundary': 0.6897810218978102, 'notp_high_tmax': 0.18248175182481752, 'misclass_repair': 0.09124087591240876, 'uncertainty_sparse': 0.01824817518248175, 'random_check': 0.01824817518248175}",severe_degradation,hybrid,,,,,holdout,0.8258928571428571,0.8090909090909091,0.8317757009345794,0.8202764976958525,,,,,1.5875670209897357,0.9708771575392207,117,14,4,1,1,0,1,clf_uncertainty_scaled,0.7,0.6060925609293185,0.8905424779883999,0.5,9,Itr_9,False
Itr_9_Dataset.csv,246,20,shadow,20,16,decrease,auto,"{'boundary': 0.6897810218978102, 'notp_high_tmax': 0.18248175182481752, 'misclass_repair': 0.09124087591240876, 'uncertainty_sparse': 0.01824817518248175, 'random_check': 0.01824817518248175}","{'boundary': 0.6, 'notp_high_tmax': 0.2, 'misclass_repair': 0.1, 'uncertainty_sparse': 0.05, 'random_check': 0.05}","{'boundary': 0.6897810218978102, 'notp_high_tmax': 0.18248175182481752, 'misclass_repair': 0.09124087591240876, 'uncertainty_sparse': 0.01824817518248175, 'random_check': 0.01824817518248175}",severe_degradation,hybrid,,,,,holdout,0.8048780487804879,0.8,0.8,0.8,,,,,1.6638053646618791,0.9668374062673724,126,14,4,1,1,0,1,clf_uncertainty_scaled,0.7,0.6077318178937282,0.952422035111896,0.45454545454545453,10,Itr_10,False
