sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,acq_misclass_repair,MaxT_Adj_pred_given_notp,MaxT_Adj_std_given_notp,CellD_x_Resin
1,boundary,hybrid,10.178500009261288,1.3002068968280631,1.7201048196141495,19.619189436776317,ETI,combo_001,0.52401567,0.47598433,0.95196867,0.2960868,0.8341118078211037,146.12861307010002,1.7281847444395997,0.0,0.28926856182994837,0.9999996509999997,0.8497958803792683,0.5517083884253354,0.40129749400476195,0.2365019721069086,146.12861307010002,1.7281847444395997,17.508086922373007
2,boundary,hybrid,15.631586540637944,1.5259765693661311,1.2467372398574017,25.153056434224077,ETI,combo_001,0.48304564,0.51695436,0.9660913,0.30359095,0.8552519364192569,135.13545188886556,1.7065477077005091,0.0,0.10795773200594748,0.9999996509999997,0.8400533687962408,0.3633652084927659,0.37121088805699665,0.15015334313072462,135.13545188886556,1.7065477077005091,19.48848105826706
3,boundary,hybrid,14.261206874622374,1.472734504497256,1.4613378346989143,23.727489393789114,ETI,combo_001,0.50598425,0.49401575,0.9880315,0.22951026,0.6465577921806426,137.57307373909427,1.6545598143009292,0.0,0.12264739710023942,0.9999996509999997,0.8264739751333413,0.4010807103429846,0.28519176495875914,0.2964742107448649,137.57307373909427,1.6545598143009292,20.84044117435393
4,boundary,hybrid,14.268190078458062,1.4704511859621021,1.3585062462885635,25.17330220203682,ETI,combo_001,0.4760701,0.5239299,0.9521402,0.26796845,0.7548990832096512,137.1603931969532,1.6647200235968465,0.0,0.1015316437699575,0.9999996509999997,0.8141014922960345,0.39286853279024053,0.3253759922287729,0.32708365980351367,137.1603931969532,1.6647200235968465,19.383425344817788
5,boundary,hybrid,14.85628763168038,1.5104537086565668,2.374846548674224,5.11451608766933,ETI,combo_001,0.5383898,0.4616102,0.9232204,0.30185533,0.8503624662515064,139.20597267630538,1.645727493549992,0.0,0.14112585285228044,0.9999996509999997,0.8125746743703615,0.42789405917409556,0.36947842045904306,0.408321320263411,139.20597267630538,1.645727493549992,35.28140340820771
6,boundary,hybrid,15.154495028298118,1.5148992073373932,1.844944821587623,20.371684864406983,ETI,combo_001,0.4945767,0.5054233,0.9891534,0.20052162,0.5648933221010466,137.8361240029231,1.648562330333494,0.0,0.0909406019540604,0.9999996509999997,0.8109922518045646,0.40181128499669366,0.24555249757050693,0.5155843621966162,137.8361240029231,1.648562330333494,27.95920712623399
7,boundary,hybrid,15.039048696037977,1.526039407072902,2.571935755020956,11.737858299802912,ETI,combo_001,0.47663555,0.5233644,0.9532711,0.27494448,0.7745514151657028,139.14998872285284,1.6417336251120604,0.0,0.04596111697813459,0.9999996509999997,0.8107811603940659,0.4174084280568542,0.3197001087611048,0.6938026420311649,139.14998872285284,1.6417336251120604,38.679467062841354
8,boundary,hybrid,13.469102743748268,1.4280735691621214,2.2677664632224004,16.26926894098778,ETI,combo_001,0.50559366,0.49440634,0.9888127,0.20069839,0.5653913112541771,142.76021541470828,1.6423303985395674,0.0,0.05680535662151396,0.9999996509999997,0.8064685988193568,0.4742201206487319,0.23826781360331467,0.616797065980895,142.76021541470828,1.6423303985395674,30.544779491969138
9,boundary,hybrid,13.524953536263293,1.4538060356864246,2.164462414715283,20.422625726118962,ETI,combo_001,0.49129218,0.5087078,0.98258436,0.20905986,0.5889465802002233,141.2179898158152,1.6388809407073492,0.0,0.057246808064215705,0.9999996509999997,0.8055582023536006,0.45037437901491734,0.24741464694466114,0.4792437048103659,141.2179898158152,1.6388809407073492,29.274253590012453
10,boundary,hybrid,14.780213689937026,1.485610426574096,1.318860355440528,22.996899423516314,ETI,combo_001,0.5435692,0.4564308,0.9128616,0.26645416,0.7506331594366237,136.50258696142524,1.671959962967789,0.0,0.14026338841993746,0.9999996509999997,0.7900210569117834,0.38678147808711777,0.3321790437759293,0.20240905168323756,136.50258696142524,1.671959962967789,19.493037880597306
