sampling_rank,selected_bucket,selected_model_kind,A_Cell_D,C_Barrier_Thx,F_ThermalResin_Thx,G_CoolantLPM,B_Barrier_Type,discrete_combo_id,p_tp,p_notp,boundary_score,clf_uncertainty_raw,clf_uncertainty_scaled,tmax_pred_given_notp,tmax_std_given_notp,notp_window_score,local_sparsity,combo_priority,acq_boundary,acq_notp_high_tmax,acq_uncertainty_sparse,acq_misclass_repair,MaxT_Adj_pred_given_notp,MaxT_Adj_std_given_notp,CellD_x_Resin
1,boundary,hybrid,15.660404031054007,1.558811528137852,1.4477245860830412,3.4436345982450436,ETI,combo_001,0.5149926,0.4850074,0.9700148,0.332012,0.8907604011641439,134.7419411721231,1.556256792857295,0.0,0.3468410563684749,0.9999997769999998,0.8786719996650689,0.3991346185102372,0.43121096088293975,0.057906954487400845,134.7419411721231,1.556256792857295,22.67195194375085
2,boundary,hybrid,12.070643264765447,1.3472469961461897,1.3637999979767215,21.18889631911107,ETI,combo_001,0.49855462,0.5014454,0.99710923,0.3007338,0.8068436272682941,141.78424854346773,1.5593961560654723,0.0,0.19242685527739847,0.9999997769999998,0.8659723880065816,0.4965666069166716,0.367059933381058,0.2869217169505613,141.78424854346773,1.5593961560654723,16.461943260064842
3,boundary,hybrid,12.617819334231692,1.3929976914601572,1.2574120351532179,25.4127862665154,ETI,combo_001,0.50555384,0.49444616,0.9888923,0.31032422,0.8325739137763029,139.2181332074512,1.5643895571066988,0.0,0.1475591401755683,0.9999997769999998,0.858174615083026,0.45109629171670895,0.36885332783029756,0.1876922992110142,139.2181332074512,1.5643895571066988,15.865797888251892
4,boundary,hybrid,10.685203151853369,1.3235190405271742,2.371742009144899,3.120850706226569,ETI,combo_001,0.51475334,0.48524666,0.9704933,0.25529578,0.6849372188557158,147.4419057283521,1.5956069991333741,0.0,0.42440374566818556,0.9999997769999998,0.8580335317488599,0.6112455338704487,0.3681360397822306,0.16456796324556464,147.4419057283521,1.5956069991333741,25.342545191498115
5,boundary,hybrid,12.683212796392908,1.3654102977120843,1.2381610201035247,7.978111867319262,ETI,combo_001,0.4895319,0.5104681,0.9790638,0.33642313,0.9025950968204964,140.42659410065454,1.5619608659005995,0.0,0.0786620964502827,0.9999997769999998,0.8527923009000753,0.4635051367231223,0.38285144788035613,0.5146711737807489,140.42659410065454,1.5619608659005995,15.703859694171921
6,boundary,hybrid,15.112616100993884,1.5331466930822009,2.0172762508502626,26.481418463758875,ETI,combo_001,0.4984334,0.5015666,0.9968668,0.26429513,0.7090817154739687,137.81590585513203,1.524144128802599,0.0,0.13694368442750238,0.9999997769999998,0.844058878507721,0.42661810920635934,0.3135064166695956,0.41386349574109793,137.81590585513203,1.524144128802599,30.486321548752258
7,boundary,hybrid,13.262990217028943,1.4209939275462957,1.5914668639536296,22.646396612185413,ETI,combo_001,0.4885525,0.5114475,0.977105,0.2775127,0.7445433452035033,140.27261058392156,1.5185726961615476,0.0,0.11249699862960104,0.9999997769999998,0.8319832951044873,0.46339078009416834,0.3222719434687653,0.4477733141510919,140.27261058392156,1.5185726961615476,21.10760944734272
8,boundary,hybrid,15.59361216350155,1.56153678119227,1.3249094624508495,11.514032608120761,ETI,combo_001,0.49534234,0.5046576,0.9906847,0.26254013,0.7043731996151503,134.00622473127197,1.5664354045846014,0.0,0.07514144822837186,0.9999997769999998,0.8310062227479756,0.36042243504527366,0.303284043561137,0.11007984709340204,134.00622473127197,1.5664354045846014,20.660124309211866
9,boundary,hybrid,12.259755201413228,1.4425101532059124,2.6525827421337658,22.763895951366116,ETI,combo_001,0.50898,0.49102002,0.98204005,0.23501268,0.630519351186216,142.90951932384456,1.5077340062082074,0.0,0.20325077079216702,0.9999997769999998,0.8300163518030853,0.5144446632345262,0.2937824484822623,0.42961309642461487,142.90951932384456,1.5077340062082074,32.5200150700534
10,boundary,hybrid,14.981124442467575,1.4926024731626977,1.8239164106664523,23.555975065982224,ETI,combo_001,0.5006185,0.49938148,0.99876297,0.19994858,0.5364453024022882,138.8532085326765,1.5212503823547028,0.0,0.19761985850259148,0.9999997769999998,0.8272695818970603,0.44923172728833216,0.2563119196967791,0.28380580800574795,138.8532085326765,1.5212503823547028,27.324318720852915
11,boundary,hybrid,12.235877071830535,1.3526460942715057,1.971361009181677,9.54072511164775,ETI,combo_001,0.5260163,0.4739837,0.9479674,0.2793948,0.7495928782498278,145.15398483638037,1.539775438324928,0.0,0.23397032462409006,0.9999997769999998,0.827176630823579,0.5542286105483145,0.35060259217303374,0.2590159981365827,145.15398483638037,1.539775438324928,24.121330972546783
